method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
spatial_plus_soil,child_vitA,Gambia,186,30,0.43,0.432,9.29,11.7,-0.56
spatial_plus_soil,child_vitA,Ghana,141,75,0.379,0.33,19,21.94,17.18
spatial_plus_soil,child_vitA,SierraLeone,202,14,0.34,0.38,6.02,7.5,-1.54
spatial_plus_soil,child_vitA,Malawi,119,97,0,0.019,15.37,19.25,4.25
sl_prescreened,child_vitA,Gambia,186,30,0.022,0.166,10.6,13.2,-2.06
sl_prescreened,child_vitA,Ghana,141,75,0.207,0.264,11.31,13.96,2.59
sl_prescreened,child_vitA,SierraLeone,202,14,-0.204,-0.125,6.61,8.31,0.05
sl_prescreened,child_vitA,Malawi,119,97,-0.005,-0.029,12.89,15.92,-5.15
spatial_plus_soil,women_vitA,Gambia,186,30,0.582,0.666,3.54,6.15,-3.21
spatial_plus_soil,women_vitA,Ghana,141,75,0.181,0.134,4.6,5.26,3.53
spatial_plus_soil,women_vitA,SierraLeone,202,14,0.144,0.151,1.5,1.8,0.14
spatial_plus_soil,women_vitA,Malawi,119,97,0.154,0.21,3.02,5.38,-0.8
sl_prescreened,women_vitA,Gambia,186,30,0.351,0.462,3.84,5.77,-1.54
sl_prescreened,women_vitA,Ghana,141,75,0.12,0.148,2.82,3.56,0.98
sl_prescreened,women_vitA,SierraLeone,202,14,NA,NA,1.61,2.33,-1.61
sl_prescreened,women_vitA,Malawi,119,97,0.064,0.109,2.5,5.66,-1.88
spatial_plus_soil,child_iron,Gambia,186,30,0.502,0.443,50.44,52.28,-50.44
spatial_plus_soil,child_iron,Ghana,141,75,0.585,0.531,16.12,20.13,11.62
spatial_plus_soil,child_iron,SierraLeone,202,14,0.296,0.332,12.84,14.94,12.71
spatial_plus_soil,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
sl_prescreened,child_iron,Gambia,186,30,0.38,0.351,40.74,43.37,-40.74
sl_prescreened,child_iron,Ghana,141,75,0.434,0.442,13.77,17.12,4.01
sl_prescreened,child_iron,SierraLeone,202,14,-0.244,-0.196,16.3,17.68,16.3
sl_prescreened,child_iron,Malawi,119,97,0.157,0.134,14.75,17.44,9.16
spatial_plus_soil,women_iron,Gambia,186,30,0.663,0.722,21.55,25.95,-21.55
spatial_plus_soil,women_iron,Ghana,141,75,0.31,0.233,36.23,39.38,36.2
spatial_plus_soil,women_iron,SierraLeone,202,14,0.054,0.007,6.97,8.75,-2.85
spatial_plus_soil,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
sl_prescreened,women_iron,Gambia,186,30,0.197,0.337,27.79,31.83,-27.79
sl_prescreened,women_iron,Ghana,141,75,0.343,0.245,15.09,17.67,13.7
sl_prescreened,women_iron,SierraLeone,202,14,-0.421,-0.398,8.49,10.38,3.42
sl_prescreened,women_iron,Malawi,119,97,-0.017,0.045,13.4,17.01,3.38
spatial_plus_soil,women_b12,Ghana,111,75,0.241,0.175,10.56,16.62,-4.35
spatial_plus_soil,women_b12,SierraLeone,172,14,NA,NA,0.42,0.8,-0.42
spatial_plus_soil,women_b12,Malawi,89,97,0.082,0.11,80.13,80.38,80.13
sl_prescreened,women_b12,Ghana,111,75,0.372,0.297,9.93,17.02,-6.27
sl_prescreened,women_b12,SierraLeone,172,14,-0.445,-0.471,9.12,9.32,9.12
sl_prescreened,women_b12,Malawi,89,97,0.007,0.027,10.81,11.86,9.68
spatial_plus_soil,women_folate,Ghana,111,75,-0.364,-0.301,28.58,35.19,-4.34
spatial_plus_soil,women_folate,SierraLeone,172,14,NA,NA,80.77,81.42,-80.77
spatial_plus_soil,women_folate,Malawi,89,97,NA,NA,0.13,1.27,-0.13
sl_prescreened,women_folate,Ghana,111,75,-0.204,-0.239,26.11,31.88,6.57
sl_prescreened,women_folate,SierraLeone,172,14,-0.558,-0.692,50.37,51.76,-50.37
sl_prescreened,women_folate,Malawi,89,97,-0.232,-0.175,51.36,51.72,51.36
