method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
combined_w50_k8,child_vitA,Gambia,176,30,0.617,0.639,9.26,11.63,0.12
combined_w50_k8,child_vitA,Ghana,131,75,0.284,0.324,11.92,14.67,4.87
combined_w50_k8,child_vitA,SierraLeone,192,14,0.082,0.029,8.73,10.29,-0.5
combined_w50_k8,child_vitA,Malawi,119,87,-0.003,-0.03,15.97,19.31,8.56
combined_w50_k8,women_vitA,Gambia,176,30,0.5,0.484,3.81,5.87,-2.07
combined_w50_k8,women_vitA,Ghana,131,75,0.194,0.163,3.16,3.68,1.45
combined_w50_k8,women_vitA,SierraLeone,192,14,-0.057,-0.128,1.99,2.46,-0.33
combined_w50_k8,women_vitA,Malawi,119,87,-0.063,-0.03,4.14,5.61,0.24
combined_w50_k8,child_iron,Gambia,176,30,0.598,0.548,37.15,39.44,-37.15
combined_w50_k8,child_iron,Ghana,131,75,0.576,0.483,16.12,20.21,5.95
combined_w50_k8,child_iron,SierraLeone,192,14,-0.141,0.068,28.19,34.69,28.19
combined_w50_k8,child_iron,Malawi,119,87,-0.094,-0.039,19.91,23.36,13.52
combined_w50_k8,women_iron,Gambia,176,30,NA,NA,34.85,38.28,-34.85
combined_w50_k8,women_iron,Ghana,131,75,0.211,0.101,16.66,20.86,11.86
combined_w50_k8,women_iron,SierraLeone,192,14,-0.297,-0.424,19.61,26.17,16.12
combined_w50_k8,women_iron,Malawi,119,87,-0.017,-0.032,15.1,19.1,3.36
combined_w70_k8,child_vitA,Gambia,176,30,0.617,0.639,9.26,11.63,0.12
combined_w70_k8,child_vitA,Ghana,131,75,0.31,0.292,10.74,13.33,1.6
combined_w70_k8,child_vitA,SierraLeone,192,14,0.163,0.174,7.86,9.61,-5.49
combined_w70_k8,child_vitA,Malawi,119,87,-0.003,-0.029,16.06,19.42,8.7
combined_w70_k8,women_vitA,Gambia,176,30,NA,NA,3.92,6.07,-2.29
combined_w70_k8,women_vitA,Ghana,131,75,NA,NA,3.02,3.64,1.18
combined_w70_k8,women_vitA,SierraLeone,192,14,0.111,0.238,1.45,2.21,-1.43
combined_w70_k8,women_vitA,Malawi,119,87,-0.061,-0.028,4.16,5.62,0.26
combined_w70_k8,child_iron,Gambia,176,30,0.598,0.548,37.16,39.44,-37.16
combined_w70_k8,child_iron,Ghana,131,75,0.626,0.539,16.36,21.62,5.31
combined_w70_k8,child_iron,SierraLeone,192,14,0.28,0.396,7.07,8.8,4.69
combined_w70_k8,child_iron,Malawi,119,87,-0.088,-0.029,20.35,23.7,14.26
combined_w70_k8,women_iron,Gambia,176,30,NA,NA,34.85,38.28,-34.85
combined_w70_k8,women_iron,Ghana,131,75,0.217,0.131,18.69,24.03,10.76
combined_w70_k8,women_iron,SierraLeone,192,14,0.077,0.169,10.3,12.06,-8.34
combined_w70_k8,women_iron,Malawi,119,87,-0.035,-0.068,15.28,19.95,-0.52
combined_w70_k12,child_vitA,Gambia,176,30,0.571,0.504,9.27,11.66,-1.7
combined_w70_k12,child_vitA,Ghana,131,75,0.107,0.134,18.57,23.8,13.07
combined_w70_k12,child_vitA,SierraLeone,192,14,0.309,0.424,6.91,8.28,-3.65
combined_w70_k12,child_vitA,Malawi,119,87,-0.005,-0.023,16.41,20.29,9.32
combined_w70_k12,women_vitA,Gambia,176,30,0.551,0.565,3.86,5.97,-2.17
combined_w70_k12,women_vitA,Ghana,131,75,0.187,0.215,2.13,3.39,0.08
combined_w70_k12,women_vitA,SierraLeone,192,14,0.098,0.225,1.47,2.12,-1.16
combined_w70_k12,women_vitA,Malawi,119,87,0.038,0.03,4.23,5.58,0.49
combined_w70_k12,child_iron,Gambia,176,30,0.539,0.481,34.28,36.86,-34.28
combined_w70_k12,child_iron,Ghana,131,75,0.627,0.534,15.92,20.61,5.65
combined_w70_k12,child_iron,SierraLeone,192,14,0.072,0.134,6.46,7.58,-0.44
combined_w70_k12,child_iron,Malawi,119,87,-0.088,-0.121,16.17,19.65,4.81
combined_w70_k12,women_iron,Gambia,176,30,NA,NA,34.85,38.28,-34.85
combined_w70_k12,women_iron,Ghana,131,75,0.215,0.216,25.31,29.88,20.97
combined_w70_k12,women_iron,SierraLeone,192,14,0.122,0.187,12.37,14.51,-11.97
combined_w70_k12,women_iron,Malawi,119,87,0.013,-0.031,14.75,18.79,1.6
combined_w50_k15,child_vitA,Gambia,176,30,0.504,0.454,9.15,11.62,-0.48
