method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
spatial_all_top3,child_vitA,Gambia,186,30,0.339,0.307,9.83,12.37,0.32
spatial_all_top3,child_vitA,Ghana,141,75,0.362,0.277,16.78,19.4,14.15
spatial_all_top3,child_vitA,SierraLeone,202,14,0.231,0.297,6.51,7.66,0.85
spatial_all_top3,child_vitA,Malawi,119,97,0,0.02,14.96,19.04,-6.72
spatial_all_top3,women_vitA,Gambia,186,30,0.525,0.499,3.73,5.55,-1.42
spatial_all_top3,women_vitA,Ghana,141,75,0.2,0.157,5.59,5.85,4.72
spatial_all_top3,women_vitA,SierraLeone,202,14,-0.051,-0.164,1.56,2.04,-0.61
spatial_all_top3,women_vitA,Malawi,119,97,0.073,0.088,3.04,5.44,-0.97
spatial_all_top3,child_iron,Gambia,186,30,0.491,0.424,39.46,41.78,-39.46
spatial_all_top3,child_iron,Ghana,141,75,0.593,0.564,13.24,16.72,6.37
spatial_all_top3,child_iron,SierraLeone,202,14,0.402,0.327,13.48,15.11,13.48
spatial_all_top3,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_all_top3,women_iron,Gambia,186,30,0.727,0.787,26.91,30.36,-26.91
spatial_all_top3,women_iron,Ghana,141,75,0.279,0.199,29.85,33.42,29.64
spatial_all_top3,women_iron,SierraLeone,202,14,0.056,0.042,6.58,8.24,-1.46
spatial_all_top3,women_iron,Malawi,119,97,0.11,-0.007,14.35,19.22,-10.03
spatial_soil_top3,child_vitA,Gambia,186,30,0.339,0.307,9.83,12.37,0.32
spatial_soil_top3,child_vitA,Ghana,141,75,0.362,0.277,16.78,19.4,14.15
spatial_soil_top3,child_vitA,SierraLeone,202,14,0.231,0.297,6.51,7.66,0.85
spatial_soil_top3,child_vitA,Malawi,119,97,0,0.02,14.96,19.04,-6.72
spatial_soil_top3,women_vitA,Gambia,186,30,0.525,0.499,3.73,5.55,-1.42
spatial_soil_top3,women_vitA,Ghana,141,75,0.2,0.157,5.59,5.85,4.72
spatial_soil_top3,women_vitA,SierraLeone,202,14,-0.051,-0.164,1.56,2.04,-0.61
spatial_soil_top3,women_vitA,Malawi,119,97,0.073,0.088,3.04,5.44,-0.97
spatial_soil_top3,child_iron,Gambia,186,30,0.491,0.424,39.46,41.78,-39.46
spatial_soil_top3,child_iron,Ghana,141,75,0.593,0.564,13.24,16.72,6.37
spatial_soil_top3,child_iron,SierraLeone,202,14,0.402,0.327,13.48,15.11,13.48
spatial_soil_top3,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_soil_top3,women_iron,Gambia,186,30,0.727,0.787,26.91,30.36,-26.91
spatial_soil_top3,women_iron,Ghana,141,75,0.279,0.199,29.85,33.42,29.64
spatial_soil_top3,women_iron,SierraLeone,202,14,0.056,0.042,6.58,8.24,-1.46
spatial_soil_top3,women_iron,Malawi,119,97,0.11,-0.007,14.35,19.22,-10.03
spatial_all_top4,child_vitA,Gambia,186,30,0.324,0.351,10.88,13.2,4.95
spatial_all_top4,child_vitA,Ghana,141,75,0.363,0.323,19.89,22.73,18.6
spatial_all_top4,child_vitA,SierraLeone,202,14,0.234,0.178,6.33,7.69,-1.23
spatial_all_top4,child_vitA,Malawi,119,97,0.02,0.068,18.11,22.33,-13.89
spatial_all_top4,women_vitA,Gambia,186,30,0.597,0.664,3.72,6.01,-2.68
spatial_all_top4,women_vitA,Ghana,141,75,0.178,0.138,5.54,5.98,4.68
spatial_all_top4,women_vitA,SierraLeone,202,14,-0.014,-0.097,1.56,1.99,-0.41
spatial_all_top4,women_vitA,Malawi,119,97,0.041,0.098,4.89,5.7,1.86
spatial_all_top4,child_iron,Gambia,186,30,0.482,0.408,40.81,43.08,-40.81
spatial_all_top4,child_iron,Ghana,141,75,0.591,0.561,13.55,17.04,7.23
spatial_all_top4,child_iron,SierraLeone,202,14,0.386,0.327,13.63,15.29,13.63
spatial_all_top4,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_all_top4,women_iron,Gambia,186,30,0.74,0.796,23.52,27.33,-23.52
spatial_all_top4,women_iron,Ghana,141,75,0.328,0.276,29.87,32.74,29.83
spatial_all_top4,women_iron,SierraLeone,202,14,0.032,0.033,7.19,8.81,-3.16
spatial_all_top4,women_iron,Malawi,119,97,0.274,0.088,17.21,23.69,-17.19
spatial_soil_top4,child_vitA,Gambia,186,30,0.324,0.351,10.88,13.2,4.95
spatial_soil_top4,child_vitA,Ghana,141,75,0.363,0.323,19.89,22.73,18.6
spatial_soil_top4,child_vitA,SierraLeone,202,14,0.234,0.178,6.33,7.69,-1.23
spatial_soil_top4,child_vitA,Malawi,119,97,0.02,0.068,18.11,22.33,-13.89
spatial_soil_top4,women_vitA,Gambia,186,30,0.597,0.664,3.72,6.01,-2.68
spatial_soil_top4,women_vitA,Ghana,141,75,0.178,0.138,5.54,5.98,4.68
spatial_soil_top4,women_vitA,SierraLeone,202,14,-0.014,-0.097,1.56,1.99,-0.41
spatial_soil_top4,women_vitA,Malawi,119,97,0.041,0.098,4.89,5.7,1.86
spatial_soil_top4,child_iron,Gambia,186,30,0.482,0.408,40.81,43.08,-40.81
spatial_soil_top4,child_iron,Ghana,141,75,0.591,0.561,13.55,17.04,7.23
spatial_soil_top4,child_iron,SierraLeone,202,14,0.386,0.327,13.63,15.29,13.63
spatial_soil_top4,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_soil_top4,women_iron,Gambia,186,30,0.74,0.796,23.52,27.33,-23.52
spatial_soil_top4,women_iron,Ghana,141,75,0.328,0.276,29.87,32.74,29.83
spatial_soil_top4,women_iron,SierraLeone,202,14,0.032,0.033,7.19,8.81,-3.16
spatial_soil_top4,women_iron,Malawi,119,97,0.274,0.088,17.21,23.69,-17.19
spatial_all_top5,child_vitA,Gambia,186,30,0.343,0.356,10.9,13.22,5.13
spatial_all_top5,child_vitA,Ghana,141,75,0.363,0.328,19.57,22.38,18.19
spatial_all_top5,child_vitA,SierraLeone,202,14,0.249,0.222,6.49,7.75,-1.69
spatial_all_top5,child_vitA,Malawi,119,97,0.022,0.04,17.3,21.27,-12.05
spatial_all_top5,women_vitA,Gambia,186,30,0.572,0.681,3.53,5.8,-2.39
spatial_all_top5,women_vitA,Ghana,141,75,0.175,0.15,5,5.36,3.97
spatial_all_top5,women_vitA,SierraLeone,202,14,0.084,0.052,1.5,1.85,-0.27
spatial_all_top5,women_vitA,Malawi,119,97,0.161,0.196,4.05,5.34,0.74
spatial_all_top5,child_iron,Gambia,186,30,0.488,0.449,45.33,47.42,-45.33
spatial_all_top5,child_iron,Ghana,141,75,0.595,0.567,14.61,18.62,9.58
spatial_all_top5,child_iron,SierraLeone,202,14,0.384,0.332,13.62,15.46,13.62
spatial_all_top5,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_all_top5,women_iron,Gambia,186,30,0.739,0.789,24.72,28.36,-24.72
spatial_all_top5,women_iron,Ghana,141,75,0.317,0.249,35.95,38.99,35.95
spatial_all_top5,women_iron,SierraLeone,202,14,0.079,0.024,6.55,8.37,-2.27
spatial_all_top5,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_soil_top5,child_vitA,Gambia,186,30,0.343,0.356,10.9,13.22,5.13
spatial_soil_top5,child_vitA,Ghana,141,75,0.363,0.328,19.57,22.38,18.19
spatial_soil_top5,child_vitA,SierraLeone,202,14,0.249,0.222,6.49,7.75,-1.69
spatial_soil_top5,child_vitA,Malawi,119,97,0.022,0.04,17.3,21.27,-12.05
spatial_soil_top5,women_vitA,Gambia,186,30,0.572,0.681,3.53,5.8,-2.39
spatial_soil_top5,women_vitA,Ghana,141,75,0.175,0.15,5,5.36,3.97
spatial_soil_top5,women_vitA,SierraLeone,202,14,0.084,0.052,1.5,1.85,-0.27
spatial_soil_top5,women_vitA,Malawi,119,97,0.161,0.196,4.05,5.34,0.74
spatial_soil_top5,child_iron,Gambia,186,30,0.488,0.449,45.33,47.42,-45.33
spatial_soil_top5,child_iron,Ghana,141,75,0.595,0.567,14.61,18.62,9.58
spatial_soil_top5,child_iron,SierraLeone,202,14,0.384,0.332,13.62,15.46,13.62
spatial_soil_top5,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_soil_top5,women_iron,Gambia,186,30,0.739,0.789,24.72,28.36,-24.72
spatial_soil_top5,women_iron,Ghana,141,75,0.317,0.249,35.95,38.99,35.95
spatial_soil_top5,women_iron,SierraLeone,202,14,0.079,0.024,6.55,8.37,-2.27
spatial_soil_top5,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_all_top6,child_vitA,Gambia,186,30,0.337,0.354,10.96,13.29,5.25
spatial_all_top6,child_vitA,Ghana,141,75,0.36,0.312,18.88,21.66,17.19
spatial_all_top6,child_vitA,SierraLeone,202,14,0.239,0.222,6.57,7.81,-1.87
spatial_all_top6,child_vitA,Malawi,119,97,0.022,0.039,17.34,21.31,-12.14
spatial_all_top6,women_vitA,Gambia,186,30,0.572,0.685,3.54,5.82,-2.42
spatial_all_top6,women_vitA,Ghana,141,75,0.171,0.138,5,5.42,3.98
spatial_all_top6,women_vitA,SierraLeone,202,14,0.083,0.052,1.5,1.86,-0.3
spatial_all_top6,women_vitA,Malawi,119,97,0.161,0.21,3.55,5.3,0.01
spatial_all_top6,child_iron,Gambia,186,30,0.484,0.433,45.06,47.15,-45.06
spatial_all_top6,child_iron,Ghana,141,75,0.592,0.564,14.8,18.66,9.8
spatial_all_top6,child_iron,SierraLeone,202,14,0.381,0.371,14.03,15.77,14.03
spatial_all_top6,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_all_top6,women_iron,Gambia,186,30,0.739,0.787,24.77,28.4,-24.77
spatial_all_top6,women_iron,Ghana,141,75,0.311,0.238,35.84,38.98,35.83
spatial_all_top6,women_iron,SierraLeone,202,14,0.083,0.024,6.6,8.41,-2.43
spatial_all_top6,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_soil_top6,child_vitA,Gambia,186,30,0.337,0.354,10.96,13.29,5.25
spatial_soil_top6,child_vitA,Ghana,141,75,0.36,0.312,18.88,21.66,17.19
spatial_soil_top6,child_vitA,SierraLeone,202,14,0.239,0.222,6.57,7.81,-1.87
spatial_soil_top6,child_vitA,Malawi,119,97,0.022,0.039,17.34,21.31,-12.14
spatial_soil_top6,women_vitA,Gambia,186,30,0.572,0.685,3.54,5.82,-2.42
spatial_soil_top6,women_vitA,Ghana,141,75,0.171,0.138,5,5.42,3.98
spatial_soil_top6,women_vitA,SierraLeone,202,14,0.083,0.052,1.5,1.86,-0.3
spatial_soil_top6,women_vitA,Malawi,119,97,0.161,0.21,3.55,5.3,0.01
spatial_soil_top6,child_iron,Gambia,186,30,0.484,0.433,45.06,47.15,-45.06
spatial_soil_top6,child_iron,Ghana,141,75,0.592,0.564,14.8,18.66,9.8
spatial_soil_top6,child_iron,SierraLeone,202,14,0.381,0.371,14.03,15.77,14.03
spatial_soil_top6,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_soil_top6,women_iron,Gambia,186,30,0.739,0.787,24.77,28.4,-24.77
spatial_soil_top6,women_iron,Ghana,141,75,0.311,0.238,35.84,38.98,35.83
spatial_soil_top6,women_iron,SierraLeone,202,14,0.083,0.024,6.6,8.41,-2.43
spatial_soil_top6,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_all_top7,child_vitA,Gambia,186,30,0.339,0.356,10.93,13.26,5.19
spatial_all_top7,child_vitA,Ghana,141,75,0.324,0.287,19.31,22.19,17.65
spatial_all_top7,child_vitA,SierraLeone,202,14,0.228,0.222,6.63,7.85,-1.94
spatial_all_top7,child_vitA,Malawi,119,97,-0.008,-0.011,17.67,21.86,-9.51
spatial_all_top7,women_vitA,Gambia,186,30,0.587,0.717,3.55,6.01,-2.87
spatial_all_top7,women_vitA,Ghana,141,75,0.182,0.133,5.04,5.46,4.05
spatial_all_top7,women_vitA,SierraLeone,202,14,0.115,0.043,1.52,1.84,-0.01
