method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
spatial_top20,child_iron,SierraLeone,202,14,0.262,0.272,8.54,10.02,5.26
spatial_top20,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_top20,women_iron,Gambia,186,30,0.185,0.155,16.44,21.71,-15.14
spatial_top20,women_iron,Ghana,141,75,0.167,0.123,53.69,58.98,53.57
spatial_top20,women_iron,SierraLeone,202,14,-0.039,-0.02,11.27,12.91,-8.7
spatial_top20,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_top30,child_vitA,Gambia,186,30,0.436,0.463,9.38,12.34,-4.47
spatial_top30,child_vitA,Ghana,141,75,0.137,0.112,22.21,26.84,15.01
spatial_top30,child_vitA,SierraLeone,202,14,0.21,-0.037,6.34,8.58,2.69
spatial_top30,child_vitA,Malawi,119,97,-0.012,0.012,26.7,31.72,24.75
spatial_top30,women_vitA,Gambia,186,30,0.269,0.365,3.62,5.58,-1.33
spatial_top30,women_vitA,Ghana,141,75,-0.071,-0.116,13.26,15.03,13.02
spatial_top30,women_vitA,SierraLeone,202,14,NA,NA,1.61,2.33,-1.61
spatial_top30,women_vitA,Malawi,119,97,-0.264,-0.206,11.61,13.03,10
spatial_top30,child_iron,Gambia,186,30,0.547,0.534,43.5,45.62,-43.5
spatial_top30,child_iron,Ghana,141,75,0.078,0.074,47.31,55.13,45.39
spatial_top30,child_iron,SierraLeone,202,14,0.434,0.551,5.01,6.23,-2.96
spatial_top30,child_iron,Malawi,119,97,0.12,0.131,19.76,24.72,-19.76
spatial_top30,women_iron,Gambia,186,30,-0.001,-0.012,21.6,26.96,-21.53
spatial_top30,women_iron,Ghana,141,75,0.2,0.179,68.16,70.38,68.16
spatial_top30,women_iron,SierraLeone,202,14,-0.12,-0.055,11.06,12.92,-7.56
spatial_top30,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_top40,child_vitA,Gambia,186,30,0.296,0.323,11.72,13.9,6.52
spatial_top40,child_vitA,Ghana,141,75,0.132,0.096,30.53,37.53,25.81
