Admin1,boot_mean,ci_lo,ci_hi,outcome,model_type,obs_prevalence,pred_prevalence
Region_A,0.6170843385367906,0.5799452679995769,0.6876301616616861,child_vitA,binary_prob,0.7662337662337663,0.5731542036052842
Region_B,0.5990217676655449,0.5811876089399066,0.6239401837296222,child_vitA,binary_prob,0.5930232558139535,0.6036188419329839
Region_C,0.6092848219007639,0.5615725512315578,0.6460791285775905,child_vitA,binary_prob,0.2894736842105263,0.555717116485922
Region_D,0.5978902928530552,0.5437314535161935,0.6349060410765948,child_vitA,binary_prob,0.6056338028169014,0.5633702269800597
