outcome,model_type,rmse,mae,R2,R2_vs_mean,correlation,auc,brier,calib_intercept,calib_slope
child_vitA,continuous,0.38813536383655506,0.31751889814229606,0.07605037434125983,0.07306024610288209,0.27121263226097647,0.6334814814814815,0.4290322580645161,NA,NA
child_vitA,binary,NA,NA,NA,NA,NA,0.7600423280423281,0.19149087911919388,-0.028467633343439,0.9016542274663034
women_vitA,continuous,0.28955983764500126,0.22924323154630377,0.49119225696567514,0.4885001525051761,0.7014635235670568,0.8433333333333334,0.25263157894736843,NA,NA
women_vitA,binary,NA,NA,NA,NA,NA,0.7010714285714286,0.237486001686465,-0.6178733297108635,0.8408718137245733
