"outcome","Admin1","Admin2","n","n_eff","p_low","median_biomarker","mean_log"
"child_selenium","Nkhotakota","TA Kanyenda",14,14,0.857142857142857,73.4888261838627,4.26231998044506
"child_selenium","Nkhotakota","TA Malenga Chanzi",9,9,1,55.6359419600956,3.94384650707348
"child_selenium","Nkhotakota","TA Mwadzama",18,18,0.722222222222222,77.571276229943,4.34401436632098
"child_selenium","Nsanje","SC Mbenje",15,15,0,108.582330816615,4.78055452850305
"child_selenium","Nsanje","TA Ndamera",10,10,0,139.009109650951,4.906121653371
"child_selenium","Ntcheu","SC Goodson Ganya",10,10,0.7,66.3430200272359,4.25963436587464
"child_selenium","Ntcheu","SC Makwangwala",11,11,1,28.1240581158467,3.26508583322638
"child_selenium","Ntcheu","TA Njolomole",15,15,1,31.951989420006,3.50354136410268
"child_selenium","Ntcheu","TA Phambala",13,13,1,46.2077890488714,3.8084450344063
"child_selenium","Ntchisi","SC Chilooko",9,9,1,29.1515203623853,3.42142422251598
"child_selenium","Ntchisi","SC Nthondo",17,17,0.294117647058824,108.30979333325,4.69082477491832
"child_selenium","Ntchisi","TA Kalumo",10,10,1,29.7914079306041,3.45884483602341
"child_selenium","Phalombe","TA Mkhumba",31,22.1430367731351,0.949889115319122,61.6241303241879,4.13088124823062
"child_selenium","Rumphi","Rumphi Boma",17,16.820245900387,0.946264192090286,58.8333722739154,4.0977080347595
"child_selenium","Rumphi","SC Chapinduka",11,11,0.818181818181818,80.8350024190485,4.32950216228635
"child_selenium","Rumphi","SC Kachulu",9,9,0.888888888888889,60.1937638979193,4.11220405545071
"child_selenium","Rumphi","SC Mwankhunikira",5,5,0.8,57.0548150693735,4.09167832812395
"child_selenium","Rumphi","TA Chikulamayembe",27,26.9360904394832,0.930630348518362,49.8448063528349,3.92307754574789
"child_selenium","Salima","SC Kambwiri",12,12,1,52.0067484997072,3.93922463843718
"child_selenium","Salima","TA Karonga",7,7,0,113.337027833729,4.68969920237051
"child_selenium","Salima","TA Khombedza",11,11,0.818181818181818,59.915469412445,4.15686939216952
"child_selenium","Salima","TA Maganga",8,8,0,139.118414411591,5.01717697312908
"child_selenium","Thyolo","SC Mbawela",11,11,0.545454545454545,79.8434370641652,4.39258029656346
"child_selenium","Thyolo","TA Bvumbwe",10,10,1,57.6730182430676,4.07224569592332
"child_selenium","Zomba","SC Mbiza",13,13,1,46.8374437643648,3.85058928012003
"child_selenium","Zomba","TA Malemia",22,21.9662067400566,1,43.6220028513805,3.79216461676816
"women_selenium","Balaka","TA Kalembo",5,5,0,139.476943862493,4.83440079187746
"women_selenium","Balaka","TA Nsamala",6,6,1,71.9794911115085,4.23398705664257
"women_selenium","Blantyre","Blantyre City",10,9.99788516260351,0.6,82.4941085351551,4.42719654045256
"women_selenium","Chikwawa","TA Kasisi",6,6,0.333333333333333,98.302681687949,4.63921029976729
"women_selenium","Chikwawa","TA Lundu",10,10,0,119.243998667631,4.92422891119473
"women_selenium","Chiradzulu","TA Kadewere",9,9,1,65.4114386473646,4.20225296266023
"women_selenium","Chiradzulu","TA Mpama",8,8,0.5,81.4334559662019,4.36762737597752
"women_selenium","Chiradzulu","TA Nchema",12,12,1,74.321994554003,4.25957701121993
"women_selenium","Chitipa","TA Mwabulambya",16,16,1,35.6224953220414,3.50290066555518
"women_selenium","Chitipa","TA Mwenemisuku",13,12.9631780352935,1,55.9547869451594,4.01933261957918
"women_selenium","Chitipa","TA Mwenewenya",7,7,0.857142857142857,71.1600839926028,4.32396450902796
"women_selenium","Dedza","TA Kaphuka",6,6,1,46.9952734881626,3.92784701647938
"women_selenium","Dedza","TA Pemba",9,9,1,68.2377960148398,4.17297263424961
"women_selenium","Dedza","TA Tambala",11,11,1,39.8755298453652,3.69360372504957
"women_selenium","Dowa","SC Kayembe",7,7,0.285714285714286,91.276158799562,4.58540598843915
"women_selenium","Dowa","SC Mkukula",11,11,0.636363636363636,80.4180431751079,4.40037385376373
"women_selenium","Dowa","SC Mponela",10,10,0.9,73.782121304014,4.33034150071837
"women_selenium","Dowa","TA Dzoole",8,8,0.875,69.9956724871198,4.267580521149
"women_selenium","Karonga","Karonga Town",12,12,1,64.4708002307243,4.15517967523692
"women_selenium","Karonga","TA Kilupula",11,10.9661652852698,0.829245044567677,59.8683358852588,4.17633025376339
"women_selenium","Karonga","TA Kyungu",22,20.8878176918936,0.668017971144922,79.4443011704622,4.33524156684665
"women_selenium","Karonga","TA Wasambo",6,6,0,104.202633766493,4.67245862812643
"women_selenium","Kasungu","SC Kawamba",9,9,0,99.0828427987233,4.61591745035175
"women_selenium","Kasungu","TA Kaluluma",10,10,0,111.220896416997,4.72461977522353
"women_selenium","Kasungu","TA Mwase",6,6,1,30.8942112164635,3.66776676934637
"women_selenium","Kasungu","TA Santhe",10,10,0.6,79.5021551404328,4.40474937665486
"women_selenium","Lilongwe","TA Chiseka",9,9,0.888888888888889,63.6505598114322,4.15111273965469
"women_selenium","Lilongwe","TA Kabudula",10,10,1,61.3701867530996,4.06289968564984
"women_selenium","Lilongwe","TA Khongoni",6,6,1,43.6038424228062,3.93109963668078
"women_selenium","Machinga","TA Kawinga",8,8,0.875,68.338516195268,4.25859263104383
"women_selenium","Mangochi","SC Chowe",7,7,0.714285714285714,78.7331252071406,4.3683129522287
"women_selenium","Mangochi","TA Mponda",5,5,0.2,93.5345366600445,4.50314318979683
"women_selenium","Mangochi","TA Nankumba",11,11,0.545454545454545,82.3265967353828,4.35097823871539
