"target","learner","representation","cells","n_pred","mean_spearman","median_spearman","positive","mean_topk"
"level","enet","raw",22,330,0.323,0.333,21,0.447
"level","enet","sup1",22,21,0.254,0.258,19,0.41
"level","enet","pc12",22,42,0.251,0.242,18,0.394
"level","enet","mean1",22,21,0.246,0.245,19,0.379
"level","enet","pcvar",22,88,0.246,0.299,18,0.386
"level","enet","pc1",22,21,0.24,0.287,18,0.393
"level","enet","pc123",22,61,0.231,0.262,18,0.406
"level","index","pcvar",22,88,0.302,0.284,18,0.443
"level","index","pc12",22,42,0.287,0.306,18,0.458
"level","index","pc1",22,21,0.285,0.343,18,0.445
"level","index","pc123",22,61,0.28,0.272,18,0.438
"level","index","sup1",22,21,0.267,0.278,17,0.442
"level","index","mean1",22,21,0.241,0.208,18,0.368
"prev","enet","sup1",22,21,0.212,0.204,18,0.374
"prev","enet","pc1",22,21,0.186,0.144,18,0.33
"prev","enet","pcvar",22,88,0.17,0.134,16,0.312
"prev","enet","mean1",22,21,0.149,0.14,17,0.314
"prev","enet","pc12",22,42,0.147,0.104,17,0.361
"prev","enet","raw",22,330,0.114,0.105,12,0.337
"prev","enet","pc123",22,61,0.087,0.077,13,0.288
"prev","index","pcvar",22,88,0.223,0.211,19,0.378
"prev","index","pc123",22,61,0.205,0.197,18,0.365
"prev","index","pc12",22,42,0.201,0.196,18,0.322
"prev","index","sup1",22,21,0.179,0.227,17,0.351
"prev","index","pc1",22,21,0.156,0.108,17,0.309
"prev","index","mean1",22,21,0.127,0.147,15,0.311
