"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"country","level","sl_disc",21,-0.0436542862655535,-0.026799431009957,5
"country","prev","sl_disc",20,-0.0133972401093804,-0.014529120033992,6
"infill","level","sl_disc",18,-0.0348156474242736,-0.035882338049073,7
"infill","prev","sl_disc",18,-0.0627420454665654,-0.047099330287234,3
"region","level","sl_disc",18,-0.038395101894672,-0.01744313288398,6
"region","prev","sl_disc",18,-0.155001787471682,-0.123841251155436,4
"country","level","sl_nnls",22,-0.0062547473508641,-0.004671857619577,9
"country","prev","sl_nnls",21,0.0142878236625358,-0.009420928916615,7
"infill","level","sl_nnls",18,-0.00790738290095531,-0.0216152123430645,8
"infill","prev","sl_nnls",18,-0.0438015563752482,-0.0636127822592171,6
"region","level","sl_nnls",18,-0.0173683409755423,-0.00572006764040597,8
"region","prev","sl_nnls",18,-0.11744040669546,-0.0493615471406619,3
"country","level","sl_rank_disc",22,-0.0114392071136444,0,5
"country","prev","sl_rank_disc",18,-0.00573772542194795,0,4
"infill","level","sl_rank_disc",18,-0.0148613338935034,-0.032378333371875,7
"infill","prev","sl_rank_disc",18,-0.042832048439422,-0.036665741838348,4
"region","level","sl_rank_disc",18,0.00602465623479752,-0.00624928599344649,9
"region","prev","sl_rank_disc",18,-0.0301334154431792,-0.0421947980065335,4
"country","level","sl_rank_nnls",22,0.00244664073221712,0.0210130687275834,12
"country","prev","sl_rank_nnls",22,-0.0481403432495586,0.0012691765613195,11
"infill","level","sl_rank_nnls",18,-0.00999335138070819,-0.024919395993199,8
"infill","prev","sl_rank_nnls",18,-0.0453372205330925,-0.0412772754749012,4
"region","level","sl_rank_nnls",18,-0.0792424583766112,-0.034151939049166,7
"region","prev","sl_rank_nnls",18,-0.0922822372969464,-0.0427600912944287,6
"country","level","sl_lrn_mean",0,NA,NA,0
"country","prev","sl_lrn_mean",0,NA,NA,0
"infill","level","sl_lrn_mean",18,-0.609217259538557,-0.601485394614633,0
"infill","prev","sl_lrn_mean",18,-0.485077500791026,-0.487900401574146,0
"region","level","sl_lrn_mean",18,-0.968903168722887,-0.933465710766745,0
"region","prev","sl_lrn_mean",18,-0.800531208891031,-0.735030339126538,0
"country","level","sl_lrn_lasso",22,0.0293123739506235,-0.00517791441039499,11
"country","prev","sl_lrn_lasso",20,-0.0773375992608501,-0.110530174573156,9
"infill","level","sl_lrn_lasso",18,-0.107425387880747,-0.113602978455677,4
"infill","prev","sl_lrn_lasso",18,-0.13883205356214,-0.107423215249701,2
"region","level","sl_lrn_lasso",18,-0.168008237006639,-0.112731152204837,3
"region","prev","sl_lrn_lasso",17,-0.263668083302592,-0.319724109220624,4
"country","level","sl_lrn_enet",22,0.012988246284524,-0.029809018080782,10
"country","prev","sl_lrn_enet",21,-0.0544541012376758,-0.122460316324536,9
"infill","level","sl_lrn_enet",18,-0.0801246546967319,-0.078440632885494,6
"infill","prev","sl_lrn_enet",18,-0.110855933052091,-0.130024539501786,2
"region","level","sl_lrn_enet",18,-0.146164192959494,-0.111211479126264,3
"region","prev","sl_lrn_enet",17,-0.258407678634679,-0.178117758538797,2
"country","level","sl_lrn_ridge",22,0.00703317892856595,-0.00450924608819347,10
"country","prev","sl_lrn_ridge",20,0.00085185365536713,-0.021548467898064,8
"infill","level","sl_lrn_ridge",18,-0.0263817321862451,-0.03231158582486,7
"infill","prev","sl_lrn_ridge",18,-0.0572536299072888,-0.0455320456475805,4
"region","level","sl_lrn_ridge",18,-0.0466807797562897,-0.00186988361510447,9
