"estimand","n_train","n_test","country","outcome","target","rep","mse_pick","rank_pick","library","w_mean","wr_mean","rho_mean","w_lasso","wr_lasso","rho_lasso","w_enet","wr_enet","rho_enet","w_ridge","wr_ridge","rho_ridge","w_ranger","wr_ranger","rho_ranger","w_xgb","wr_xgb","rho_xgb","w_domain_index","wr_domain_index","rho_domain_index","w_domain_pc_ridge","wr_domain_pc_ridge","rho_domain_pc_ridge","w_domain_pc_enet","wr_domain_pc_enet","rho_domain_pc_enet","w_domain_pc1_ols","wr_domain_pc1_ols","rho_domain_pc1_ols","w_hapc","wr_hapc","rho_hapc","w_hapc_lasso","wr_hapc_lasso","rho_hapc_lasso","w_spatial_gam","wr_spatial_gam","rho_spatial_gam","w_spatial_plus_domain","wr_spatial_plus_domain","rho_spatial_plus_domain"
"infill",70,17,"Malawi","child_vitA","prev",3,"ridge","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.585398350347075,NA,-0.220598191479286,0,NA,-0.165400067025524,0,NA,-1,0,NA,-0.095785268192273,0,NA,-0.042014831112955,0.274605302917732,NA,0.150313929944485,0.139996346735193,NA,0.120259842678386,0,NA,-1,0,NA,-0.220598191479286,0,NA,-0.0596732383923129,0,NA,0.0368825846623042,0,NA,-0.0951205337929944,0,NA,-0.230472660525413,0,NA,-0.230472660525413
"infill",69,18,"Malawi","child_vitA","prev",3,"ranger","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.126401204543175,0,NA,-0.126401204543175,0,NA,-1,0.349215200734755,NA,-0.0999595388147145,0.597430425522488,NA,-0.0714438109143317,0,NA,-0.21451184640692,0.0337440681165613,NA,0.00658509873326542,0,NA,-0.0819149847195972,0.0196103056261954,NA,-0.00896016212646343,0,NA,-0.237965622717181,0,NA,-0.0959800692081426,0,NA,-0.148922152255668,0,NA,-0.298855234291895,0,NA,-0.298855234291895
"infill",70,17,"Malawi","child_vitA","prev",3,"ranger","spatial_gam","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.219343527398424,0,NA,-1,0,NA,-0.127381996912091,0,NA,-0.171299427816209,0.306210456374874,NA,0.063323278809861,0,NA,0.0387507152607048,0,NA,-0.0157438371766275,0,NA,-0.19766020756433,0.356720759307712,NA,-0.166614549863038,0.0326033748814934,NA,-0.00808937490290807,0,NA,-0.0934627240126314,0.131593208661656,NA,-0.0880340904489686,0.172872200774265,NA,0.0681943002567734,0,NA,0.0681943002567734
"infill",70,17,"Malawi","child_vitA","prev",3,"ridge","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.0888606799479942,0,NA,-0.0841805731642895,0,NA,-0.0411476395388988,0,NA,-0.0796097694044785,0,NA,-0.100557235541565,0.10251836743347,NA,-0.015744688263861,0.0888163901276408,NA,0.0706336291174316,0,NA,-1,0.471883434081211,NA,-0.0888606799479942,0,NA,-0.0381438994679726,0,NA,0.00704596546614774,0.336781808357678,NA,0.0500479813890815,0,NA,-0.0671541399983463,0,NA,-0.0671541399983463
"infill",69,18,"Malawi","child_vitA","prev",3,"hapc_lasso","spatial_gam","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.169587752160629,0,NA,-1,0,NA,-0.169587752160629,0,NA,-0.0139828375302978,0,NA,-0.0963913671040205,0.437239834025717,NA,0.120568144253181,0,NA,0.0581415405695285,0,NA,-0.150310013953218,0,NA,-1,0,NA,-0.144338968054687,0,NA,-0.0691022809561813,0.249121755648678,NA,0.0524071985783725,0,NA,0.183400701284486,0.313638410325605,NA,0.183400701284486
"region",85,2,"Malawi","child_vitA","prev",1,"hapc_lasso","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.249427752069932,0,NA,-1,0,NA,-1,0,NA,-1,0,NA,-0.133967596806472,0.0332739073088546,NA,0.0820913945016941,0,NA,-0.0043130329860785,0,NA,-0.202779792576484,0,NA,-0.216483354616642,0.0306215295239389,NA,-0.0645277657306078,0.03178653080408,NA,-0.0139215120272867,0.836606096802759,NA,0.0489615033159267,0,NA,0.0329947023435005,0.0677119355603671,NA,0.0329947023435005
"region",85,2,"Malawi","child_vitA","prev",1,"hapc_lasso","hapc","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.178340842730002,0,NA,-0.158469890103645,0,NA,-0.108945017806179,0,NA,-0.084275621642461,0,NA,-0.0479225887342056,0.142244299614848,NA,0.0175636287710863,0.0536842040683565,NA,0.0305746116124231,0,NA,-0.147802387168306,0,NA,-0.178340842730002,0,NA,-0.132649725616281,0,NA,0.0514209377118026,0.804071496316796,NA,-0.170097141761596,0,NA,-0.0913164928330287,0,NA,-0.0913164928330287
"region",85,2,"Malawi","child_vitA","prev",1,"domain_pc_ridge","ranger","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.49382731205256,NA,-0.144668096200561,0,NA,0.00962848888447309,0,NA,-0.0451835637072377,0,NA,-1,0,NA,0.0815402847312508,0.441267135322908,NA,0.0224517328219753,0.0649055526245322,NA,0.0385058000479342,0,NA,-0.114489148519574,0,NA,-0.144668096200561,0,NA,-0.24596268667831,0,NA,-0.10677152769981,0,NA,-0.026968341141089,0,NA,-0.100709320224933,0,NA,-0.107035101937848
"region",84,3,"Malawi","child_vitA","prev",1,"ridge","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.144636010519408,0.393448000518201,NA,-0.0199339852825492,0,NA,-0.144636010519408,0,NA,-0.0748208836744878,0,NA,0.0139249881591077,0.25499458467381,NA,0.104881825709024,0.0783808214011705,NA,0.00864139336114842,0,NA,-0.115004600789227,0,NA,-0.144636010519408,0,NA,-0.164532129596266,0,NA,-0.124658271658395,0.273176593406818,NA,-0.182060690803864,0,NA,-0.11883150356345,0,NA,-0.11883150356345
"region",82,5,"Malawi","child_vitA","prev",1,"hapc_lasso","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.144025854061743,0.0496298326117397,NA,-0.151255633027513,0,NA,-0.150482062295498,0,NA,-0.00835603029292079,0,NA,0.0247203454631965,0.322933735939191,NA,0.21510899337773,0,NA,0.060200076956022,0,NA,-0.00625277732887522,0,NA,-0.143473898217728,0,NA,-0.136486748146587,0.139854728144767,NA,0.0252189511572525,0.487581703304302,NA,0.0901976680517818,0,NA,-0.0758405503064096,0,NA,-0.0758405503064096
"region",84,3,"Malawi","child_vitA","prev",1,"hapc_lasso","spatial_plus_domain","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.144119453338982,0,NA,-0.144119453338982,0,NA,-0.0377373943273156,0,NA,-0.00237021075048642,0.218398290484314,NA,0.0355037818666612,0.13194388143832,NA,0.0512558074792689,0,NA,0.0372073708435733,0,NA,-0.10345835159514,0,NA,-0.107181293803373,0,NA,-0.165495027713651,0,NA,-0.0365901284606342,0.649657828077366,NA,0.0241493481739254,0,NA,0.0425650347274853,0,NA,0.0529347067608635
"region",83,4,"Malawi","child_vitA","prev",1,"ranger","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.185050256171626,0,NA,-0.114748025197186,0.0485725858178581,NA,-0.179110354147225,0,NA,-0.177676129072335,0,NA,0.0313792073619507,0.360586637439245,NA,0.204104819986087,0.0134590790954959,NA,-0.00984894829608672,0,NA,-0.165644719846885,0.577381697647401,NA,-0.194444569120055,0,NA,-0.117856536328624,0,NA,-0.168908190803947,0,NA,-0.13615789091107,0,NA,-0.143585959396696,0,NA,-0.143585959396696
"region",83,4,"Malawi","child_vitA","prev",1,"mean","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.215309719774678,0,NA,-0.188962522620493,0.561847714101385,NA,-0.215309719774678,0,NA,-1,0.00527058429225581,NA,-0.0309720157011306,0.311561579421099,NA,-0.0104088368297144,0,NA,-0.0784098441866749,0,NA,-0.209482849129587,0,NA,-0.215309719774678,0,NA,-0.238996055422611,0,NA,-0.12829082263714,0,NA,-0.106160115579569,0,NA,-0.0433150129197406,0.12132012218526,NA,-0.0433150129197406
"region",83,4,"Malawi","child_vitA","prev",1,"ranger","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.213426620108394,0.60418032505113,NA,0.0243434124723375,0,NA,0.0242664575330151,0,NA,-1,0,NA,0.0911091341085025,0.39581967494887,NA,0.138037973018022,0,NA,-0.0176110393304703,0,NA,-0.171071396502054,0,NA,-0.213426620108394,0,NA,-0.272589367440271,0,NA,-0.0513315987421367,0,NA,-0.164580244600792,0,NA,-0.176364888092716,0,NA,-0.176364888092716
