"country","outcome","estimand","arm","rep","n_areas","capture_top20","lift","prev_top20","prev_national","concordance"
"Gambia","child_vitA","infill","null_train_mean",1,30,0.0885771838774898,0.442885919387449,0.121924657236869,0.15859284237015,0.444759206798867
"Gambia","child_vitA","infill","region_mean_jk",1,30,0.189188328869542,0.945941644347709,0.24590283900049,0.15859284237015,0.677884615384615
"Gambia","child_vitA","infill","spatial",1,30,0.166587606470977,0.832938032354887,0.285101426282982,0.15859284237015,0.710280373831776
"Gambia","child_vitA","infill","domain_index",1,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015,0.724299065420561
"Gambia","child_vitA","infill","spatial_plus_domain",1,30,0.166587606470977,0.832938032354887,0.285101426282982,0.15859284237015,0.710280373831776
"Gambia","child_vitA","infill","null_train_mean",2,30,0.064228412460843,0.321142062304215,0.0958489285016558,0.15859284237015,0.393767705382436
"Gambia","child_vitA","infill","region_mean_jk",2,30,0.104310492555093,0.521552462775467,0.214029381040368,0.15859284237015,0.641826923076923
"Gambia","child_vitA","infill","spatial",2,30,0.251462114497976,1.25731057248988,0.270386763591378,0.15859284237015,0.672897196261682
"Gambia","child_vitA","infill","domain_index",2,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015,0.684579439252336
"Gambia","child_vitA","infill","spatial_plus_domain",2,30,0.251462114497976,1.25731057248988,0.270386763591378,0.15859284237015,0.672897196261682
"Gambia","child_vitA","infill","null_train_mean",3,30,0.11868503630559,0.593425181527952,0.136365203803564,0.15859284237015,0.301408450704225
"Gambia","child_vitA","infill","region_mean_jk",3,30,0.166748973137391,0.833744865686956,0.277956512900724,0.15859284237015,0.683453237410072
"Gambia","child_vitA","infill","spatial",3,30,0.180318730643903,0.901593653219516,0.3046258153253,0.15859284237015,0.675233644859813
"Gambia","child_vitA","infill","domain_index",3,30,0.126797120586952,0.633985602934762,0.234875280419822,0.15859284237015,0.700934579439252
"Gambia","child_vitA","infill","spatial_plus_domain",3,30,0.180318730643903,0.901593653219516,0.3046258153253,0.15859284237015,0.675233644859813
"Gambia","child_vitA","infill","null_train_mean",4,30,0.326098508726723,1.63049254363361,0.12532387236931,0.15859284237015,0.320224719101124
"Gambia","child_vitA","infill","region_mean_jk",4,30,0.189185000582092,0.945925002910457,0.227095318977743,0.15859284237015,0.655421686746988
"Gambia","child_vitA","infill","spatial",4,30,0.211671628613951,1.05835814306975,0.239029048515117,0.15859284237015,0.656542056074766
"Gambia","child_vitA","infill","domain_index",4,30,0.1892322728818,0.946161364409,0.264255491939203,0.15859284237015,0.703271028037383
"Gambia","child_vitA","infill","spatial_plus_domain",4,30,0.211671628613951,1.05835814306975,0.239029048515117,0.15859284237015,0.656542056074766
"Gambia","child_vitA","infill","null_train_mean",5,30,0.0875809564590361,0.43790478229518,0.0882636580378221,0.15859284237015,0.401129943502825
"Gambia","child_vitA","infill","region_mean_jk",5,30,0.164076168682701,0.820380843413503,0.247332765500795,0.15859284237015,0.625298329355609
"Gambia","child_vitA","infill","spatial",5,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015,0.656542056074766
"Gambia","child_vitA","infill","domain_index",5,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015,0.69392523364486
"Gambia","child_vitA","infill","spatial_plus_domain",5,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015,0.656542056074766
"Gambia","child_vitA","infill","null_train_mean",6,30,0.268007313058553,1.34003656529276,0.145646607176053,0.15859284237015,0.441926345609065
"Gambia","child_vitA","infill","region_mean_jk",6,30,0.153014520677015,0.765072603385076,0.233258366153437,0.15859284237015,0.677884615384615
"Gambia","child_vitA","infill","spatial",6,30,0.180318730643903,0.901593653219516,0.3046258153253,0.15859284237015,0.696261682242991
"Gambia","child_vitA","infill","domain_index",6,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015,0.710280373831776
"Gambia","child_vitA","infill","spatial_plus_domain",6,30,0.180318730643903,0.901593653219516,0.3046258153253,0.15859284237015,0.696261682242991
"Gambia","child_vitA","infill","null_train_mean",7,30,0.0668043999158885,0.334021999579443,0.082288069578313,0.15859284237015,0.336158192090395
"Gambia","child_vitA","infill","region_mean_jk",7,30,0.164564045525942,0.82282022762971,0.240159357381963,0.15859284237015,0.660287081339713
"Gambia","child_vitA","infill","spatial",7,30,0.165793398215829,0.828966991079147,0.29199396656183,0.15859284237015,0.675233644859813
"Gambia","child_vitA","infill","domain_index",7,30,0.179524522388755,0.897622611943776,0.311987301608982,0.15859284237015,0.703271028037383
"Gambia","child_vitA","infill","spatial_plus_domain",7,30,0.165793398215829,0.828966991079147,0.29199396656183,0.15859284237015,0.675233644859813
"Gambia","child_vitA","infill","null_train_mean",8,30,0.154427039500364,0.772135197501822,0.169149929132785,0.15859284237015,0.484419263456091
"Gambia","child_vitA","infill","region_mean_jk",8,30,0.162685449326399,0.813427246631997,0.212601485821355,0.15859284237015,0.660287081339713
"Gambia","child_vitA","infill","spatial",8,30,0.211671628613951,1.05835814306975,0.239029048515117,0.15859284237015,0.668224299065421
"Gambia","child_vitA","infill","domain_index",8,30,0.126797120586952,0.633985602934762,0.234875280419822,0.15859284237015,0.689252336448598
"Gambia","child_vitA","infill","spatial_plus_domain",8,30,0.178562112167861,0.892810560839304,0.17900206348658,0.15859284237015,0.602803738317757
"Gambia","child_vitA","infill","null_train_mean",9,30,0.0566841635994019,0.28342081799701,0.0703355428208352,0.15859284237015,0.331460674157303
"Gambia","child_vitA","infill","region_mean_jk",9,30,0.0770167330442532,0.385083665221266,0.191107802432232,0.15859284237015,0.621103117505995
"Gambia","child_vitA","infill","spatial",9,30,0.1892322728818,0.946161364409,0.264255491939203,0.15859284237015,0.598130841121495
"Gambia","child_vitA","infill","domain_index",9,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015,0.668224299065421
"Gambia","child_vitA","infill","spatial_plus_domain",9,30,0.1892322728818,0.946161364409,0.264255491939203,0.15859284237015,0.598130841121495
"Gambia","child_vitA","infill","null_train_mean",10,30,0.136676717994852,0.683383589974258,0.192450712584152,0.15859284237015,0.355932203389831
"Gambia","child_vitA","infill","region_mean_jk",10,30,0.189813631767185,0.949068158835925,0.250239607299449,0.15859284237015,0.653846153846154
"Gambia","child_vitA","infill","spatial",10,30,0.250667906242828,1.25333953121414,0.274404938737424,0.15859284237015,0.64018691588785
"Gambia","child_vitA","infill","domain_index",10,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015,0.691588785046729
"Gambia","child_vitA","infill","spatial_plus_domain",10,30,0.250667906242828,1.25333953121414,0.274404938737424,0.15859284237015,0.64018691588785
"Gambia","child_vitA","infill","oracle_ceiling",1,30,0.250656210114382,1.25328105057191,0.381413376061702,0.15859284237015,1
"Gambia","women_vitA","infill","null_train_mean",1,30,0.206506968589245,1.03253484294623,0.0166773836990481,0.0225055164577382,0.382978723404255
"Gambia","women_vitA","infill","region_mean_jk",1,30,0.149952763099285,0.749763815496424,0.0233447577560799,0.0225055164577382,0.467692307692308
"Gambia","women_vitA","infill","spatial",1,30,0.230092643677412,1.15046321838706,0.0332568073004657,0.0225055164577382,0.627906976744186
"Gambia","women_vitA","infill","domain_index",1,30,0.277611381701375,1.38805690850687,0.0526891779593215,0.0225055164577382,0.659883720930233
"Gambia","women_vitA","infill","spatial_plus_domain",1,30,0.230092643677412,1.15046321838706,0.0332568073004657,0.0225055164577382,0.691860465116279
"Gambia","women_vitA","infill","null_train_mean",2,30,0.0391392227106542,0.195696113553271,0.00599284382157768,0.0225055164577382,0.255172413793103
"Gambia","women_vitA","infill","region_mean_jk",2,30,0.191929400101864,0.95964700050932,0.035592991502184,0.0225055164577382,0.541666666666667
"Gambia","women_vitA","infill","spatial",2,30,0.377870883500606,1.88935441750303,0.0905888388361809,0.0225055164577382,0.665697674418605
"Gambia","women_vitA","infill","domain_index",2,30,0.377870883500606,1.88935441750303,0.0905888388361809,0.0225055164577382,0.659883720930233
"Gambia","women_vitA","infill","spatial_plus_domain",2,30,0.377870883500606,1.88935441750303,0.0905888388361809,0.0225055164577382,0.654069767441861
"Gambia","women_vitA","infill","null_train_mean",3,30,0.0432311567790649,0.216155783895324,0.00704871346006736,0.0225055164577382,0.315789473684211
"Gambia","women_vitA","infill","region_mean_jk",3,30,0.0885896209169459,0.442948104584729,0.0248969780796432,0.0225055164577382,0.401215805471125
"Gambia","women_vitA","infill","spatial",3,30,0.161025566760647,0.805127833803234,0.0387908345675757,0.0225055164577382,0.613372093023256
"Gambia","women_vitA","infill","domain_index",3,30,0.188510446143026,0.942552230715131,0.0427827371975882,0.0225055164577382,0.648255813953488
"Gambia","women_vitA","infill","spatial_plus_domain",3,30,0.156933632692236,0.78466816346118,0.0358410060702167,0.0225055164577382,0.584302325581395
"Gambia","women_vitA","infill","null_train_mean",4,30,0.155646971192238,0.778234855961191,0.00848850224110377,0.0225055164577382,0.34982332155477
"Gambia","women_vitA","infill","region_mean_jk",4,30,0.151938544983538,0.75969272491769,0.0241428328170857,0.0225055164577382,0.519402985074627
"Gambia","women_vitA","infill","spatial",4,30,0.382565512410588,1.91282756205294,0.0606399385242567,0.0225055164577382,0.686046511627907
"Gambia","women_vitA","infill","domain_index",4,30,0.250268027793558,1.25134013896779,0.0671341496051108,0.0225055164577382,0.677325581395349
"Gambia","women_vitA","infill","spatial_plus_domain",4,30,0.382565512410588,1.91282756205294,0.0606399385242567,0.0225055164577382,0.694767441860465
