"target","outcome","scheme","arm","country","n_areas","spearman","topk"
"prev","child_iron","rank_within","domain_index","Gambia",30,0.556012908101836,0.375
"prev","child_iron","rank_within","domain_index","Ghana",75,0.345213105092551,0.421052631578947
"prev","child_iron","rank_within","domain_index","Malawi",87,-0.261104417295802,0.181818181818182
"prev","child_iron","rank_within","domain_index","SierraLeone",14,0.362637362637363,0.25
"prev","child_iron","rank_within","domain_enet","Gambia",30,0.549338083274683,0.5
"prev","child_iron","rank_within","domain_enet","Ghana",75,0.556436063426262,0.578947368421053
"prev","child_iron","rank_within","domain_enet","Malawi",87,-0.0937323632998798,0.227272727272727
"prev","child_iron","rank_within","domain_enet","SierraLeone",14,0.252747252747253,0.25
"prev","women_iron","raw_pooled","domain_index","Gambia",30,-0.20647458131993,0.25
"prev","women_iron","raw_pooled","domain_index","Ghana",75,0.214001346798325,0.368421052631579
"prev","women_iron","raw_pooled","domain_index","Malawi",87,0.149072317118485,0.409090909090909
"prev","women_iron","raw_pooled","domain_index","SierraLeone",14,0.173626373626374,0
"prev","women_iron","raw_pooled","domain_enet","Gambia",30,NA,0.125
"prev","women_iron","raw_pooled","domain_enet","Ghana",75,NA,0.157894736842105
"prev","women_iron","raw_pooled","domain_enet","Malawi",87,0.0688204084306697,0.272727272727273
"prev","women_iron","raw_pooled","domain_enet","SierraLeone",14,0.305494505494505,0.25
"prev","women_iron","z_pooled","domain_index","Gambia",30,-0.457670488981784,0
"prev","women_iron","z_pooled","domain_index","Ghana",75,0.172617008888698,0.473684210526316
"prev","women_iron","z_pooled","domain_index","Malawi",87,-0.0354422789349071,0.227272727272727
"prev","women_iron","z_pooled","domain_index","SierraLeone",14,-0.0153846153846154,0
"prev","women_iron","z_pooled","domain_enet","Gambia",30,NA,0.125
"prev","women_iron","z_pooled","domain_enet","Ghana",75,NA,0.157894736842105
"prev","women_iron","z_pooled","domain_enet","Malawi",87,0.110519929611593,0.318181818181818
"prev","women_iron","z_pooled","domain_enet","SierraLeone",14,0.292307692307692,0.25
"prev","women_iron","rank_within","domain_index","Gambia",30,-0.326176439886871,0.125
"prev","women_iron","rank_within","domain_index","Ghana",75,0.270983953933974,0.368421052631579
"prev","women_iron","rank_within","domain_index","Malawi",87,-0.0949416179251351,0.227272727272727
"prev","women_iron","rank_within","domain_index","SierraLeone",14,0.0285714285714286,0
"prev","women_iron","rank_within","domain_enet","Gambia",30,-0.194459896631054,0.25
"prev","women_iron","rank_within","domain_enet","Ghana",75,0.295431794722729,0.421052631578947
"prev","women_iron","rank_within","domain_enet","Malawi",87,0.157347427426087,0.363636363636364
"prev","women_iron","rank_within","domain_enet","SierraLeone",14,0.213186813186813,0
"prev","women_folate","raw_pooled","domain_index","Ghana",75,-0.261524661127456,0.263157894736842
"prev","women_folate","raw_pooled","domain_index","Malawi",87,-0.212479762482127,0.136363636363636
"prev","women_folate","raw_pooled","domain_index","SierraLeone",14,0.217582417582418,0.75
"prev","women_folate","raw_pooled","domain_enet","Ghana",75,0.00553370608700731,0.210526315789474
"prev","women_folate","raw_pooled","domain_enet","Malawi",87,-0.210133976967998,0.136363636363636
"prev","women_folate","raw_pooled","domain_enet","SierraLeone",14,-0.30989010989011,0.25
"prev","women_folate","z_pooled","domain_index","Ghana",75,-0.134334993900829,0.157894736842105
"prev","women_folate","z_pooled","domain_index","Malawi",87,-0.116563199237763,0.181818181818182
"prev","women_folate","z_pooled","domain_index","SierraLeone",14,-0.120879120879121,0.25
"prev","women_folate","z_pooled","domain_enet","Ghana",75,NA,0.263157894736842
"prev","women_folate","z_pooled","domain_enet","Malawi",87,-0.0713416673820651,0.318181818181818
"prev","women_folate","z_pooled","domain_enet","SierraLeone",14,-0.0549450549450549,0.25
"prev","women_folate","rank_within","domain_index","Ghana",75,-0.244367319831916,0.210526315789474
"prev","women_folate","rank_within","domain_index","Malawi",87,-0.203757536185546,0.136363636363636
"prev","women_folate","rank_within","domain_index","SierraLeone",14,0.169230769230769,0.25
"prev","women_folate","rank_within","domain_enet","Ghana",75,-0.149310229445566,0.263157894736842
"prev","women_folate","rank_within","domain_enet","Malawi",87,-0.121897068680603,0.227272727272727
"prev","women_folate","rank_within","domain_enet","SierraLeone",14,0.125274725274725,0.25
"prev","women_b12","raw_pooled","domain_index","Ghana",75,-0.168549420348087,0.157894736842105
"prev","women_b12","raw_pooled","domain_index","Malawi",87,0.0624768057592429,0.227272727272727
"prev","women_b12","raw_pooled","domain_index","SierraLeone",14,-0.401927904190204,0
"prev","women_b12","raw_pooled","domain_enet","Ghana",75,NA,0.157894736842105
"prev","women_b12","raw_pooled","domain_enet","Malawi",87,0.185118293256953,0.363636363636364
"prev","women_b12","raw_pooled","domain_enet","SierraLeone",14,-0.269787223360548,0.25
"prev","women_b12","z_pooled","domain_index","Ghana",75,0.161368733049919,0.263157894736842
"prev","women_b12","z_pooled","domain_index","Malawi",87,0.160896630386904,0.318181818181818
"prev","women_b12","z_pooled","domain_index","SierraLeone",14,-0.129387749979038,0.25
"prev","women_b12","z_pooled","domain_enet","Ghana",75,NA,0.157894736842105
"prev","women_b12","z_pooled","domain_enet","Malawi",87,0.238841174916148,0.454545454545455
"prev","women_b12","z_pooled","domain_enet","SierraLeone",14,-0.245010845704987,0.25
"prev","women_b12","rank_within","domain_index","Ghana",75,0.229290165644231,0.315789473684211
"prev","women_b12","rank_within","domain_index","Malawi",87,0.271779668987516,0.409090909090909
"prev","women_b12","rank_within","domain_index","SierraLeone",14,-0.335857563775376,0.25
"prev","women_b12","rank_within","domain_enet","Ghana",75,NA,0.157894736842105
"prev","women_b12","rank_within","domain_enet","Malawi",87,0.10301934407006,0.318181818181818
"prev","women_b12","rank_within","domain_enet","SierraLeone",14,-0.311081186119815,0.25
"level","child_vitA","raw_pooled","domain_index","Gambia",30,0.343715239154616,0.375
"level","child_vitA","raw_pooled","domain_index","Ghana",75,0.0381507823613087,0.105263157894737
"level","child_vitA","raw_pooled","domain_index","Malawi",87,-0.0293431508347306,0.227272727272727
"level","child_vitA","raw_pooled","domain_index","SierraLeone",14,-0.0769230769230769,0.25
"level","child_vitA","raw_pooled","domain_enet","Gambia",30,0.651167964404894,0.75
"level","child_vitA","raw_pooled","domain_enet","Ghana",75,0.369103840682788,0.421052631578947
"level","child_vitA","raw_pooled","domain_enet","Malawi",87,0.281821826930087,0.454545454545455
"level","child_vitA","raw_pooled","domain_enet","SierraLeone",14,-0.384615384615385,0.25
"level","child_vitA","z_pooled","domain_index","Gambia",30,0.741490545050056,0.625
"level","child_vitA","z_pooled","domain_index","Ghana",75,0.33126600284495,0.473684210526316
"level","child_vitA","z_pooled","domain_index","Malawi",87,0.212510024057739,0.318181818181818
"level","child_vitA","z_pooled","domain_index","SierraLeone",14,-0.327472527472527,0.25
"level","child_vitA","z_pooled","domain_enet","Gambia",30,0.758843159065628,0.625
"level","child_vitA","z_pooled","domain_enet","Ghana",75,0.228164912988362,0.421052631578947
"level","child_vitA","z_pooled","domain_enet","Malawi",87,0.173944740103521,0.272727272727273
"level","child_vitA","z_pooled","domain_enet","SierraLeone",14,-0.340659340659341,0.25
"level","child_vitA","rank_within","domain_index","Gambia",30,0.713459399332592,0.75
"level","child_vitA","rank_within","domain_index","Ghana",75,0.356955903271693,0.578947368421053
"level","child_vitA","rank_within","domain_index","Malawi",87,0.219435736677116,0.363636363636364
"level","child_vitA","rank_within","domain_index","SierraLeone",14,-0.151648351648352,0.5
"level","child_vitA","rank_within","domain_enet","Gambia",30,0.50567296996663,0.5
"level","child_vitA","rank_within","domain_enet","Ghana",75,0.321194879089616,0.578947368421053
"level","child_vitA","rank_within","domain_enet","Malawi",87,0.206568491652694,0.409090909090909
"level","child_vitA","rank_within","domain_enet","SierraLeone",14,0.0681318681318681,0.5
"level","women_vitA","raw_pooled","domain_index","Gambia",30,-0.37174638487208,0
"level","women_vitA","raw_pooled","domain_index","Ghana",75,-0.193428165007112,0.105263157894737
"level","women_vitA","raw_pooled","domain_index","Malawi",87,-0.077458627979879,0.227272727272727
"level","women_vitA","raw_pooled","domain_index","SierraLeone",14,0.116483516483516,0.25
"level","women_vitA","raw_pooled","domain_enet","Gambia",30,0.482981090100111,0.375
"level","women_vitA","raw_pooled","domain_enet","Ghana",75,0.289103840682788,0.421052631578947
"level","women_vitA","raw_pooled","domain_enet","Malawi",87,0.0672523146460596,0.363636363636364
"level","women_vitA","raw_pooled","domain_enet","SierraLeone",14,0.257142857142857,0.5
"level","women_vitA","z_pooled","domain_index","Gambia",30,0.545717463848721,0.375
"level","women_vitA","z_pooled","domain_index","Ghana",75,0.179601706970128,0.421052631578947
"level","women_vitA","z_pooled","domain_index","Malawi",87,0.228056426332288,0.318181818181818
"level","women_vitA","z_pooled","domain_index","SierraLeone",14,0.0153846153846154,0.25
"level","women_vitA","z_pooled","domain_enet","Gambia",30,0.440266963292547,0.5
"level","women_vitA","z_pooled","domain_enet","Ghana",75,0.40628733997155,0.473684210526316
"level","women_vitA","z_pooled","domain_enet","Malawi",87,0.115094408398338,0.409090909090909
"level","women_vitA","z_pooled","domain_enet","SierraLeone",14,0.542857142857143,0.5
"level","women_vitA","rank_within","domain_index","Gambia",30,0.637374860956618,0.5
