"estimand","target","arm","RR10","headline","with_dhs","open_only"
"infill","level","domain_enet","0.328 (16/24)","0.328 (16/24)","0.343 (16/24)",NA
"infill","level","domain_index","0.399 (16/24)","0.399 (16/24)","0.400 (16/24)",NA
"infill","level","null_train_mean","-0.228 (0/24)","-0.228 (0/24)","-0.228 (0/24)",NA
"infill","level","raw_enet","0.314 (14/24)","0.317 (15/24)","0.309 (15/24)",NA
"infill","level","region_mean_jk","0.314 (17/24)","0.314 (17/24)","0.314 (17/24)",NA
"infill","level","spatial","0.390 (17/24)","0.390 (17/24)","0.390 (17/24)",NA
"infill","level","spatial_plus_domain","0.396 (17/24)","0.394 (17/24)","0.394 (17/24)",NA
"infill","prev","domain_enet","0.173 (12/24)","0.168 (12/24)","0.187 (12/24)",NA
"infill","prev","domain_index","0.283 (15/24)","0.282 (15/24)","0.285 (15/24)",NA
"infill","prev","null_train_mean","-0.218 (0/24)","-0.218 (0/24)","-0.218 (0/24)",NA
"infill","prev","raw_enet","0.169 (12/24)","0.170 (12/24)","0.153 (12/24)",NA
"infill","prev","region_mean_jk","0.220 (15/24)","0.220 (15/24)","0.220 (15/24)",NA
"infill","prev","spatial","0.257 (14/24)","0.257 (14/24)","0.257 (14/24)",NA
"infill","prev","spatial_plus_domain","0.259 (14/24)","0.259 (14/24)","0.257 (14/24)",NA
"region","level","domain_enet","0.267 (16/24)","0.262 (16/24)","0.279 (15/24)",NA
"region","level","domain_index","0.385 (16/24)","0.386 (16/24)","0.381 (16/24)",NA
"region","level","null_train_mean","-0.604 (0/24)","-0.604 (0/24)","-0.604 (0/24)",NA
"region","level","raw_enet","0.234 (14/24)","0.229 (14/24)","0.203 (15/24)",NA
"region","level","spatial","0.377 (17/24)","0.377 (17/24)","0.377 (17/24)",NA
"region","level","spatial_plus_domain","0.386 (17/24)","0.385 (17/24)","0.381 (17/24)",NA
"region","prev","domain_enet","0.077 (10/24)","0.069 (10/24)","0.106 (11/24)",NA
"region","prev","domain_index","0.264 (15/24)","0.263 (15/24)","0.266 (15/24)",NA
"region","prev","null_train_mean","-0.535 (0/24)","-0.535 (0/24)","-0.535 (0/24)",NA
"region","prev","raw_enet","-0.042 (7/24)","-0.048 (7/24)","-0.068 (9/24)",NA
"region","prev","spatial","0.229 (14/24)","0.229 (14/24)","0.229 (14/24)",NA
"region","prev","spatial_plus_domain","0.233 (14/24)","0.234 (14/24)","0.229 (14/24)",NA
"country","level","domain_enet","0.272 (18/22)","0.266 (18/22)","0.258 (18/22)","0.291 (19/22)"
"country","level","domain_index","0.308 (18/22)","0.302 (18/22)","0.281 (17/22)","0.316 (19/22)"
"country","level","null_train_mean","NA (0/22)","NA (0/22)","NA (0/22)","NA (0/22)"
"country","prev","domain_enet","0.206 (18/22)","0.232 (18/22)","0.156 (15/22)","0.209 (20/22)"
"country","prev","domain_index","0.230 (19/22)","0.223 (19/22)","0.188 (16/22)","0.240 (19/22)"
"country","prev","null_train_mean","NA (0/22)","NA (0/22)","NA (0/22)","NA (0/22)"
