"fraction","arm","cells","mae","rho"
0.15,"aug_idx",18,20.87,0.055
0.15,"model_idx",24,17.32,0.088
0.15,"model_sp",24,12.74,0.072
0.15,"survey",24,12.59,0.071
0.25,"aug_idx",18,17.7,0.084
0.25,"model_idx",24,13.2,0.253
0.25,"model_sp",24,11.2,0.233
0.25,"survey",24,11.31,0.096
0.4,"aug_idx",18,14.96,0.083
0.4,"model_idx",24,13.28,0.248
0.4,"model_sp",24,10.2,0.205
0.4,"survey",24,10.36,0.113
0.6,"aug_idx",18,13.67,0.138
0.6,"model_idx",24,13.29,0.282
0.6,"model_sp",24,11.24,0.161
0.6,"survey",24,9.86,0.128
0.8,"aug_idx",18,12.67,0.129
0.8,"model_idx",24,11.39,0.236
0.8,"model_sp",24,9.73,0.187
0.8,"survey",24,9.58,0.138
1,"aug_idx",18,12.07,0.171
1,"model_idx",24,10.66,0.255
1,"model_sp",24,9.38,0.225
1,"survey",24,9.26,0.159
