"country","outcome","target","estimand","arm","rep","n_areas","n","spearman","pearson","mae","wmae","bias","rmse_sd","topk"
"Ghana","child_vitA","prev","country","sl_lrn_domain_pc1_ols",1,75,75,0.260751462798305,0.307702389184197,NA,NA,NA,NA,0.421052631578947
"Malawi","child_vitA","prev","country","sl_lrn_domain_pc1_ols",1,87,87,0.0772199880982991,0.0573728235479228,NA,NA,NA,NA,0.272727272727273
"SierraLeone","child_vitA","prev","country","sl_lrn_domain_pc1_ols",1,14,14,0.2,0.0561202583068584,NA,NA,NA,NA,0.5
"Gambia","child_vitA","prev","country","sl_lrn_hapc",1,30,30,0.382225478941405,0.369036792110884,NA,NA,NA,NA,0.5
"Ghana","child_vitA","prev","country","sl_lrn_hapc",1,75,75,-0.153665503525559,-0.138851698332839,NA,NA,NA,NA,0.210526315789474
"Malawi","child_vitA","prev","country","sl_lrn_hapc",1,87,87,-0.18044354737891,-0.2236339132102,NA,NA,NA,NA,0.227272727272727
"SierraLeone","child_vitA","prev","country","sl_lrn_hapc",1,14,14,-0.27032967032967,-0.121446948632286,NA,NA,NA,NA,0.25
"Gambia","child_vitA","prev","country","sl_lrn_hapc_lasso",1,30,30,0.642165533676031,0.585966191577102,NA,NA,NA,NA,0.5
"Ghana","child_vitA","prev","country","sl_lrn_hapc_lasso",1,75,75,0.225065636476828,0.261113753596117,NA,NA,NA,NA,0.315789473684211
"Malawi","child_vitA","prev","country","sl_lrn_hapc_lasso",1,87,87,0.158529156373834,0.157086698370275,NA,NA,NA,NA,0.227272727272727
"SierraLeone","child_vitA","prev","country","sl_lrn_hapc_lasso",1,14,14,-0.0021978021978022,-0.0458270846373054,NA,NA,NA,NA,0.5
"Gambia","child_vitA","prev","country","ridge_min",1,30,30,0.630360201284485,0.505968332949367,NA,NA,NA,NA,0.625
"Ghana","child_vitA","prev","country","ridge_min",1,75,75,0.331425347887485,0.430331795326716,NA,NA,NA,NA,0.473684210526316
"Malawi","child_vitA","prev","country","ridge_min",1,87,87,0.147662329493997,0.12415327254921,NA,NA,NA,NA,0.227272727272727
"SierraLeone","child_vitA","prev","country","ridge_min",1,14,14,-0.0417582417582418,0.0470306161082601,NA,NA,NA,NA,0.5
"Gambia","child_vitA","prev","country","domain_enet",1,30,30,0.590489361697939,0.508511237699855,NA,NA,NA,NA,0.625
"Ghana","child_vitA","prev","country","domain_enet",1,75,75,0.313155230101989,0.412351145227723,NA,NA,NA,NA,0.368421052631579
"Malawi","child_vitA","prev","country","domain_enet",1,87,87,0.204459008861793,0.110630564498045,NA,NA,NA,NA,0.227272727272727
"SierraLeone","child_vitA","prev","country","domain_enet",1,14,14,-0.314285714285714,-0.219535510874207,NA,NA,NA,NA,0.25
"Gambia","women_vitA","prev","country","domain_index",1,30,30,0.33345600851318,0.370164681088531,NA,NA,NA,NA,0.375
"Ghana","women_vitA","prev","country","domain_index",1,75,75,0.0750679250177989,0.193282319870713,NA,NA,NA,NA,0.315789473684211
"Malawi","women_vitA","prev","country","domain_index",1,87,87,0.187091559460035,0.210006782411156,NA,NA,NA,NA,0.272727272727273
"SierraLeone","women_vitA","prev","country","domain_index",1,14,14,-0.0258166887571028,-0.208351243889778,NA,NA,NA,NA,0.5
"Gambia","women_vitA","prev","country","sl_disc",1,30,30,0.126248650654533,0.0175237662778404,NA,NA,NA,NA,0.375
"Ghana","women_vitA","prev","country","sl_disc",1,75,75,0.071284369994988,0.170150915314277,NA,NA,NA,NA,0.315789473684211
"Malawi","women_vitA","prev","country","sl_disc",1,87,87,0.166030595918567,0.287917960879664,NA,NA,NA,NA,0.272727272727273
"SierraLeone","women_vitA","prev","country","sl_disc",1,14,14,-0.129083443785514,-0.233465371117205,NA,NA,NA,NA,0.5
"Gambia","women_vitA","prev","country","sl_nnls",1,30,30,0.279718199963202,0.286491651252555,NA,NA,NA,NA,0.5
"Ghana","women_vitA","prev","country","sl_nnls",1,75,75,0.196964197709228,0.241024157580646,NA,NA,NA,NA,0.368421052631579
"Malawi","women_vitA","prev","country","sl_nnls",1,87,87,0.174454981335154,0.162772002180644,NA,NA,NA,NA,0.363636363636364
"SierraLeone","women_vitA","prev","country","sl_nnls",1,14,14,0.0164288019363381,-0.144225393590195,NA,NA,NA,NA,0.25
"Gambia","women_vitA","prev","country","sl_rank_disc",1,30,30,NA,NA,NA,NA,NA,NA,0.125
"Ghana","women_vitA","prev","country","sl_rank_disc",1,75,75,0.071284369994988,0.170150915314277,NA,NA,NA,NA,0.315789473684211
"Malawi","women_vitA","prev","country","sl_rank_disc",1,87,87,0.174454981335154,0.162772002180644,NA,NA,NA,NA,0.363636363636364
"SierraLeone","women_vitA","prev","country","sl_rank_disc",1,14,14,-0.110307670143985,-0.152326574126736,NA,NA,NA,NA,0.25
"Gambia","women_vitA","prev","country","sl_rank_nnls",1,30,30,0.235366908190513,0.256209986892237,NA,NA,NA,NA,0.375
"Ghana","women_vitA","prev","country","sl_rank_nnls",1,75,75,0.118167551799384,0.170186696342515,NA,NA,NA,NA,0.368421052631579
"Malawi","women_vitA","prev","country","sl_rank_nnls",1,87,87,0.186670340189205,0.169154485969168,NA,NA,NA,NA,0.363636363636364
"SierraLeone","women_vitA","prev","country","sl_rank_nnls",1,14,14,0.0305106321674851,-0.138089055735695,NA,NA,NA,NA,0.25
"Gambia","women_vitA","prev","country","sl_lrn_mean",1,30,30,NA,NA,NA,NA,NA,NA,0.125
"Ghana","women_vitA","prev","country","sl_lrn_mean",1,75,75,NA,NA,NA,NA,NA,NA,0.105263157894737
"Malawi","women_vitA","prev","country","sl_lrn_mean",1,87,87,NA,NA,NA,NA,NA,NA,0.909090909090909
"SierraLeone","women_vitA","prev","country","sl_lrn_mean",1,14,14,NA,NA,NA,NA,NA,NA,0.5
"Gambia","women_vitA","prev","country","sl_lrn_lasso",1,30,30,NA,NA,NA,NA,NA,NA,0.125
"Ghana","women_vitA","prev","country","sl_lrn_lasso",1,75,75,0.111386397628066,0.184080647500504,NA,NA,NA,NA,0.368421052631579
"Malawi","women_vitA","prev","country","sl_lrn_lasso",1,87,87,0.0652187837667438,0.0625154446704135,NA,NA,NA,NA,0.318181818181818
"SierraLeone","women_vitA","prev","country","sl_lrn_lasso",1,14,14,-0.396638218177307,-0.491350340021233,NA,NA,NA,NA,0
"Gambia","women_vitA","prev","country","sl_lrn_enet",1,30,30,NA,NA,NA,NA,NA,NA,0.125
"Ghana","women_vitA","prev","country","sl_lrn_enet",1,75,75,0.087314214222066,0.170775237064195,NA,NA,NA,NA,0.368421052631579
"Malawi","women_vitA","prev","country","sl_lrn_enet",1,87,87,0.0594621203987427,0.0451472436452005,NA,NA,NA,NA,0.318181818181818
"SierraLeone","women_vitA","prev","country","sl_lrn_enet",1,14,14,-0.326229067021572,-0.469173554895432,NA,NA,NA,NA,0.25
"Gambia","women_vitA","prev","country","sl_lrn_ridge",1,30,30,NA,NA,NA,NA,NA,NA,0.125
"Ghana","women_vitA","prev","country","sl_lrn_ridge",1,75,75,0.120635087683826,0.209645433241005,NA,NA,NA,NA,0.421052631578947
"Malawi","women_vitA","prev","country","sl_lrn_ridge",1,87,87,0.138721546526465,0.206321730406427,NA,NA,NA,NA,0.272727272727273
"SierraLeone","women_vitA","prev","country","sl_lrn_ridge",1,14,14,-0.129083443785514,-0.233465371117205,NA,NA,NA,NA,0.5
"Gambia","women_vitA","prev","country","sl_lrn_ranger",1,30,30,0.126248650654533,0.0175237662778404,NA,NA,NA,NA,0.375
"Ghana","women_vitA","prev","country","sl_lrn_ranger",1,75,75,0.10694483303607,0.182699948590779,NA,NA,NA,NA,0.421052631578947
"Malawi","women_vitA","prev","country","sl_lrn_ranger",1,87,87,0.108674571873971,0.200352186250636,NA,NA,NA,NA,0.318181818181818
"SierraLeone","women_vitA","prev","country","sl_lrn_ranger",1,14,14,-0.00234697170519116,-0.00600007967356631,NA,NA,NA,NA,0.25
"Gambia","women_vitA","prev","country","sl_lrn_xgb",1,30,30,-0.286288761707305,-0.31347907992951,NA,NA,NA,NA,0.25
"Ghana","women_vitA","prev","country","sl_lrn_xgb",1,75,75,0.0527138777091142,0.0800712729879338,NA,NA,NA,NA,0.315789473684211
"Malawi","women_vitA","prev","country","sl_lrn_xgb",1,87,87,0.0633935002598166,0.268033708768454,NA,NA,NA,NA,0.318181818181818
"SierraLeone","women_vitA","prev","country","sl_lrn_xgb",1,14,14,-0.0539803492193967,-0.115250004923284,NA,NA,NA,NA,0
"Gambia","women_vitA","prev","country","sl_lrn_domain_index",1,30,30,0.33345600851318,0.370164681088531,NA,NA,NA,NA,0.375
"Ghana","women_vitA","prev","country","sl_lrn_domain_index",1,75,75,0.0750679250177989,0.193282319870713,NA,NA,NA,NA,0.315789473684211
"Malawi","women_vitA","prev","country","sl_lrn_domain_index",1,87,87,0.187091559460035,0.210006782411156,NA,NA,NA,NA,0.272727272727273
"SierraLeone","women_vitA","prev","country","sl_lrn_domain_index",1,14,14,-0.0258166887571028,-0.208351243889778,NA,NA,NA,NA,0.5
"Gambia","women_vitA","prev","country","sl_lrn_domain_pc_ridge",1,30,30,NA,NA,NA,NA,NA,NA,0.125
"Ghana","women_vitA","prev","country","sl_lrn_domain_pc_ridge",1,75,75,0.134946795813589,0.209634243844012,NA,NA,NA,NA,0.421052631578947
"Malawi","women_vitA","prev","country","sl_lrn_domain_pc_ridge",1,87,87,0.189197655814181,0.129118945697202,NA,NA,NA,NA,0.272727272727273
"SierraLeone","women_vitA","prev","country","sl_lrn_domain_pc_ridge",1,14,14,-0.213574425172396,-0.260504808737562,NA,NA,NA,NA,0.5
"Gambia","women_vitA","prev","country","sl_lrn_domain_pc_enet",1,30,30,NA,NA,NA,NA,NA,NA,0.125
"Ghana","women_vitA","prev","country","sl_lrn_domain_pc_enet",1,75,75,NA,NA,NA,NA,NA,NA,0.105263157894737
"Malawi","women_vitA","prev","country","sl_lrn_domain_pc_enet",1,87,87,0.0201483217880037,0.044219143743203,NA,NA,NA,NA,0.181818181818182
"SierraLeone","women_vitA","prev","country","sl_lrn_domain_pc_enet",1,14,14,-0.298065406559278,-0.116622573125951,NA,NA,NA,NA,0.25
"Gambia","women_vitA","prev","country","sl_lrn_domain_pc1_ols",1,30,30,-0.00891719093842424,0.0199244208887967,NA,NA,NA,NA,0.125
"Ghana","women_vitA","prev","country","sl_lrn_domain_pc1_ols",1,75,75,0.104842858023398,0.171760730117673,NA,NA,NA,NA,0.368421052631579
"Malawi","women_vitA","prev","country","sl_lrn_domain_pc1_ols",1,87,87,0.174454981335154,0.162772002180644,NA,NA,NA,NA,0.363636363636364
"SierraLeone","women_vitA","prev","country","sl_lrn_domain_pc1_ols",1,14,14,0.086837953092073,-0.0991772857088481,NA,NA,NA,NA,0.25
"Gambia","women_vitA","prev","country","sl_lrn_hapc",1,30,30,0.269862357347049,0.28272396224185,NA,NA,NA,NA,0.375
"Ghana","women_vitA","prev","country","sl_lrn_hapc",1,75,75,0.235183586852695,0.245747077433678,NA,NA,NA,NA,0.368421052631579
"Malawi","women_vitA","prev","country","sl_lrn_hapc",1,87,87,0.0803124743047954,0.0796393967385522,NA,NA,NA,NA,0.227272727272727
"SierraLeone","women_vitA","prev","country","sl_lrn_hapc",1,14,14,-0.110307670143985,-0.152326574126736,NA,NA,NA,NA,0.25
"Gambia","women_vitA","prev","country","sl_lrn_hapc_lasso",1,30,30,0.274086289896829,0.289221611526996,NA,NA,NA,NA,0.375
"Ghana","women_vitA","prev","country","sl_lrn_hapc_lasso",1,75,75,0.071284369994988,0.170150915314277,NA,NA,NA,NA,0.315789473684211
"Malawi","women_vitA","prev","country","sl_lrn_hapc_lasso",1,87,87,0.166030595918567,0.287917960879664,NA,NA,NA,NA,0.272727272727273
"SierraLeone","women_vitA","prev","country","sl_lrn_hapc_lasso",1,14,14,0.18071682129972,0.00711575914467929,NA,NA,NA,NA,0.5
"Gambia","women_vitA","prev","country","ridge_min",1,30,30,0.531042186675107,0.472944186279838,NA,NA,NA,NA,0.5
"Ghana","women_vitA","prev","country","ridge_min",1,75,75,0.135732751687892,0.235818238316055,NA,NA,NA,NA,0.368421052631579
"Malawi","women_vitA","prev","country","ridge_min",1,87,87,0.111693309981582,0.25579627690222,NA,NA,NA,NA,0.318181818181818
"SierraLeone","women_vitA","prev","country","ridge_min",1,14,14,0.00234697170519116,-0.124565217581709,NA,NA,NA,NA,0
"Gambia","women_vitA","prev","country","domain_enet",1,30,30,NA,NA,NA,NA,NA,NA,0.125
"Ghana","women_vitA","prev","country","domain_enet",1,75,75,NA,NA,NA,NA,NA,NA,0.105263157894737
"Malawi","women_vitA","prev","country","domain_enet",1,87,87,0.0814357256936736,0.145181150566435,NA,NA,NA,NA,0.272727272727273
"SierraLeone","women_vitA","prev","country","domain_enet",1,14,14,-0.00234697170519116,-0.0371403293421957,NA,NA,NA,NA,0.5
"Gambia","child_iron","prev","country","domain_index",1,30,30,0.607409059270913,0.60612732861025,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","domain_index",1,75,75,0.58767245189669,0.632530417600859,NA,NA,NA,NA,0.578947368421053
