"target","outcome","heldout","set","n_train_countries","train_set","spearman"
"level","child_vitA","Gambia","full",1,"Ghana",0.646273637374861
"level","child_vitA","Gambia","climate_soil",1,"Ghana",0.749054505005562
"level","child_vitA","Gambia","full",1,"Malawi",0.389988876529477
"level","child_vitA","Gambia","climate_soil",1,"Malawi",0.239599555061179
"level","child_vitA","Gambia","full",2,"Ghana+Malawi",0.612013348164627
"level","child_vitA","Gambia","climate_soil",2,"Ghana+Malawi",0.754838709677419
"level","child_vitA","Gambia","full",2,"Ghana+SierraLeone",0.645828698553949
"level","child_vitA","Gambia","climate_soil",2,"Ghana+SierraLeone",0.741045606229144
"level","child_vitA","Gambia","full",2,"Malawi+SierraLeone",0.333036707452725
"level","child_vitA","Gambia","climate_soil",2,"Malawi+SierraLeone",0.513681868743048
"level","child_vitA","Gambia","full",3,"Ghana+Malawi+SierraLeone",0.612903225806452
"level","child_vitA","Gambia","climate_soil",3,"Ghana+Malawi+SierraLeone",0.78420467185762
"level","child_vitA","Ghana","full",1,"Gambia",0.337211948790896
"level","child_vitA","Ghana","climate_soil",1,"Gambia",0.333314366998577
"level","child_vitA","Ghana","full",1,"Malawi",0.356216216216216
"level","child_vitA","Ghana","climate_soil",1,"Malawi",0.194964438122333
"level","child_vitA","Ghana","full",2,"Gambia+Malawi",0.361308677098151
"level","child_vitA","Ghana","climate_soil",2,"Gambia+Malawi",0.306173541963016
"level","child_vitA","Ghana","full",2,"Gambia+SierraLeone",0.340312944523471
"level","child_vitA","Ghana","climate_soil",2,"Gambia+SierraLeone",0.326827880512091
"level","child_vitA","Ghana","full",2,"Malawi+SierraLeone",0.300256045519203
"level","child_vitA","Ghana","climate_soil",2,"Malawi+SierraLeone",0.229388335704125
"level","child_vitA","Ghana","full",3,"Gambia+Malawi+SierraLeone",0.366543385490754
"level","child_vitA","Ghana","climate_soil",3,"Gambia+Malawi+SierraLeone",0.290867709815078
"level","child_vitA","Malawi","full",1,"Gambia",0.191477728366261
"level","child_vitA","Malawi","climate_soil",1,"Gambia",0.19268061529489
"level","child_vitA","Malawi","full",1,"Ghana",0.275297076620252
"level","child_vitA","Malawi","climate_soil",1,"Ghana",0.194339141211635
"level","child_vitA","Malawi","full",2,"Gambia+Ghana",0.241361084785303
"level","child_vitA","Malawi","climate_soil",2,"Gambia+Ghana",0.218834293212802
"level","child_vitA","Malawi","full",2,"Gambia+SierraLeone",0.213603557629219
"level","child_vitA","Malawi","climate_soil",2,"Gambia+SierraLeone",0.22089378143909
"level","child_vitA","Malawi","full",2,"Ghana+SierraLeone",0.252934315083473
"level","child_vitA","Malawi","climate_soil",2,"Ghana+SierraLeone",0.173051687686812
"level","child_vitA","Malawi","full",3,"Gambia+Ghana+SierraLeone",0.261190493548152
"level","child_vitA","Malawi","climate_soil",3,"Gambia+Ghana+SierraLeone",0.225632426915506
"level","child_vitA","SierraLeone","full",1,"Gambia",-0.0901098901098901
"level","child_vitA","SierraLeone","climate_soil",1,"Gambia",0.468131868131868
"level","child_vitA","SierraLeone","full",1,"Ghana",-0.0857142857142857
"level","child_vitA","SierraLeone","climate_soil",1,"Ghana",0.56043956043956
"level","child_vitA","SierraLeone","full",1,"Malawi",0.296703296703297
"level","child_vitA","SierraLeone","climate_soil",1,"Malawi",0.6
"level","child_vitA","SierraLeone","full",2,"Gambia+Ghana",-0.103296703296703
"level","child_vitA","SierraLeone","climate_soil",2,"Gambia+Ghana",0.450549450549451
"level","child_vitA","SierraLeone","full",2,"Gambia+Malawi",0.151648351648352
"level","child_vitA","SierraLeone","climate_soil",2,"Gambia+Malawi",0.468131868131868
"level","child_vitA","SierraLeone","full",2,"Ghana+Malawi",0.103296703296703
"level","child_vitA","SierraLeone","climate_soil",2,"Ghana+Malawi",0.56043956043956
"level","child_vitA","SierraLeone","full",3,"Gambia+Ghana+Malawi",0.0417582417582418
"level","child_vitA","SierraLeone","climate_soil",3,"Gambia+Ghana+Malawi",0.397802197802198
"level","women_vitA","Gambia","full",1,"Ghana",0.768186874304783
"level","women_vitA","Gambia","climate_soil",1,"Ghana",0.719688542825362
"level","women_vitA","Gambia","full",1,"Malawi",0.695661846496107
"level","women_vitA","Gambia","climate_soil",1,"Malawi",0.627586206896552
"level","women_vitA","Gambia","full",2,"Ghana+Malawi",0.737486095661847
"level","women_vitA","Gambia","climate_soil",2,"Ghana+Malawi",0.766852057842047
"level","women_vitA","Gambia","full",2,"Ghana+SierraLeone",0.769076751946607
"level","women_vitA","Gambia","climate_soil",2,"Ghana+SierraLeone",0.725027808676307
"level","women_vitA","Gambia","full",2,"Malawi+SierraLeone",0.702780867630701
"level","women_vitA","Gambia","climate_soil",2,"Malawi+SierraLeone",0.621802002224694
"level","women_vitA","Gambia","full",3,"Ghana+Malawi+SierraLeone",0.769076751946607
"level","women_vitA","Gambia","climate_soil",3,"Ghana+Malawi+SierraLeone",0.745494994438265
"level","women_vitA","Ghana","full",1,"Gambia",0.262844950213371
"level","women_vitA","Ghana","climate_soil",1,"Gambia",0.432347083926031
"level","women_vitA","Ghana","full",1,"Malawi",0.493684210526316
"level","women_vitA","Ghana","climate_soil",1,"Malawi",0.431408250355619
"level","women_vitA","Ghana","full",2,"Gambia+Malawi",0.350867709815078
"level","women_vitA","Ghana","climate_soil",2,"Gambia+Malawi",0.430640113798008
