"country","outcome","target","estimand","arm","rep","n_areas","n","spearman","pearson","mae","wmae","bias","rmse_sd","topk"
"Gambia","child_vitA","prev","infill","domain_index",1,30,30,0.610313410430914,0.562201049772316,11.6974231214002,9.86206844916997,0.819234972346846,1.06282389890603,0.625
"Gambia","child_vitA","prev","infill","sl_disc",1,30,30,0.653970866067578,0.585777035585066,9.01576996355088,7.11305896380973,-4.48624617364644,0.875875810251604,0.625
"Gambia","child_vitA","prev","infill","sl_nnls",1,30,30,0.47711362231497,0.306444400282074,11.6164493572255,9.21833222520335,-2.34892664439048,1.1664178435919,0.625
"Gambia","child_vitA","prev","infill","sl_rank_disc",1,30,30,0.628801006440318,0.561960936576848,11.7210046019587,9.88425911685604,0.783878948354304,1.06081776462825,0.625
"Gambia","child_vitA","prev","infill","sl_rank_nnls",1,30,30,0.372813483867217,0.204006620724999,23.8735575961425,18.9959037635718,8.57887037344938,2.5196253043821,0.375
"Gambia","child_vitA","prev","infill","sl_lrn_mean",1,30,30,-0.19358197634098,-0.174505613407733,10.9695854652225,9.78391484043122,-4.18826609435335,1.04974524472217,0.125
"Gambia","child_vitA","prev","infill","sl_lrn_lasso",1,30,30,0.255039728081532,0.261251626414395,10.7833948684538,9.22615140144458,-4.16198302038221,0.99829604651344,0.25
"Gambia","child_vitA","prev","infill","sl_lrn_enet",1,30,30,0.405613401603903,0.421727310980818,10.4412848963501,8.71957802127447,-4.16296527478301,0.944599588564581,0.375
"Gambia","child_vitA","prev","infill","sl_lrn_ridge",1,30,30,0.557746269970442,0.476031705920829,9.76913514542505,7.87388708737273,-3.21336850617976,0.897292822467004,0.625
"Gambia","child_vitA","prev","infill","sl_lrn_ranger",1,30,30,0.515870751298539,0.503900085024818,9.5008028720566,7.64463276828653,-3.6457089100574,0.891286899579903,0.625
"Gambia","child_vitA","prev","infill","sl_lrn_xgb",1,30,30,0.380889026217833,0.378867276023006,11.0268094159795,8.64329896076638,-4.42833121968777,1.01783634856473,0.625
"Gambia","child_vitA","prev","infill","sl_lrn_domain_index",1,30,30,0.628801006440318,0.561960936576848,11.7210046019587,9.88425911685604,0.783878948354304,1.06081776462825,0.625
"Gambia","child_vitA","prev","infill","sl_lrn_domain_pc_ridge",1,30,30,0.443925046346282,0.416180340534495,10.2390050063403,8.7841534880852,-3.67314861680751,0.942022489814282,0.625
"Gambia","child_vitA","prev","infill","sl_lrn_domain_pc_enet",1,30,30,0.493819281359612,0.499494932154749,9.95074393508861,8.57537887976937,-4.22786359095714,0.941247057422406,0.5
"Gambia","child_vitA","prev","infill","sl_lrn_domain_pc1_ols",1,30,30,0.162336939352201,0.0917486451916249,40.8489564540208,32.8570692019552,21.3227863444708,3.75427421157874,0.375
"Gambia","child_vitA","prev","infill","sl_lrn_hapc",1,30,30,0.476890880194375,0.423944290646266,9.64856344001204,6.78821213440203,-3.77087168828349,0.97779410890971,0.625
"Gambia","child_vitA","prev","infill","sl_lrn_hapc_lasso",1,30,30,0.557078043608656,0.515785084728329,10.049864890581,8.52606151255828,-5.40450123142276,0.948850182107895,0.625
"Gambia","child_vitA","prev","infill","sl_lrn_spatial_gam",1,30,30,0.584920808683059,0.545860666056389,9.99801065585457,7.90627784834727,-3.10857958990617,0.897614792860852,0.5
"Gambia","child_vitA","prev","infill","sl_lrn_spatial_plus_domain",1,30,30,0.584920808683059,0.545860666059973,9.99801065580711,7.90627784826286,-3.108579589742,0.897614792856768,0.5
"Gambia","child_vitA","prev","infill","ridge_min",1,30,30,0.551954974834966,0.522075062232437,10.1098706902882,8.56576039798294,-5.5424627224677,0.949700169987292,0.625
"Gambia","child_vitA","prev","infill","domain_enet",1,30,30,0.614545510722224,0.610052629741619,9.43212995734097,7.69927980330083,-4.85526796257896,0.865040325656083,0.625
"Gambia","child_vitA","prev","infill","domain_index",2,30,30,0.603408404692462,0.507038743984103,12.271682710233,9.99364836819802,1.52893050750772,1.17139391196519,0.5
"Gambia","child_vitA","prev","infill","sl_disc",2,30,30,0.594053235627463,0.609130999499997,9.1954617780191,7.54115030073275,-3.57346119455437,0.823815497928039,0.75
"Gambia","child_vitA","prev","infill","sl_nnls",2,30,30,0.518989140986872,0.516762267792085,9.7162414862189,8.51807416423926,-3.6007155391443,0.886048610609615,0.625
