"metric","median_r"
"indiv_optim_unwt",0.86
"indiv_cluster_unwt",0.38
"indiv_cluster_wt",0.357
"indiv_region_unwt",0.031
"indiv_region_wt",0.031
"area_enet_region",0.096
"sae_glmm_region",0.087
"sae_glmm_insample",0.749
"indiv_region_wt_ci_lo",-0.126
"indiv_region_wt_ci_hi",0.35
"indiv_region_wt_perm_p",0.361
"area_enet_region_ci_lo",-0.174
"area_enet_region_ci_hi",0.36
"area_enet_region_perm_p",0.312
"sae_glmm_region_ci_lo",-0.142
"sae_glmm_region_ci_hi",0.466
"sae_glmm_region_perm_p",0.222
