"country","outcome","n_ind","n_area","indiv_optim_unwt","indiv_cluster_unwt","indiv_cluster_wt","indiv_region_unwt","indiv_region_wt","area_enet_region","sae_glmm_region","sae_glmm_insample","indiv_region_wt_ci_lo","indiv_region_wt_ci_hi","indiv_region_wt_perm_p","area_enet_region_ci_lo","area_enet_region_ci_hi","area_enet_region_perm_p","sae_glmm_region_ci_lo","sae_glmm_region_ci_hi","sae_glmm_region_perm_p"
"Gambia","child_vitA",1020,30,0.880256609242971,0.492737950637116,0.481670947143681,0.413924139334063,0.412323243524189,0.133581244256967,0.402297081102965,0.752811361284477,0.139,0.66,0.011,-0.179,0.442,0.2328,0.098,0.66,0.014
"Gambia","women_vitA",1413,30,0.857116893699463,0.238521266712625,0.25084175294964,-0.14329765900268,-0.143292559794659,0.243148797874567,-0.0636902225685295,0.853231349357918,-0.281,0.333,0.7053,-0.109,0.544,0.0979,-0.278,0.188,0.5465
"Gambia","child_iron",1013,30,0.739918335511332,0.468527175529293,0.471980299561177,0.382642365824467,0.382246905255893,0.448251712246552,0.140489766739128,0.619480676743542,0.027,0.648,0.024,0.138,0.688,0.007,-0.257,0.483,0.2178
"Gambia","women_iron",1402,30,0.795778357947482,0.683282693640985,0.679299996131615,0.721982344348598,0.721982344348598,0.334513852990507,0.504752319851487,0.865316899028717,0.552,0.864,0.001,0.052,0.714,0.041,0.172,0.756,0.002
"Ghana","child_vitA",1165,75,0.835432466828046,0.432467416403377,0.432474046066942,0.244517367170065,0.244517367170065,0.21238761180085,0.25096470284847,0.6565570538217,0.034,0.434,0.01,-0.021,0.43,0.034,0.026,0.468,0.023
"Ghana","women_vitA",992,75,0.951095549144806,-0.0618690846990673,-0.0617104755835437,0.106912412862233,0.106912412862233,-0.254289948031771,0.304662668930972,0.745206272987516,-0.043,0.299,0.1449,-0.542,0.003,0.968,-0.114,0.56,0.029
"Ghana","child_iron",1165,75,0.880892142987043,0.582114395639871,0.582400029871971,0.318759980199102,0.318759980199102,0.491055245934072,0.547823054056706,0.852273907783381,0.139,0.498,0.004,0.337,0.629,0.001,0.373,0.7,0.001
"Ghana","women_iron",981,75,0.488035391729482,0.303198169554127,0.303247194855949,0.0129380349530794,0.012939019859995,0.305115130978602,0.362649233869395,0.634228693085192,-0.184,0.223,0.4715,0.106,0.511,0.005,0.236,0.512,0.006
"Ghana","women_folate",475,75,0.866490997563799,0.42255595504246,0.422464557441898,0.113820057967155,0.114210202944908,0.1925604950017,0.327326345554453,0.662010887084948,-0.12,0.344,0.1528,-0.094,0.444,0.046,0.102,0.537,0.007
"Ghana","women_b12",473,75,0.767768940784419,0.352860654676643,0.352976139110712,0.264074805398879,0.264074805398879,-0.0655085524194374,0.0923100917318765,0.579719209504643,0.049,0.516,0.021,-0.223,0.09,0.7263,-0.236,0.463,0.2158
"Sierra Leone","child_vitA",486,14,0.95952805882566,0.402288271903739,0.360336662631528,0.280018723690383,0.278769247718597,-0.100366179593071,0.0177549850662879,0.650837819944553,-0.133,0.684,0.1698,-0.518,0.347,0.6633,-0.356,0.347,0.4605
"Sierra Leone","women_vitA",774,14,0.863168438292331,0.358070422456871,0.334935775579077,-0.144395201651547,-0.143062371931745,-0.0895418864786891,0.0381300908432776,0.80426528462062,-0.494,0.308,0.6773,-0.626,0.254,0.6763,-0.446,0.651,0.4446
"Sierra Leone","child_iron",486,14,0.936922770625121,0.917490525435687,0.884869934378336,-0.269275201743201,-0.264281778027845,0.153393004199249,-0.124594401934493,0.796891055279384,-0.632,0.54,0.7982,-0.493,0.55,0.3067,-0.441,0.291,0.6344
"Sierra Leone","women_iron",774,14,0.643884967126757,0.565650551150499,0.542804660809271,-0.019623840803632,-0.0241863190219278,-0.277650957826784,-0.261702486218963,0.604473660333623,-0.46,0.357,0.5115,-0.616,0.065,0.8332,-0.681,0.128,0.8112
"Sierra Leone","women_folate",766,14,0.933418106625049,0.817666461751432,0.841365305607592,-0.499333217142997,-0.495318253090025,-0.249757614542555,0.651520181559654,0.920177634612715,-0.814,-0.14,0.963,-0.886,0.298,0.7872,0.28,0.936,0.007
"Sierra Leone","women_b12",768,14,0.808690987804067,0.760940129912469,0.660269611987909,-0.0192715109848824,-0.0409615318078578,0.360507388034172,0.0237997004429895,0.910907260852379,-0.448,0.511,0.5455,0.002,0.896,0.1698,-0.528,0.548,0.4975
"Malawi","child_vitA",1149,87,0.945825797416155,0.107119020842578,0.109485380475847,0.0259258537919196,0.0290316692853496,-0.00550541608683051,0.082446641398125,0.829059010340563,-0.101,0.312,0.3506,-0.17,0.159,0.5155,-0.153,0.304,0.2448
"Malawi","women_vitA",836,87,0.834532201537634,0.00664040036891844,0.00592917062921482,-0.0822219493256095,-0.0822782118685633,-0.555269111835499,-0.0606107582137186,0.683039675214286,-0.184,0.044,0.8342,-0.791,-0.264,1,-0.131,0.043,0.6863
"Malawi","child_iron",1149,87,0.652642573347976,0.287130947728572,0.286721207936905,0.273549181217254,0.273620740693665,0.351687314672096,0.124933151759166,0.580458717269631,-0.014,0.495,0.005,0.142,0.541,0.001,-0.056,0.313,0.1179
