"Admin1","Admin2","n_psu","y_level","pred","jk","r_survey","r_model","r_jk"
"Upper West","Jirapa",1,-3.4168489386526,-2.65215356400034,-3.03971054381986,54,12,17
"Upper West","Lambussie-Karni",1,-3.06083359343329,-2.6581443111902,-3.16051306136429,26,14,26
"Upper West","Sissala East",1,-2.5346079814455,-2.70580676613359,-3.2533258324457,7,19,35
"Upper West","Wa East",1,-2.83163117596954,-2.76071939201744,-3.14458293244764,14,23,22
"Upper West","Wa Municipal",2,-3.57842822148922,-2.7745528886671,-2.98763616045767,62,24,14
"Volta","Afadzato South",1,-3.51668345911504,-3.31251052424842,-3.29348513298338,59,33,47
"Volta","Akatsi South",1,-3.83969012752143,-3.16128208219159,-3.28518588589161,70,30,44
"Volta","Ho Municipal",1,-3.40850395684459,-3.38859154271795,-3.35689899372333,52,39,59
"Volta","South Tongu",1,-2.84599370375118,-3.2434314843508,-3.53801299188814,15,32,68
"Western","Effia Kwesimintsim",1,-3.42472776850464,-3.69327400458359,-3.43734112406621,55,75,67
"Western","Ellembelle",1,-3.39786274342248,-3.59525039442956,-3.42673019991923,51,69,65
"Western","Jomoro",1,-2.86996179106426,-3.59509389525761,-3.55308318456598,16,68,70
"Western","Mpohor",2,-3.43193811336173,-3.65204627634453,-3.37992327187624,56,73,63
"Western","Prestea-Huni Valley",1,-3.97957479385768,-3.6342710829584,-3.27965918041988,73,72,39
"Western North","Sefwi-Akontombra",1,-3.88370836811041,-3.53510035790085,-3.15892148355535,72,58,25
