Admin2,n_boot,boot_mean,ci_lo,ci_hi,ci_width
Banjul,10,NA,NA,NA,NA
Central Baddibu,10,NA,NA,NA,NA
Foni Bintang Karanai,10,NA,NA,NA,NA
Foni Brefet,10,NA,NA,NA,NA
Fulladu East,10,NA,NA,NA,NA
Fulladu West,10,NA,NA,NA,NA
Jarra East,10,NA,NA,NA,NA
Jarra West,10,NA,NA,NA,NA
Jokadu,10,NA,NA,NA,NA
Kanifing,10,NA,NA,NA,NA
Kantora,10,NA,NA,NA,NA
Kiang Central,10,NA,NA,NA,NA
Kiang East,10,NA,NA,NA,NA
Kombo Central,10,NA,NA,NA,NA
Kombo East,10,NA,NA,NA,NA
Kombo Saint Mary,10,NA,NA,NA,NA
Kombo South,10,NA,NA,NA,NA
Lower Baddibu,10,NA,NA,NA,NA
Lower Nuimi,10,NA,NA,NA,NA
Lower Saloum,10,NA,NA,NA,NA
Niamina Dankunku,10,NA,NA,NA,NA
Niamina East,10,NA,NA,NA,NA
Niani,10,NA,NA,NA,NA
Nianija,10,NA,NA,NA,NA
Sami,10,NA,NA,NA,NA
Sandu,10,NA,NA,NA,NA
Upper Baddibu,10,NA,NA,NA,NA
Upper Nuimi,10,NA,NA,NA,NA
Upper Saloum,10,NA,NA,NA,NA
Wuli,10,NA,NA,NA,NA
