"country","admin1","admin2","n_clusters","rain_annual_mean_50km","rain_july_25km","rain_seasonality_sd_10km","temp_may_25km","temp_oct_10km","temp_seasonality_sd_10km","temp_peak_month_25km","ndvi_april_50km","ndvi_november_25km","ndvi_december_25km","human_modification_index","grassland_fraction_50km","built_surface_nonres_10km","pop_density_cropland_10km","malaria_effective_treatment","malaria_pf_repro_number","prev_women_iron","n_women_iron","ndef_women_iron","var_women_iron","prev_women_vitA","n_women_vitA","ndef_women_vitA","var_women_vitA","prev_women_b12","n_women_b12","ndef_women_b12","var_women_b12","prev_women_folate","n_women_folate","ndef_women_folate","var_women_folate","prev_women_zinc","n_women_zinc","ndef_women_zinc","var_women_zinc","prev_child_iron","n_child_iron","ndef_child_iron","var_child_iron","prev_child_vitA","n_child_vitA","ndef_child_vitA","var_child_vitA","prev_child_zinc","n_child_zinc","ndef_child_zinc","var_child_zinc"
"Gambia","Banjul","Banjul",13,0.0908388984511627,0.200749044617017,0.143652102522996,17.9953575134277,24.1926403045654,2.25369894115183,10,0.15002948914965,0.187476282318433,0.158876066406568,0.638212859630585,0.465113462865921,3.30014264583588,4.27020343144735,0.52338772056963,1.32367709068858,0.164353580952208,225,40,0.000915609875869295,0,232,0,0,,,,,,,,,,,,,0.299184511388199,96,28,0.00327614280521256,0.0747119309212328,97,9,0.00106902152009155,,,,
"Gambia","Banjul","Kanifing",8,0.0895163086373443,0.211663121978442,0.144839781037342,17.9953575134277,24.1926403045654,2.25369894115183,10,0.15002948914965,0.180793220798175,0.15270874897639,0.740274965763092,0.461466974853777,3.81267563998699,5.37293579181036,0.522520795015595,1.23802165041915,0.186636529293986,139,27,0.00163816548806203,0.0132270263647896,139,2,0.000140849699334548,,,,,,,,,,,,,0.313276371268604,72,25,0.00448196430152875,0.129379459724291,72,9,0.00234667531511961,,,,
"Gambia","Lower River","Jarra East",2,0.0729344248415242,0.137740097939968,0.128936462807461,23.1873464584351,24.2713193893433,2.63630059018058,10,0.176551733165979,0.232254650443792,0.240247666835785,0.357857912778854,0.653714960922485,0.156230680644512,0.579634159803391,0.489868989928387,1.17180755289576,0.535447919492972,43,23,0.00867709691873092,0.141791677971889,43,6,0.00424488830336531,,,,,,,,,,,,,0.577109422197859,52,28,0.00704002318293209,0.208221526787354,52,10,0.00475573045874126,,,,
"Gambia","Lower River","Jarra West",3,0.0760986080647626,0.143254343420267,0.124970824917822,22.7117390632629,24.2669568061829,2.43870835383637,10,0.172724706786019,0.228341229259968,0.223441924899817,0.364125162363052,0.580395611724082,0.242459759116173,0.791380360722542,0.522251492205471,1.16053178128656,0.319923790193773,61,20,0.00535014488512681,0,61,0,0,,,,,,,,,,,,,0.216571716265486,35,9,0.00727150319911319,0.0755206393695848,35,3,0.00299216881709117,,,,
"Gambia","Lower River","Kiang Central",1,0.0799036282486289,0.150465562939644,0.124610446458138,21.8363132476807,24.4327349662781,2.33933337732357,10,0.169096333906054,0.218057185411453,0.200665023177862,0.331468909978867,0.53016624464775,0.146167761646211,0.853585556149483,0.521982193406014,1.15611322702124,0.4,20,8,0.018,0,20,0,0,,,,,,,,,,,,,0.5,24,12,0.015625,0.208333333333333,24,5,0.0103081597222222,,,,
"Gambia","Lower River","Kiang East",1,0.0780719232893969,0.155689279238383,0.127475651093557,22.0956522623698,24.1150989532471,2.54483518706385,10,0.169096333906054,0.22470519443353,0.205643360813459,0.335646867752075,0.538588593219555,0.218309134244919,0.696619391441345,0.522057926139592,1.16249565105408,0.619047619047619,21,13,0.0168448331713638,0,21,0,0,,,,,,,,,,,,,0.454545454545455,22,10,0.0169045830202855,0.227272727272727,22,5,0.0119740796393689,,,,
"Gambia","Maccarthy Island","Fulladu West",5,0.0749560122436819,0.106739585970839,0.134815529698517,24.8738187789917,24.2293645540873,2.70684761997163,5,0.186397089596306,0.233527030050755,0.238687158624331,0.406423360109329,0.695194438586466,0.0255636880174279,0.784672488768896,0.513961863467439,1.14778861725379,0.344222419370907,147,53,0.0023034014834015,0.0218873492044434,147,4,0.000218451970910675,,,,,,,,,,,,,0.5313953395322,112,50,0.00333501338378113,0.322404265149205,113,41,0.00289990825171867,,,,
"Gambia","Maccarthy Island","Lower Saloum",2,0.0725195696266029,0.119331051595509,0.116663391688487,22.8734579086304,24.521035194397,2.58720438741557,10,0.174664637339967,0.227269345273574,0.227504519124826,0.422144562005997,0.642386593154572,0.242747526615858,0.60195317864418,0.522344712204606,1.14378614429044,0.437541110831548,29,12,0.0127292527843367,0.0118656087318595,29,1,0.000606456003169754,,,,,,,,,,,,,0.594713480148772,39,22,0.00927035987223493,0.178749949951544,39,6,0.00564609251322555,,,,
"Gambia","Maccarthy Island","Niamina Dankunku",1,0.0721195457611429,0.117390060797334,0.116248289034041,23.2526960372925,24.5491199493408,2.59074607706085,10,0.176738135516644,0.233460778991381,0.237338314453761,0.343220770359039,0.659228140861126,0.198008082807064,0.592211842536926,0.521980142437333,1.13951593249666,0.55,20,11,0.0185625,0,20,0,0,,,,,,,,,,,,,0.470588235294118,34,16,0.0109912477101567,0.382352941176471,34,13,0.0104187868919194,,,,
"Gambia","Maccarthy Island","Niamina East",1,0.0724215678077447,0.11012660463651,0.123128456041656,23.9320907592773,24.6052894592285,2.65843207682584,10,0.181723273226193,0.234486987193426,0.238430619239807,0.393185257911682,0.69061076104846,0.108529195189476,0.572729170322418,0.510142578667858,1.14930248760916,0.391304347826087,23,9,0.0155338209912057,0.130434782608696,23,3,0.00739705761485987,,,,,,,,,,,,,0.571428571428571,28,16,0.0131195335276968,0.25,28,7,0.0100446428571429,,,,
"Gambia","Maccarthy Island","Niani",3,0.0728755516333967,0.108625168187751,0.116649011844763,24.5750331878662,24.3030052185059,1.75051725780928,6.66666666666667,0.183692063160595,0.22447403271993,0.230641530619727,0.331661880016327,0.759043747630989,0.0191085878759623,0.767466962337494,0.522183166103703,1.12939310029837,0.464125996706936,45,19,0.00829043519625764,0.101351662685147,45,5,0.00303598343853678,,,,,,,,,,,,,0.515603497577981,44,23,0.00851442718852275,0.307965738346523,45,12,0.00710409474504013,,,,
"Gambia","Maccarthy Island","Nianija",2,0.0718001561582434,0.113525872118771,0.116023816935293,23.7151155471802,24.48939037323,1.30061043624318,10,0.181723273226193,0.229400488858422,0.233315761511524,0.380428045988083,0.709580480634837,0.0626148972660303,0.695625931024551,0.522284510030385,1.12836606920931,0.286259328269723,21,6,0.0145939232320207,0.0477098880449538,21,1,0.00324526104483513,,,,,,,,,,,,,0.316965167637036,22,7,0.0147612443278542,0.136160861272839,22,3,0.0080196191679735,,,,
"Gambia","Maccarthy Island","Sami",1,0.0756240161738181,0.115809512635072,0.128224794548917,25.1088991165161,24.0873289108276,2.79171913172255,5,0.187431620700019,0.227446980774403,0.227690488100052,0.338475257158279,0.670446431149766,0.0215165764093399,0.54008412361145,0.522135126040547,1.14199360859353,0.578947368421053,19,11,0.0192447878699519,0.0526315789473684,19,1,0.00393643388249016,,,,,,,,,,,,,0.777777777777778,18,14,0.01440329218107,0.388888888888889,18,7,0.0198045267489712,,,,
"Gambia","Maccarthy Island","Upper Saloum",1,0.0714920834891557,0.117390060797334,0.116248289034041,23.2526960372925,24.5491199493408,2.59074607706085,10,0.177731522492,0.233460778991381,0.237338314453761,0.386712998151779,0.674536004488097,0.198008082807064,0.592211842536926,0.522146803500664,1.12824422661989,0.714285714285714,14,10,0.021865889212828,0.0714285714285714,14,1,0.0071064139941691,,,,,,,,,,,,,0.555555555555556,9,5,0.0411522633744856,0.3,10,3,0.0315,,,,
"Gambia","North Bank","Central Baddibu",1,0.0786749731615165,0.135825015604496,0.130258995123395,20.7164211273193,24.606050491333,2.30983186426002,10,0.16118485480547,0.205484129488468,0.187812454998493,0.390239357948303,0.570887761991826,0.084675207734108,1.11161506175995,0.466061914039027,1.21851494380516,0.333333333333333,33,11,0.0101010101010101,0.0606060606060606,33,2,0.00258786209199432,,,,,,,,,,,,,0.214285714285714,14,3,0.0180393586005831,0.357142857142857,14,5,0.0245991253644315,,,,
"Gambia","North Bank","Jokadu",1,0.0846545897266083,0.160832956433296,0.13601749711826,19.7816740671794,24.280725479126,2.36712603236588,10,0.152932521887124,0.228552560011546,0.201495190461477,0.45637521147728,0.516064473162851,0.023046862334013,1.00714826583862,0.522117157506209,1.18683036612685,0.333333333333333,12,4,0.0277777777777778,0,12,0,0,,,,,,,,,,,,,0.428571428571429,14,6,0.0262390670553936,0.142857142857143,14,2,0.0131195335276968,,,,
"Gambia","North Bank","Lower Baddibu",1,0.0854408917693015,0.158191983898481,0.137767254460662,20.1490910847982,24.452383518219,2.22652275587231,10,0.152932521887124,0.227651357650757,0.201475143432617,0.407714635133743,0.536010174111246,0.0348219629377127,0.738539822399616,0.522068624758206,1.16549417548222,0.181818181818182,22,4,0.0101427498121713,0,23,0,0,,,,,,,,,,,,,0.555555555555556,9,5,0.0411522633744856,0,9,0,0,,,,
"Gambia","North Bank","Lower Nuimi",2,0.089731648807621,0.185581631958485,0.143076788646754,19.4852380752563,24.2894811630249,2.25283361400006,10,0.151032142496357,0.207345623522997,0.176489757373929,0.55738627910614,0.46889281816769,1.97918141229699,3.02814596394698,0.522657074214019,1.24388444816366,0.161679899052051,29,5,0.00701066427385704,0,29,0,0,,,,,,,,,,,,,0.335842891059892,13,4,0.0257368204135876,0,13,0,0,,,,
"Gambia","North Bank","Upper Baddibu",2,0.0735479823792031,0.131640575826168,0.119209155222773,22.5154789288839,24.5076894760131,2.43110345651278,10,0.171788025647402,0.222754385322332,0.216752742727597,0.339771807193756,0.617023715908853,0.273798868060112,0.941181451082227,0.514964460284658,1.17613150153571,0.360878803080028,37,12,0.00935048483381978,0.030561624570692,38,1,0.00116951098714311,,,,,,,,,,,,,0.471626900400995,34,16,0.0109938956126093,0.0887310206459296,34,3,0.00356725705681152,,,,
