"country","admin1","n_clusters","rain_annual_mean_50km","rain_july_25km","rain_seasonality_sd_10km","temp_may_25km","temp_oct_10km","temp_seasonality_sd_10km","temp_peak_month_25km","ndvi_april_50km","ndvi_november_25km","ndvi_december_25km","human_modification_index","grassland_fraction_50km","built_surface_nonres_10km","pop_density_cropland_10km","malaria_effective_treatment","malaria_pf_repro_number","prev_women_iron","n_women_iron","ndef_women_iron","var_women_iron","prev_women_vitA","n_women_vitA","ndef_women_vitA","var_women_vitA","prev_women_b12","n_women_b12","ndef_women_b12","var_women_b12","prev_women_folate","n_women_folate","ndef_women_folate","var_women_folate","prev_women_zinc","n_women_zinc","ndef_women_zinc","var_women_zinc","prev_child_iron","n_child_iron","ndef_child_iron","var_child_iron","prev_child_vitA","n_child_vitA","ndef_child_vitA","var_child_vitA","prev_child_zinc","n_child_zinc","ndef_child_zinc","var_child_zinc"
"Gambia","Banjul",21,0.0903350547125652,0.20490678837375,0.144104551480842,17.9953575134277,24.1926403045654,2.25369894115183,10,0.15002948914965,0.184930354120239,0.156526612147452,0.677093661966778,0.46372432457558,3.4953933102744,4.69029194968088,0.523057463215712,1.29104644677642,0.184605268549165,364,67,0.000620300123790065,0.0119932873581461,371,2,4.79088210909339e-05,,,,,,,,,,,,,0.312046754674745,168,53,0.00191672837117593,0.124569420660012,169,18,0.000967916095530541,,,,
"Gambia","Lower River",7,0.0760200322021946,0.144485438331252,0.126410213988583,22.6345536595299,24.2701918738229,2.49612782946538,10,0.172781464928875,0.227470766930353,0.222447070337477,0.353601012911115,0.58819594212636,0.200616790646953,0.726230621337891,0.512933225145542,1.16340276110379,0.436200492008303,145,64,0.00254409954600018,0.0379543727150047,145,6,0.00037772936179464,,,,,,,,,,,,,0.476173952308989,133,59,0.00281314645997849,0.18735921948064,133,23,0.00171717002657419,,,,
"Gambia","Maccarthy Island",16,0.0733564613075096,0.111625220044516,0.123328058120818,24.1761076450348,24.3625108741578,2.3245664302046,7.5,0.182466375658156,0.230203277664259,0.234237417656307,0.380865121260285,0.696991182559473,0.0934341396563328,0.68964754541715,0.518876369422793,1.13940519184268,0.402340995608894,318,131,0.0011342581078365,0.0454371593703264,318,16,0.000204587848673028,,,,,,,,,,,,,0.529782158249921,306,153,0.00122114226985283,0.284039701477515,309,92,0.000987190045932422,,,,
"Gambia","North Bank",8,0.0830824983166401,0.162484638082484,0.134429359958661,20.7144408453079,24.4190715381077,2.03391934919049,10,0.158090628838788,0.215679701728126,0.194169517140835,0.435192547738552,0.531218547150253,0.822736573560785,1.77205678044508,0.513553056186782,1.20293129449306,0.250716891367746,150,37,0.0018785793175064,0.0176996394023899,152,3,0.000171575942441598,,,,,,,,,,,,,0.410794047618195,93,38,0.00390390803322024,0.127108722668514,93,12,0.00178954992403376,,,,
"Gambia","Upper River",8,0.0857741898361158,0.131758860933284,0.143340676483332,25.2861241102218,24.5002956390381,3.17067858455888,5,0.181480550238242,0.237913656048477,0.227461597882211,0.423337183892727,0.575702607294496,0.127561968751252,1.28419031947851,0.503386813003681,1.16020236211897,0.386222478346546,195,80,0.00182349750435691,0.0397082346024184,196,8,0.000291822632963095,,,,,,,,,,,,,0.451770592252139,164,73,0.00226531028257583,0.253020399275273,165,44,0.00171819160750777,,,,
"Gambia","Western",10,0.0904645842597502,0.237028535207113,0.149462861217712,18.2280711068047,24.2234152793884,2.27093640888871,10,0.149700748230375,0.194144771248102,0.16355555281043,0.625550711154938,0.434784947948181,3.12635650265341,5.13382802158594,0.522371330057004,1.24962415818269,0.25614221500255,230,58,0.00124260900454003,0.00519972788510053,231,3,3.35889007468924e-05,,,,,,,,,,,,,0.294931266139233,149,49,0.0020934243059672,0.127701481830838,151,16,0.00110656105995742,,,,
"Ghana","Ahafo",3,0.118012645498259,0.158374254488283,0.0738260581856613,21.6774734391106,19.7472127278646,1.22106601440437,3,0.362664334493362,0.428668547835615,0.38054561532206,0.547224442164103,0.000305167030117389,0.0940837717304627,0.9957453807195,0.565878214748021,3.03764431203779,0.0476190476190476,42,2,0.00161969549724652,0,42,0,0,0.0526315789473684,19,1,0.00393643388249016,0.473684210526316,19,9,0.0196821694124508,,,,,0.129032258064516,62,8,0.00271894196233762,0.112903225806452,62,7,0.0024231311469907,,,,
"Ghana","Ashanti",14,0.143205728737163,0.178185553687879,0.0847122517983338,21.8346941584633,18.9164880343846,1.20259537329377,3,0.320234965747199,0.357032151981479,0.340496656085764,0.730803025620324,0.000893518322419637,1.94678022017315,2.0607444988161,0.568056682593472,1.98138051420323,0.0640394088669951,203,13,0.000442894307726312,0.0048780487804878,205,1,3.55189274676804e-05,0.0526315789473684,95,5,0.000787286776498032,0.515789473684211,95,49,0.00394343198717014,,,,,0.161764705882353,204,33,0.000997035925096682,0.0833333333333333,204,17,0.000561683006535948,,,,
"Ghana","Bono",3,0.111170250782882,0.148337806264559,0.0717191565809249,21.8882257673476,20.465633392334,1.42830841316516,3,0.335034359246492,0.408821456962161,0.341130375862122,0.608339329560598,0.000319673917741997,0.186059665254333,1.05732880039884,0.566143348064106,2.40507144458797,0.03125,32,1,0.0014190673828125,0,33,0,0,0.0588235294117647,17,1,0.00488499898229188,0.764705882352941,17,13,0.0158762466924486,,,,,0.181818181818182,33,6,0.0067618332081142,0.0606060606060606,33,2,0.00258786209199432,,,,
"Ghana","Bono East",3,0.113158664581413,0.183644414041844,0.0823126643872641,22.8033036126031,20.7056174278259,1.49107682441516,3,0.27640526943204,0.332661785185337,0.239215206768778,0.351653526226679,0.086269956336606,0.0211837479083344,0.609338462352751,0.567410090059427,2.43681611376967,0.025,40,1,0.0009140625,0,40,0,0,0.142857142857143,21,3,0.0087463556851312,0.761904761904762,21,16,0.0129575639779721,,,,,0.282608695652174,46,13,0.00661112024328101,0.152173913043478,46,7,0.00420707651845155,,,,
