"target","outcome","heldout","arm","n_train_countries","train_set","n_train_areas","n_areas","spearman","topk"
"level","child_vitA","Gambia","domain_index",1,"Ghana",75,30,0.758843159065628,0.5
"level","child_vitA","Gambia","domain_enet",1,"Ghana",75,30,0.616462736373749,0.5
"level","child_vitA","Gambia","domain_index",1,"Malawi",87,30,0.434037819799778,0.25
"level","child_vitA","Gambia","domain_enet",1,"Malawi",87,30,0.377530589543938,0.375
"level","child_vitA","Gambia","domain_index",2,"Ghana+Malawi",162,30,0.705450500556174,0.5
"level","child_vitA","Gambia","domain_enet",2,"Ghana+Malawi",162,30,0.660956618464961,0.5
"level","child_vitA","Gambia","domain_index",2,"Ghana+SierraLeone",89,30,0.74860956618465,0.5
"level","child_vitA","Gambia","domain_enet",2,"Ghana+SierraLeone",89,30,0.471857619577308,0.375
"level","child_vitA","Gambia","domain_index",2,"Malawi+SierraLeone",101,30,0.301001112347052,0.125
"level","child_vitA","Gambia","domain_enet",2,"Malawi+SierraLeone",101,30,-0.0117908787541713,0.125
"level","child_vitA","Gambia","domain_index",3,"Ghana+Malawi+SierraLeone",176,30,0.693882091212458,0.5
"level","child_vitA","Gambia","domain_enet",3,"Ghana+Malawi+SierraLeone",176,30,0.603114571746385,0.375
"level","child_vitA","Ghana","domain_index",1,"Gambia",30,75,0.374338549075391,0.631578947368421
"level","child_vitA","Ghana","domain_enet",1,"Gambia",30,75,0.372631578947368,0.578947368421053
"level","child_vitA","Ghana","domain_index",1,"Malawi",87,75,0.415931721194879,0.526315789473684
"level","child_vitA","Ghana","domain_enet",1,"Malawi",87,75,-0.25049786628734,0.0526315789473684
"level","child_vitA","Ghana","domain_index",2,"Gambia+Malawi",117,75,0.399573257467994,0.526315789473684
"level","child_vitA","Ghana","domain_enet",2,"Gambia+Malawi",117,75,0.365263157894737,0.526315789473684
"level","child_vitA","Ghana","domain_index",2,"Gambia+SierraLeone",44,75,0.369246088193457,0.631578947368421
"level","child_vitA","Ghana","domain_enet",2,"Gambia+SierraLeone",44,75,0.320284495021337,0.473684210526316
"level","child_vitA","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,0.358520625889047,0.526315789473684
"level","child_vitA","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,0.245092460881935,0.421052631578947
"level","child_vitA","Ghana","domain_index",3,"Gambia+Malawi+SierraLeone",131,75,0.391152204836415,0.578947368421053
"level","child_vitA","Ghana","domain_enet",3,"Gambia+Malawi+SierraLeone",131,75,0.315163584637269,0.421052631578947
