"estimand","scheme","arm","cells","exact_admin2","within1_admin2","exact_admin1","within1_admin1"
"country","bands_5_20_40","transport_anchored_climate_soil",14,0.538062397372742,0.921093126905935,0.611276455026455,0.965443121693122
"country","bands_5_20_40","transport_anchored_full",14,0.508864649307999,0.913650011728829,0.611441798941799,0.953869047619048
"country","who20","transport_anchored_climate_soil",14,0.774334975369458,1,0.774636243386243,1
"country","who20","transport_anchored_full",14,0.736828524513254,1,0.771825396825397,1
"country","who_vitA","transport_anchored_climate_soil",8,0.596617405582923,0.953563218390805,0.754918981481482,1
"country","who_vitA","transport_anchored_full",8,0.596022167487685,0.944634646962233,0.796585648148148,1
"infill","bands_5_20_40","domain_index",16,0.597054597701149,0.892241379310345,0.61670524691358,0.946180555555556
"infill","bands_5_20_40","region_mean_jk",16,0.618117816091954,0.920632183908046,0.761188271604938,0.988618827160494
"infill","bands_5_20_40","spatial",16,0.627198275862069,0.931896551724138,0.686728395061728,0.965856481481482
"infill","bands_5_20_40","spatial_plus_domain",16,0.625186781609195,0.936206896551724,0.689814814814815,0.972029320987654
"infill","who20","domain_index",16,0.828520114942529,1,0.843942901234568,1
"infill","who20","region_mean_jk",16,0.82125,1,0.89891975308642,1
"infill","who20","spatial",16,0.828060344827586,1,0.838927469135803,1
"infill","who20","spatial_plus_domain",16,0.830933908045977,1,0.845100308641975,1
"infill","who_vitA","domain_index",8,0.641609195402299,0.921063218390805,0.735725308641975,0.958333333333333
"infill","who_vitA","region_mean_jk",8,0.65933908045977,0.942729885057471,0.739197530864197,1
"infill","who_vitA","spatial",8,0.682212643678161,0.942729885057471,0.746141975308642,1
"infill","who_vitA","spatial_plus_domain",8,0.682212643678161,0.942729885057471,0.77391975308642,1
