"country","outcome","rung","target","n_resp","n_units","n_regions","n_clusters","mean_clusters_per_unit","share_single_cluster","median_n_per_unit","s2_region","s2_district","s2_cluster","s2_resid","singular","icc_region","icc_district","icc_cluster","ceiling_vc","ceiling_within_vc","cluster_share_of_ceiling","r_max_emp","ce01_within","ce01_cluster","achieved_spearman","headroom_ratio"
"Gambia","child_vitA","admin2","prev",1020,30,6,70,2.33,0.567,22,0.0057,4e-04,0.0048,0.1497,FALSE,0.0356,0.0028,0.0299,0.6004,0.75,0.1995,0.7972,0.833866052469949,0.759250295481209,0.594431897232475,0.9901
"Gambia","child_vitA","admin2","level",1020,30,6,70,2.33,0.567,22,0.0048,0,0.004,0.0748,TRUE,0.0569,0,0.0477,0.6472,0.819,0.2098,0.7972,0.833866052469949,0.759250295481209,0.722847608453838,1.1169
"Gambia","women_vitA","admin2","prev",1413,30,6,70,2.33,0.567,25.5,2e-04,0.0011,0,0.0252,TRUE,0.0075,0.043,0,0.7568,0.7568,0,0.6441,0.841989908469887,0.811519740713512,0.489952709482526,0.6474
"Gambia","women_vitA","admin2","level",1413,30,6,70,2.33,0.567,25.5,0.0087,0,0.0075,0.0893,TRUE,0.082,0,0.0711,0.7016,0.8935,0.2148,0.6441,0.841989908469887,0.811519740713512,0.72035595105673,1.0268
"Gambia","child_iron","admin2","prev",1013,30,6,70,2.33,0.567,22,0.005,0.0068,0.0016,0.2232,FALSE,0.021,0.0287,0.0066,0.6971,0.7296,0.0445,0.7535,0.827773103207333,0.725299223606882,0.495583494000012,0.7109
"Gambia","child_iron","admin2","level",1013,30,6,70,2.33,0.567,22,0.0084,0.0236,0.0138,0.6599,FALSE,0.012,0.0334,0.0196,0.6515,0.7455,0.1261,0.7535,0.827773103207333,0.725299223606882,0.468921023359288,0.7198
"Gambia","women_iron","admin2","prev",1402,30,6,70,2.33,0.567,25.5,0.0119,0.0019,0.0026,0.2347,FALSE,0.0475,0.0075,0.0102,0.7432,0.7914,0.0608,0.8237,0.748666338877237,0.156623191446536,0.76222049642868,1.0255
"Gambia","women_iron","admin2","level",1402,30,6,70,2.33,0.567,25.5,0.0474,0.0168,0.0195,0.7875,FALSE,0.0544,0.0192,0.0224,0.7654,0.8448,0.094,0.8237,0.748666338877237,0.156623191446536,0.69650723025584,0.91
"Ghana","child_vitA","admin2","prev",1165,75,16,90,1.2,0.827,14,0.0059,0,0.0064,0.1874,TRUE,0.0297,0,0.0319,0.4368,0.614,0.2887,0.5923,0,0,0.30943570183576,0.7085
"Ghana","child_vitA","admin2","level",1165,75,16,90,1.2,0.827,14,0.0062,0.0034,0.0016,0.0892,FALSE,0.062,0.0336,0.016,0.6883,0.7388,0.0684,0.5923,0,0,0.277237553342816,0.4028
"Ghana","women_vitA","admin2","prev",992,75,16,90,1.2,0.827,12,1e-04,0.001,0,0.0274,TRUE,0.0024,0.0365,0,0.5361,0.5361,0,0.3925,0.593655544481873,0.815483874196154,0.115173608259594,0.2148
"Ghana","women_vitA","admin2","level",992,75,16,90,1.2,0.827,12,0.0083,0.0092,0,0.1062,TRUE,0.0671,0.0743,0,0.7883,0.7883,0,0.3925,0.593655544481873,0.815483874196154,0.493229018492176,0.6256
"Ghana","child_iron","admin2","prev",1165,75,16,90,1.2,0.827,14,0.016,0.0063,0.0021,0.155,FALSE,0.0892,0.0351,0.0115,0.745,0.7757,0.0396,0.8108,0.900087263146907,0.896831303044416,0.529507728025535,0.7108
"Ghana","child_iron","admin2","level",1165,75,16,90,1.2,0.827,14,0.0818,0,0.0706,0.6206,TRUE,0.1058,0,0.0913,0.6241,0.8337,0.2515,0.8108,0.900087263146907,0.896831303044416,0.560455192034139,0.8981
"Ghana","women_iron","admin2","prev",981,75,16,90,1.2,0.827,12,0.0036,3e-04,0,0.1143,TRUE,0.0307,0.0022,0,0.5018,0.5018,0,0.3839,0.768913307852139,0.81886501302623,0.309353192521474,0.6165
"Ghana","women_iron","admin2","level",981,75,16,90,1.2,0.827,12,0.0351,0,0.0357,0.5794,TRUE,0.054,0,0.0548,0.5275,0.7317,0.2791,0.3839,0.768913307852139,0.81886501302623,0.41228733997155,0.7815
"Ghana","women_folate","admin2","prev",475,75,16,90,1.2,0.827,6,0.0189,0.0154,0.0061,0.2155,FALSE,0.0738,0.0601,0.024,0.6337,0.6833,0.0727,0.7131,NA,NA,0.264238608195918,0.417
"Ghana","women_folate","admin2","level",475,75,16,90,1.2,0.827,6,0.0497,0.0222,0.0055,0.3725,FALSE,0.1105,0.0494,0.0122,0.68,0.7032,0.0329,0.7131,NA,NA,0.386105263157895,0.5678
"Ghana","women_b12","admin2","prev",473,75,16,90,1.2,0.827,6,0.0086,0,0,0.071,TRUE,0.1082,0,0,0.6032,0.6032,0,0.4862,NA,NA,0.31126148183336,0.5161
"Ghana","women_b12","admin2","level",473,75,16,90,1.2,0.827,6,0.0506,0.0069,0,0.3442,TRUE,0.126,0.0171,0,0.6637,0.6637,0,0.4862,NA,NA,0.607442389758179,0.9152
"SierraLeone","child_vitA","admin2","prev",486,14,4,60,4.29,0,36,0,0,0,0.067,TRUE,0,0,0,0,0,NA,0.1826,0,0,NA,NA
"SierraLeone","child_vitA","admin2","level",486,14,4,60,4.29,0,36,0,0,0,0.0722,TRUE,0,0,0,0,0,NA,0.1826,0,0,NA,NA
