"target","outcome","heldout","domain","variant","spearman"
"level","child_vitA","Gambia","ALL","full",0.693882091212458
"level","child_vitA","Ghana","ALL","full",0.391152204836415
"level","child_vitA","Malawi","ALL","full",0.223445359772545
"level","child_vitA","SierraLeone","ALL","full",-0.0901098901098901
"level","child_vitA","Gambia","Adult nutrition","drop",0.705450500556174
"level","child_vitA","Gambia","Adult nutrition","only",0.268075639599555
"level","child_vitA","Ghana","Adult nutrition","drop",0.39778093883357
"level","child_vitA","Ghana","Adult nutrition","only",0.340597439544808
"level","child_vitA","Malawi","Adult nutrition","drop",0.205638988116935
"level","child_vitA","Malawi","Adult nutrition","only",0.224630021141649
"level","child_vitA","SierraLeone","Adult nutrition","drop",-0.0901098901098901
"level","child_vitA","SierraLeone","Adult nutrition","only",-0.0197802197802198
"level","child_vitA","Gambia","Agricultural production, land use","drop",0.687208008898776
"level","child_vitA","Gambia","Agricultural production, land use","only",0.583982202447164
"level","child_vitA","Ghana","Agricultural production, land use","drop",0.402019914651494
"level","child_vitA","Ghana","Agricultural production, land use","only",0.39701280227596
"level","child_vitA","Malawi","Agricultural production, land use","drop",0.22709047167748
"level","child_vitA","Malawi","Agricultural production, land use","only",-0.113636363636364
"level","child_vitA","SierraLeone","Agricultural production, land use","drop",-0.0989010989010989
"level","child_vitA","SierraLeone","Agricultural production, land use","only",0.0901098901098901
"level","child_vitA","Gambia","Built environment","drop",0.707675194660734
"level","child_vitA","Gambia","Built environment","only",0.365962180200222
"level","child_vitA","Ghana","Built environment","drop",0.402105263157895
"level","child_vitA","Ghana","Built environment","only",0.377183499288762
"level","child_vitA","Malawi","Built environment","drop",0.222151345046293
"level","child_vitA","Malawi","Built environment","only",0.155992563971714
"level","child_vitA","SierraLeone","Built environment","drop",-0.116483516483516
"level","child_vitA","SierraLeone","Built environment","only",0.116483516483516
"level","child_vitA","Gambia","Climate and weather","drop",0.69210233592881
"level","child_vitA","Gambia","Climate and weather","only",0.749054505005562
"level","child_vitA","Ghana","Climate and weather","drop",0.39647226173542
"level","child_vitA","Ghana","Climate and weather","only",0.297894736842105
"level","child_vitA","Malawi","Climate and weather","drop",0.193482539913975
"level","child_vitA","Malawi","Climate and weather","only",0.277046730334621
"level","child_vitA","SierraLeone","Climate and weather","drop",-0.0989010989010989
"level","child_vitA","SierraLeone","Climate and weather","only",0.503296703296703
"level","child_vitA","Gambia","Dietary diversity","drop",0.661846496106785
"level","child_vitA","Gambia","Dietary diversity","only",0.711679644048943
"level","child_vitA","Ghana","Dietary diversity","drop",0.393541963015647
"level","child_vitA","Ghana","Dietary diversity","only",0.397325746799431
"level","child_vitA","Malawi","Dietary diversity","drop",0.229222862141868
"level","child_vitA","Malawi","Dietary diversity","only",0.0749617263249982
"level","child_vitA","SierraLeone","Dietary diversity","drop",-0.0901098901098901
"level","child_vitA","SierraLeone","Dietary diversity","only",-0.595604395604396
"level","child_vitA","Gambia","Ecosystem productivity/greenness","drop",0.696551724137931
"level","child_vitA","Gambia","Ecosystem productivity/greenness","only",0.45539488320356
"level","child_vitA","Ghana","Ecosystem productivity/greenness","drop",0.400512091038407
"level","child_vitA","Ghana","Ecosystem productivity/greenness","only",0.358662873399715
"level","child_vitA","Malawi","Ecosystem productivity/greenness","drop",0.213475978712546
"level","child_vitA","Malawi","Ecosystem productivity/greenness","only",0.217485601807975
"level","child_vitA","SierraLeone","Ecosystem productivity/greenness","drop",-0.116483516483516
"level","child_vitA","SierraLeone","Ecosystem productivity/greenness","only",0.393406593406593
"level","child_vitA","Gambia","Education, employment, SES","drop",0.699666295884316
"level","child_vitA","Gambia","Education, employment, SES","only",0.575973303670745
"level","child_vitA","Ghana","Education, employment, SES","drop",0.386088193456614
"level","child_vitA","Ghana","Education, employment, SES","only",0.354679943100996
"level","child_vitA","Malawi","Education, employment, SES","drop",0.223973900998761
"level","child_vitA","Malawi","Education, employment, SES","only",0.151873587519137
"level","child_vitA","SierraLeone","Education, employment, SES","drop",-0.107692307692308
"level","child_vitA","SierraLeone","Education, employment, SES","only",-0.257142857142857
"level","child_vitA","Gambia","Fertility, reproductive health","drop",0.653837597330367
"level","child_vitA","Gambia","Fertility, reproductive health","only",0.729477196885428
"level","child_vitA","Ghana","Fertility, reproductive health","drop",0.386685633001422
"level","child_vitA","Ghana","Fertility, reproductive health","only",0.301308677098151
"level","child_vitA","Malawi","Fertility, reproductive health","drop",0.235091492308814
"level","child_vitA","Malawi","Fertility, reproductive health","only",0.0264088357512576
"level","child_vitA","SierraLeone","Fertility, reproductive health","drop",-0.0549450549450549
"level","child_vitA","SierraLeone","Fertility, reproductive health","only",-0.349450549450549
"level","child_vitA","Gambia","Food fortification and supplementation","drop",0.688097886540601
"level","child_vitA","Gambia","Food fortification and supplementation","only",0.148387096774194
"level","child_vitA","Ghana","Food fortification and supplementation","drop",0.389388335704125
"level","child_vitA","Ghana","Food fortification and supplementation","only",0.419288762446657
"level","child_vitA","Malawi","Food fortification and supplementation","drop",0.224520667784501
"level","child_vitA","Malawi","Food fortification and supplementation","only",-0.0759823576583801
"level","child_vitA","SierraLeone","Food fortification and supplementation","drop",-0.0901098901098901
"level","child_vitA","SierraLeone","Food fortification and supplementation","only",0.314285714285714
"level","child_vitA","Gambia","Food prices and supply","drop",0.696106785317019
"level","child_vitA","Gambia","Food prices and supply","only",0.07853170189099
"level","child_vitA","Ghana","Food prices and supply","drop",0.386941678520626
"level","child_vitA","Ghana","Food prices and supply","only",0.180256045519203
"level","child_vitA","Malawi","Food prices and supply","drop",0.22712692279653
"level","child_vitA","Malawi","Food prices and supply","only",-0.012940147262521
"level","child_vitA","SierraLeone","Food prices and supply","drop",-0.0901098901098901
"level","child_vitA","SierraLeone","Food prices and supply","only",-0.305494505494505
"level","child_vitA","Gambia","Healthcare access","drop",0.688097886540601
"level","child_vitA","Gambia","Healthcare access","only",0.0740823136818687
"level","child_vitA","Ghana","Healthcare access","drop",0.38597439544808
"level","child_vitA","Ghana","Healthcare access","only",0.156955903271693
"level","child_vitA","Malawi","Healthcare access","drop",0.225431945760735
"level","child_vitA","Malawi","Healthcare access","only",0.146515273018882
"level","child_vitA","SierraLeone","Healthcare access","drop",-0.0901098901098901
"level","child_vitA","SierraLeone","Healthcare access","only",-0.345054945054945
"level","child_vitA","Gambia","Helminth burden and control","drop",0.696551724137931
"level","child_vitA","Gambia","Helminth burden and control","only",-0.342318473769085
"level","child_vitA","Ghana","Helminth burden and control","drop",0.382958748221906
"level","child_vitA","Ghana","Helminth burden and control","only",-0.0836215765028724
"level","child_vitA","Malawi","Helminth burden and control","drop",0.219089451046147
"level","child_vitA","Malawi","Helminth burden and control","only",-0.0288873003355551
"level","child_vitA","SierraLeone","Helminth burden and control","drop",-0.0901098901098901
"level","child_vitA","SierraLeone","Helminth burden and control","only",0.0373626373626374
"level","child_vitA","Gambia","Household assets and characteristics","drop",0.690767519466073
"level","child_vitA","Gambia","Household assets and characteristics","only",0.608898776418243
"level","child_vitA","Ghana","Household assets and characteristics","drop",0.397467994310099
"level","child_vitA","Ghana","Household assets and characteristics","only",0.342446657183499
"level","child_vitA","Malawi","Household assets and characteristics","drop",0.215845301450755
"level","child_vitA","Malawi","Household assets and characteristics","only",0.209138295545673
