"target","domain","cells","drop","only","full","delta_drop"
"level","Climate and weather",22,0.244,0.353,0.263,0.019
"level","Soil characteristics",22,0.248,0.327,0.263,0.015
"level","Nutrition status (MODELLED SURFACE)",22,0.252,0.22,0.263,0.011
"level","Agricultural production, land use",22,0.254,0.262,0.263,0.01
"level","Livestock density",22,0.254,0.236,0.263,0.009
"level","Malaria incidence and treatment",22,0.259,0.043,0.263,0.005
"level","Helminth burden and control",22,0.261,-0.03,0.263,0.002
"level","Malaria",22,0.264,-0.038,0.263,0
"level","Education, employment, SES",22,0.264,0.159,0.263,-0.001
"level","Food fortification and supplementation",22,0.266,0.039,0.263,-0.002
"level","Fertility, reproductive health",22,0.266,0.093,0.263,-0.003
"level","Food prices and supply",22,0.266,0.012,0.263,-0.003
"level","Water and sanitation",22,0.266,-0.002,0.263,-0.003
"level","Dietary diversity",22,0.267,0.152,0.263,-0.004
"level","Ruralness, population density, built environment",22,0.268,-0.049,0.263,-0.005
"level","Water and coast proximity",22,0.269,-0.013,0.263,-0.005
"level","Adult nutrition",22,0.269,0.17,0.263,-0.006
"level","Healthcare access",22,0.269,0.027,0.263,-0.006
"level","Built environment",22,0.271,0.086,0.263,-0.007
"level","Ecosystem productivity/greenness",22,0.27,0.151,0.263,-0.007
"level","Infant and child morbidity/mortality",22,0.272,0.086,0.263,-0.009
"level","Satellite embedding",22,0.279,0.204,0.263,-0.015
"level","Household assets and characteristics",22,0.279,0.036,0.263,-0.016
"prev","Climate and weather",22,0.158,0.192,0.185,0.026
"prev","Soil characteristics",22,0.159,0.228,0.185,0.025
"prev","Malaria incidence and treatment",22,0.171,0.092,0.185,0.013
"prev","Agricultural production, land use",22,0.175,0.18,0.185,0.009
"prev","Livestock density",22,0.179,0.138,0.185,0.006
"prev","Helminth burden and control",22,0.184,-0.011,0.185,0.001
"prev","Water and coast proximity",22,0.184,0.116,0.185,0.001
"prev","Food prices and supply",22,0.185,0.042,0.185,0
"prev","Malaria",22,0.187,-0.005,0.185,-0.002
"prev","Dietary diversity",22,0.188,0.113,0.185,-0.003
"prev","Healthcare access",22,0.188,-0.067,0.185,-0.003
"prev","Nutrition status (MODELLED SURFACE)",22,0.188,0.154,0.185,-0.003
"prev","Satellite embedding",22,0.189,0.112,0.185,-0.004
"prev","Infant and child morbidity/mortality",22,0.189,0.071,0.185,-0.005
"prev","Adult nutrition",22,0.19,0.106,0.185,-0.006
"prev","Food fortification and supplementation",22,0.191,-0.101,0.185,-0.006
"prev","Ruralness, population density, built environment",22,0.192,0.033,0.185,-0.007
"prev","Built environment",22,0.197,0.059,0.185,-0.012
"prev","Water and sanitation",22,0.197,0.044,0.185,-0.012
"prev","Ecosystem productivity/greenness",22,0.197,0.067,0.185,-0.013
"prev","Education, employment, SES",22,0.198,0.008,0.185,-0.013
"prev","Fertility, reproductive health",22,0.199,0.006,0.185,-0.014
"prev","Household assets and characteristics",22,0.206,0.014,0.185,-0.021
