"target","outcome","heldout","arm","n_domains","spearman"
"prev","child_vitA","Ghana","fixed_csa",3,0.276002667902176
"prev","child_vitA","Malawi","full",23,0.157806207392223
"prev","child_vitA","Malawi","nested",1,-0.0457039309312051
"prev","child_vitA","Malawi","fixed_cs",2,0.0240832379499084
"prev","child_vitA","Malawi","fixed_csa",3,-0.0276527985466115
"prev","child_vitA","SierraLeone","full",23,-0.0241758241758242
"prev","child_vitA","SierraLeone","nested",4,0.0725274725274725
"prev","child_vitA","SierraLeone","fixed_cs",2,0.468131868131868
"prev","child_vitA","SierraLeone","fixed_csa",3,0.358241758241758
"prev","women_vitA","Gambia","full",23,0.354810334181512
"prev","women_vitA","Gambia","nested",4,-0.113576853005193
"prev","women_vitA","Gambia","fixed_cs",2,0.606368983812848
"prev","women_vitA","Gambia","fixed_csa",3,0.588769264855432
"prev","women_vitA","Ghana","full",23,0.0774075145971215
"prev","women_vitA","Ghana","nested",3,-0.120726477901768
"prev","women_vitA","Ghana","fixed_cs",2,0.222498624602305
"prev","women_vitA","Ghana","fixed_csa",3,0.194679442260671
"prev","women_vitA","Malawi","full",23,0.165960392706762
"prev","women_vitA","Malawi","nested",5,0.0536352538189368
"prev","women_vitA","Malawi","fixed_cs",2,0.0815059289054785
"prev","women_vitA","Malawi","fixed_csa",3,0.144899429165295
"prev","women_vitA","SierraLeone","full",23,-0.0680621794505437
"prev","women_vitA","SierraLeone","nested",5,0.0117348585259558
"prev","women_vitA","SierraLeone","fixed_cs",2,0.115001613554367
"prev","women_vitA","SierraLeone","fixed_csa",3,0.157247104247808
"prev","child_iron","Gambia","full",23,0.600734234443761
"prev","child_iron","Gambia","nested",2,0.41606408089253
"prev","child_iron","Gambia","fixed_cs",2,0.565135168698945
"prev","child_iron","Gambia","fixed_csa",3,0.596951833708374
"prev","child_iron","Ghana","full",23,0.606733256641152
"prev","child_iron","Ghana","nested",5,0.525364323129023
"prev","child_iron","Ghana","fixed_cs",2,0.497908197643179
"prev","child_iron","Ghana","fixed_csa",3,0.539385079877384
"prev","child_iron","Malawi","full",23,-0.112347499379967
"prev","child_iron","Malawi","nested",3,-0.120337141323209
"prev","child_iron","Malawi","fixed_cs",2,0.179347396314959
"prev","child_iron","Malawi","fixed_csa",3,0.120109126427568
"prev","child_iron","SierraLeone","full",23,0.349450549450549
"prev","child_iron","SierraLeone","nested",5,0.0857142857142857
"prev","child_iron","SierraLeone","fixed_cs",2,0.208791208791209
"prev","child_iron","SierraLeone","fixed_csa",3,0.283516483516484
"prev","women_iron","Gambia","full",23,0.156858383438093
"prev","women_iron","Gambia","nested",5,0.318611638416098
"prev","women_iron","Gambia","fixed_cs",2,0.736010684274059
"prev","women_iron","Gambia","fixed_csa",3,0.814328628912653
"prev","women_iron","Ghana","full",23,0.382840852380707
"prev","women_iron","Ghana","nested",3,0.37767549361625
"prev","women_iron","Ghana","fixed_cs",2,0.318122791872273
"prev","women_iron","Ghana","fixed_csa",3,0.338625956884393
"prev","women_iron","Malawi","full",23,0.179118187429978
"prev","women_iron","Malawi","nested",2,0.347878602562187
"prev","women_iron","Malawi","fixed_cs",2,0.119850255327547
"prev","women_iron","Malawi","fixed_csa",3,0.180034558705652
"prev","women_iron","SierraLeone","full",23,-0.112087912087912
"prev","women_iron","SierraLeone","nested",5,0.0725274725274725
"prev","women_iron","SierraLeone","fixed_cs",2,-0.142857142857143
"prev","women_iron","SierraLeone","fixed_csa",3,0.0505494505494506
"prev","women_folate","Ghana","full",23,-0.0273781777277922
"prev","women_folate","Ghana","nested",3,0.228103974249513
"prev","women_folate","Ghana","fixed_cs",2,0.13506662692675
"prev","women_folate","Ghana","fixed_csa",3,-0.0285610974318041
"prev","women_folate","Malawi","full",23,-0.0121292004956721
"prev","women_folate","Malawi","nested",5,0.209957112187171
"prev","women_folate","Malawi","fixed_cs",2,0.435599337831907
"prev","women_folate","Malawi","fixed_csa",3,0.281745595857642
"prev","women_folate","SierraLeone","full",23,0.0373626373626374
"prev","women_folate","SierraLeone","nested",4,0.389010989010989
"prev","women_folate","SierraLeone","fixed_cs",2,0.12967032967033
"prev","women_folate","SierraLeone","fixed_csa",3,0.0637362637362637
"prev","women_b12","Ghana","full",23,0.223289865299187
"prev","women_b12","Ghana","nested",3,0.234290415931768
"prev","women_b12","Ghana","fixed_cs",2,0.300146171358114
"prev","women_b12","Ghana","fixed_csa",3,0.296801741657598
"prev","women_b12","Malawi","full",23,0.265011989998944
"prev","women_b12","Malawi","nested",2,0.157397339460691
"prev","women_b12","Malawi","fixed_cs",2,0.157992160565565
"prev","women_b12","Malawi","fixed_csa",3,0.171567513200996
"prev","women_b12","SierraLeone","full",23,-0.151411196783981
"prev","women_b12","SierraLeone","nested",5,0.0853408563691529
"prev","women_b12","SierraLeone","fixed_cs",2,0.00825879255185351
"prev","women_b12","SierraLeone","fixed_csa",3,0.132140680829656
