"rank_from","set","fraction","design","cells","mae","spearman","capture"
"level","full",0.25,"C_regional_survey",22,8.2,0.336,0.249
"level","full",0.4,"A1_anchor_rank",22,9.26,0.293,0.185
"level","full",0.4,"A2_region_anchor_rank",22,7.82,0.444,0.239
"level","full",0.4,"B_district_survey",22,6.86,0.662,0.374
"level","full",0.4,"C_regional_survey",22,7.7,0.366,0.237
"level","full",0.6,"A1_anchor_rank",22,9.22,0.293,0.185
"level","full",0.6,"A2_region_anchor_rank",22,7.25,0.483,0.23
"level","full",0.6,"B_district_survey",22,5.1,0.77,0.393
"level","full",0.6,"C_regional_survey",22,7.09,0.423,0.251
"level","full",0.8,"A1_anchor_rank",22,9.16,0.293,0.185
"level","full",0.8,"A2_region_anchor_rank",22,6.88,0.489,0.248
"level","full",0.8,"B_district_survey",22,3.13,0.888,0.401
"level","full",0.8,"C_regional_survey",22,6.7,0.451,0.255
"level","full",1,"A1_anchor_rank",22,9.17,0.293,0.185
"level","full",1,"A2_region_anchor_rank",22,6.71,0.507,0.248
"level","full",1,"B_district_survey",22,0,1,0.412
"level","full",1,"C_regional_survey",22,6.49,0.488,0.259
"prev","climate_soil",0.05,"A1_anchor_rank",22,10.34,0.229,0.219
"prev","climate_soil",0.05,"A2_region_anchor_rank",22,12.85,0.198,0.223
"prev","climate_soil",0.05,"B_district_survey",22,19.66,0.283,0.28
"prev","climate_soil",0.05,"C_regional_survey",22,12.85,0.185,0.222
"prev","climate_soil",0.1,"A1_anchor_rank",22,9.62,0.229,0.219
"prev","climate_soil",0.1,"A2_region_anchor_rank",22,10.21,0.293,0.231
"prev","climate_soil",0.1,"B_district_survey",22,15.16,0.382,0.299
"prev","climate_soil",0.1,"C_regional_survey",22,9.88,0.212,0.236
"prev","climate_soil",0.15,"A1_anchor_rank",22,9.05,0.229,0.219
"prev","climate_soil",0.15,"A2_region_anchor_rank",22,9.47,0.325,0.23
"prev","climate_soil",0.15,"B_district_survey",22,13.08,0.441,0.328
"prev","climate_soil",0.15,"C_regional_survey",22,9.07,0.253,0.239
"prev","climate_soil",0.25,"A1_anchor_rank",22,8.86,0.229,0.219
"prev","climate_soil",0.25,"A2_region_anchor_rank",22,8.52,0.374,0.245
"prev","climate_soil",0.25,"B_district_survey",22,9.47,0.513,0.357
"prev","climate_soil",0.25,"C_regional_survey",22,8.27,0.274,0.236
"prev","climate_soil",0.4,"A1_anchor_rank",22,8.99,0.229,0.219
"prev","climate_soil",0.4,"A2_region_anchor_rank",22,7.96,0.413,0.247
"prev","climate_soil",0.4,"B_district_survey",22,6.91,0.653,0.372
"prev","climate_soil",0.4,"C_regional_survey",22,7.82,0.346,0.232
"prev","climate_soil",0.6,"A1_anchor_rank",22,8.63,0.229,0.219
"prev","climate_soil",0.6,"A2_region_anchor_rank",22,7.53,0.457,0.26
"prev","climate_soil",0.6,"B_district_survey",22,4.96,0.758,0.381
"prev","climate_soil",0.6,"C_regional_survey",22,7.06,0.403,0.252
"prev","climate_soil",0.8,"A1_anchor_rank",22,8.44,0.229,0.219
"prev","climate_soil",0.8,"A2_region_anchor_rank",22,7.22,0.487,0.256
"prev","climate_soil",0.8,"B_district_survey",22,3.07,0.89,0.409
"prev","climate_soil",0.8,"C_regional_survey",22,6.68,0.452,0.251
"prev","climate_soil",1,"A1_anchor_rank",22,8.48,0.229,0.219
"prev","climate_soil",1,"A2_region_anchor_rank",22,7.06,0.52,0.248
"prev","climate_soil",1,"B_district_survey",22,0,1,0.412
"prev","climate_soil",1,"C_regional_survey",22,6.49,0.488,0.259
"prev","full",0.05,"A1_anchor_rank",22,10.15,0.309,0.184
"prev","full",0.05,"A2_region_anchor_rank",22,12.24,0.241,0.207
"prev","full",0.05,"B_district_survey",22,19.62,0.29,0.294
"prev","full",0.05,"C_regional_survey",22,12.1,0.153,0.225
"prev","full",0.1,"A1_anchor_rank",22,9.65,0.309,0.184
"prev","full",0.1,"A2_region_anchor_rank",22,10.71,0.287,0.22
"prev","full",0.1,"B_district_survey",22,15.03,0.356,0.299
"prev","full",0.1,"C_regional_survey",22,10.51,0.242,0.231
"prev","full",0.15,"A1_anchor_rank",22,9.38,0.309,0.184
"prev","full",0.15,"A2_region_anchor_rank",22,9.39,0.346,0.218
"prev","full",0.15,"B_district_survey",22,12.84,0.448,0.324
"prev","full",0.15,"C_regional_survey",22,9.11,0.25,0.233
"prev","full",0.25,"A1_anchor_rank",22,9.35,0.309,0.184
"prev","full",0.25,"A2_region_anchor_rank",22,8.37,0.405,0.219
"prev","full",0.25,"B_district_survey",22,9.48,0.549,0.336
"prev","full",0.25,"C_regional_survey",22,8.32,0.343,0.232
"prev","full",0.4,"A1_anchor_rank",22,9.18,0.309,0.184
"prev","full",0.4,"A2_region_anchor_rank",22,7.99,0.428,0.238
"prev","full",0.4,"B_district_survey",22,7.18,0.641,0.372
"prev","full",0.4,"C_regional_survey",22,7.75,0.399,0.234
"prev","full",0.6,"A1_anchor_rank",22,9.17,0.309,0.184
"prev","full",0.6,"A2_region_anchor_rank",22,7.29,0.467,0.249
"prev","full",0.6,"B_district_survey",22,5.02,0.76,0.384
"prev","full",0.6,"C_regional_survey",22,7.04,0.425,0.24
"prev","full",0.8,"A1_anchor_rank",22,9.14,0.309,0.184
"prev","full",0.8,"A2_region_anchor_rank",22,7.01,0.5,0.244
"prev","full",0.8,"B_district_survey",22,2.93,0.878,0.404
"prev","full",0.8,"C_regional_survey",22,6.7,0.47,0.24
"prev","full",1,"A1_anchor_rank",22,9.15,0.309,0.184
"prev","full",1,"A2_region_anchor_rank",22,6.86,0.511,0.254
"prev","full",1,"B_district_survey",22,0,1,0.412
"prev","full",1,"C_regional_survey",22,6.49,0.488,0.259
