"tier","target","outcome","heldout","n_units","rho_full","rho_cs","rho_urb_only","rho_full_resid","rho_cs_resid","partial_full","partial_cs","rho_full_plus_urb","rho_cs_plus_urb","cor_y_urb","cor_cs_urb","cor_full_urb"
"admin1","level","child_vitA","Gambia",6,0.885714285714286,0.942857142857143,0.771428571428571,0.885714285714286,0.942857142857143,0.789718882880797,0.87988269012812,0.885714285714286,0.942857142857143,-0.771428571428571,-0.714285714285714,-0.657142857142857
"admin1","level","child_vitA","Ghana",16,0.641176470588235,0.417647058823529,0.158823529411765,0.597058823529412,0.367647058823529,0.676824408660873,0.402292519318672,0.635294117647059,0.373529411764706,-0.158823529411765,-0.161764705882353,-0.564705882352941
"admin1","level","child_vitA","Malawi",27,0.625152625152625,0.281440781440781,0.142857142857143,0.083028083028083,0.143467643467643,0.655828244070644,0.303922681700511,0.622100122100122,0.306471306471306,-0.142857142857143,0.12026862026862,0.129426129426129
"admin1","level","child_vitA","SierraLeone",4,-0.4,0.4,-0.2,-0.8,0.4,NA,NA,-0.4,0.4,0.2,0.8,-0.8
"admin1","level","women_vitA","Gambia",6,0.771428571428571,0.885714285714286,-0.942857142857143,0.885714285714286,0.885714285714286,0.77174363314129,0.746949838155858,0.771428571428571,0.771428571428571,-0.942857142857143,-0.771428571428571,-0.6
"admin1","level","women_vitA","Ghana",16,0.644117647058823,0.623529411764706,0.164705882352941,0.494117647058823,0.597058823529412,0.772754487616635,0.655644951816675,0.644117647058823,0.644117647058823,0.164705882352941,-0.114705882352941,-0.376470588235294
"admin1","level","women_vitA","Malawi",27,0.334554334554335,0.173992673992674,-0.284493284493284,0.312576312576313,0.306471306471306,0.280784982242935,0.109385011035457,0.32967032967033,0.175213675213675,0.284493284493284,0.255189255189255,0.263125763125763
"admin1","level","women_vitA","SierraLeone",4,-0.4,0.4,0.8,-0.4,0.4,NA,NA,-0.4,0.4,0.8,0.8,0
"admin1","level","child_iron","Gambia",6,0.714285714285714,0.6,0.942857142857143,0.6,0.6,-0.358821771532178,-0.600640076042856,0.714285714285714,0.6,-0.942857142857143,-0.771428571428571,-0.828571428571429
"admin1","level","child_iron","Ghana",16,0.794117647058823,0.647058823529412,0.264705882352941,0.844117647058823,0.65,0.831515358553776,0.636499985221562,0.776470588235294,0.705882352941176,-0.264705882352941,-0.152941176470588,-0.617647058823529
"admin1","level","child_iron","Malawi",27,0.1996336996337,0.222832722832723,0.142857142857143,-0.0873015873015873,0.0317460317460317,0.224082247412763,0.268785840608187,0.221611721611722,0.248473748473748,-0.142857142857143,0.245421245421245,0.13980463980464
"admin1","level","child_iron","SierraLeone",4,-0.6,0.2,-0.8,0.2,0.4,NA,NA,-0.6,0.2,0.8,0.4,-0.8
"admin1","level","women_iron","Gambia",6,0.542857142857143,0.657142857142857,-0.942857142857143,0.771428571428571,0.657142857142857,0.779386631195721,0.519270531160387,0.542857142857143,0.657142857142857,-0.942857142857143,-0.542857142857143,-0.314285714285714
"admin1","level","women_iron","Ghana",16,0.5,0.435294117647059,-0.279411764705882,0.608823529411765,0.435294117647059,0.712927736097644,0.581675332496732,0.505882352941176,0.435294117647059,0.279411764705882,-0.329411764705882,-0.426470588235294
"admin1","level","women_iron","Malawi",27,0.171550671550672,0.48962148962149,-0.0683760683760684,0.106227106227106,0.418803418803419,0.241084829809216,0.516351106129648,0.163614163614164,0.461538461538462,-0.0683760683760684,0.208180708180708,0.512210012210012
"admin1","level","women_iron","SierraLeone",4,0,0.8,-1,0,0.8,NA,NA,0,0.8,1,0.8,0
"admin1","level","women_folate","Ghana",16,0.138235294117647,-0.170588235294118,0.355882352941176,-0.170588235294118,-0.194117647058824,0.194068826332659,0.0543393296074468,0.208823529411765,-0.164705882352941,-0.355882352941176,0.594117647058824,0.117647058823529
"admin1","level","women_folate","Malawi",27,0.191697191697192,0.225274725274725,0.136141636141636,-0.0561660561660562,0.0555555555555556,0.151926873507548,0.274120045139005,0.214896214896215,0.257020757020757,-0.136141636141636,0.267399267399267,-0.39010989010989
"admin1","level","women_folate","SierraLeone",4,-0.8,-0.6,0.4,-1,-0.8,NA,NA,-0.8,-0.6,-0.4,0.4,0
"admin1","level","women_b12","Ghana",16,0.682352941176471,0.694117647058824,-0.338235294117647,0.652941176470588,0.652941176470588,0.637697502560525,0.666575413717551,0.682352941176471,0.682352941176471,-0.338235294117647,-0.661764705882353,-0.605882352941176
"admin1","level","women_b12","Malawi",27,0.376068376068376,0.726495726495726,-0.306471306471306,0.3998778998779,0.620879120879121,0.430371231886381,0.69525717617775,0.337606837606838,0.744200244200244,0.306471306471306,0.338827838827839,-0.102564102564103
"admin1","level","women_b12","SierraLeone",4,0.8,0.8,-0.8,0.8,0.8,NA,NA,0.8,0.8,-0.8,-0.4,-0.4
"admin1","prev","child_vitA","Gambia",6,0.942857142857143,0.314285714285714,0.771428571428571,0.942857142857143,-0.0285714285714286,0.852386356061616,-0.531595791952406,0.942857142857143,0.314285714285714,-0.771428571428571,-0.714285714285714,-0.828571428571429
"admin1","prev","child_vitA","Ghana",16,0.435294117647059,0.426470588235294,0.0794117647058823,0.429411764705882,0.426470588235294,0.700401393443355,0.497536433015389,0.435294117647059,0.385294117647059,-0.0794117647058823,-0.655882352941176,-0.85
"admin1","prev","child_vitA","Malawi",27,0.439551352945806,0.0193654796892107,0.111238918214768,0.0459367192627789,-0.00720575988435747,0.440447340491743,0.0588711799834644,0.438650632960261,0.0626000389953555,-0.111238918214768,0.323565323565324,-0.0170940170940171
"admin1","prev","child_vitA","SierraLeone",4,0.4,-0.2,1,0.4,-0.4,NA,NA,0.4,-0.2,-1,0.2,-0.4
"admin1","prev","women_vitA","Gambia",6,0.657142857142857,0.657142857142857,-0.828571428571429,0.828571428571429,0.657142857142857,0.820767734294955,0.59708493254031,0.657142857142857,0.657142857142857,-0.828571428571429,-0.428571428571429,-0.257142857142857
"admin1","prev","women_vitA","Ghana",16,0.38805993773627,0.434868724000178,-0.240083774708432,0.551135709236337,0.448458371625184,0.636848404683502,0.50147814509417,0.38805993773627,0.425808958916841,0.240083774708432,-0.182352941176471,-0.544117647058823
"admin1","prev","women_vitA","Malawi",27,0.26207120918048,0.103484528753318,0.0806372951324552,0.276854713288096,0.102140573834443,0.256566783977272,0.0922722258278486,0.26207120918048,0.103484528753318,0.0806372951324552,0.156898656898657,0.495726495726496
"admin1","prev","women_vitA","SierraLeone",4,0.6,1,0.8,0.8,1,NA,NA,0.6,1,0.8,0.8,0
"admin1","prev","child_iron","Gambia",6,0.771428571428571,0.771428571428571,0.714285714285714,0.828571428571429,0.771428571428571,0.458333333333333,0.458333333333333,0.771428571428571,0.771428571428571,-0.714285714285714,-0.828571428571429,-0.828571428571429
"admin1","prev","child_iron","Ghana",16,0.688235294117647,0.647058823529412,0.232352941176471,0.782352941176471,0.614705882352941,0.763085439275185,0.636214739264991,0.688235294117647,0.65,-0.232352941176471,-0.152941176470588,-0.708823529411765
"admin1","prev","child_iron","Malawi",27,0.118437118437118,0.118437118437118,0.167277167277167,-0.147130647130647,-0.0769230769230769,0.124943821857041,0.173553543907973,0.122100122100122,0.152014652014652,-0.167277167277167,0.275335775335775,0.0280830280830281
"admin1","prev","child_iron","SierraLeone",4,0.6,0.2,-0.4,0.4,0.2,NA,NA,0.6,0.4,0.4,0.8,-0.4
"admin1","prev","women_iron","Gambia",6,0.771428571428571,0.657142857142857,-0.942857142857143,0.771428571428571,0.657142857142857,0.77174363314129,0.519270531160387,0.771428571428571,0.657142857142857,-0.942857142857143,-0.542857142857143,-0.6
