"country","outcome","target","arm","n_units","spearman","topk","capture_top20","lift","thin"
"Malawi","women_folate","level","domain_index",27,0.191697191697192,0.571428571428571,0.198566551158315,0.992832755791576,FALSE
"SierraLeone","women_folate","level","domain_index",4,-0.8,0,0.324235427418757,1.62117713709378,TRUE
"Ghana","women_folate","level","domain_enet",16,0.297058823529412,0.25,0.268607762121994,1.34303881060997,FALSE
"Malawi","women_folate","level","domain_enet",27,0.171550671550672,0.571428571428571,0.13639352714052,0.6819676357026,FALSE
"SierraLeone","women_folate","level","domain_enet",4,-0.8,0,0.324235427418757,1.62117713709378,TRUE
"Ghana","women_b12","level","null_train_mean",16,NA,0.25,0.19507349630414,0.975367481520702,FALSE
"Malawi","women_b12","level","null_train_mean",27,NA,0.285714285714286,0.0330798496891391,0.165399248445696,FALSE
"SierraLeone","women_b12","level","null_train_mean",4,NA,0.5,0.378110869741573,1.89055434870787,TRUE
"Ghana","women_b12","level","domain_index",16,0.682352941176471,0.5,0.155600110320372,0.778000551601862,FALSE
"Malawi","women_b12","level","domain_index",27,0.376068376068376,0.571428571428571,0.145256103120124,0.72628051560062,FALSE
"SierraLeone","women_b12","level","domain_index",4,0.8,0.5,0.218768029662122,1.09384014831061,TRUE
"Ghana","women_b12","level","domain_enet",16,0.358823529411765,0.75,0.155600110320372,0.778000551601862,FALSE
"Malawi","women_b12","level","domain_enet",27,0.582417582417582,0.857142857142857,0.511398487942545,2.55699243971272,FALSE
"SierraLeone","women_b12","level","domain_enet",4,0.4,0.5,0.378110869741573,1.89055434870787,TRUE
"Gambia","child_vitA","prev","null_train_mean",6,NA,0,0.115747800434171,0.578739002170853,TRUE
"Ghana","child_vitA","prev","null_train_mean",16,NA,0,0.254290501901892,1.27145250950946,FALSE
"Malawi","child_vitA","prev","null_train_mean",27,NA,0.285714285714286,0,0,FALSE
"SierraLeone","child_vitA","prev","null_train_mean",4,NA,0.5,0.231499036787201,1.15749518393601,TRUE
"Gambia","child_vitA","prev","domain_index",6,0.942857142857143,1,0.210363181627027,1.05181590813513,TRUE
"Ghana","child_vitA","prev","domain_index",16,0.435294117647059,0.75,0.126725527162872,0.633627635814361,FALSE
"Malawi","child_vitA","prev","domain_index",27,0.439551352945806,0.428571428571429,0.327013082615238,1.63506541307619,FALSE
"SierraLeone","child_vitA","prev","domain_index",4,0.4,0.5,0.386805383300103,1.93402691650052,TRUE
"Gambia","child_vitA","prev","domain_enet",6,0.885714285714286,0.5,0.210363181627027,1.05181590813513,TRUE
"Ghana","child_vitA","prev","domain_enet",16,0.420588235294118,0.75,0.13992799317414,0.699639965870698,FALSE
"Malawi","child_vitA","prev","domain_enet",27,0.150870597578735,0.285714285714286,0.314573056824642,1.57286528412321,FALSE
"SierraLeone","child_vitA","prev","domain_enet",4,0.8,1,0.386805383300103,1.93402691650052,TRUE
"Gambia","women_vitA","prev","null_train_mean",6,NA,0,0.0441489491997571,0.220744745998785,TRUE
"Ghana","women_vitA","prev","null_train_mean",16,NA,0,0.119072596178575,0.595362980892875,FALSE
"Malawi","women_vitA","prev","null_train_mean",27,NA,0.714285714285714,0,0,FALSE
"SierraLeone","women_vitA","prev","null_train_mean",4,NA,0.5,0.225793064459809,1.12896532229904,TRUE
"Gambia","women_vitA","prev","domain_index",6,0.657142857142857,1,0.274733790064873,1.37366895032436,TRUE
"Ghana","women_vitA","prev","domain_index",16,0.184215223361187,0.5,0.120090719829111,0.600453599145556,FALSE
"Malawi","women_vitA","prev","domain_index",27,0.244599795235114,0.714285714285714,0.350248571941383,1.75124285970691,FALSE
"SierraLeone","women_vitA","prev","domain_index",4,0,0.5,0.327285455514044,1.63642727757022,TRUE
"Gambia","women_vitA","prev","domain_enet",6,NA,0,0.0441489491997571,0.220744745998785,TRUE
"Ghana","women_vitA","prev","domain_enet",16,NA,0,0.119072596178575,0.595362980892875,FALSE
"Malawi","women_vitA","prev","domain_enet",27,-0.0201593237831138,0.571428571428571,0.350248571941383,1.75124285970691,FALSE
"SierraLeone","women_vitA","prev","domain_enet",4,-0.4,0.5,0.189614590062539,0.948072950312696,TRUE
"Gambia","child_iron","prev","null_train_mean",6,NA,0,0.141335500935021,0.706677504675107,TRUE
"Ghana","child_iron","prev","null_train_mean",16,NA,0.25,0.226658746266551,1.13329373133275,FALSE
"Malawi","child_iron","prev","null_train_mean",27,NA,0.428571428571429,0.276835471801508,1.38417735900754,FALSE
"SierraLeone","child_iron","prev","null_train_mean",4,NA,1,0.329181646118046,1.64590823059023,TRUE
"Gambia","child_iron","prev","domain_index",6,0.771428571428571,0.5,0.135816568986678,0.679082844933388,TRUE
"Ghana","child_iron","prev","domain_index",16,0.688235294117647,0.75,0.351666417582289,1.75833208791144,FALSE
"Malawi","child_iron","prev","domain_index",27,0.101343101343101,0.428571428571429,0.127450449118784,0.637252245593918,FALSE
