"country","outcome","rep","fold","pick_mse","pick_rank","w_mse_index","w_rank_index","w_mse_mean","w_rank_mean"
"Gambia","child_vitA",1,4,"rf","domain_index",0.178118658622956,0.914967222352684,0.697253715989819,0.0188531752204644
"Gambia","child_vitA",1,2,"rf","domain_index",0.30451381778273,0.866182024904205,0.224084693569595,0.133817975095795
"Gambia","child_vitA",1,3,"rf","domain_index",0.146907190188127,0.906349349110575,0,0.093650650889425
"Gambia","child_vitA",1,5,"rf","domain_index",0.109965569567125,0.780728672655247,0,0
"Gambia","child_vitA",1,1,"rf","domain_index",0.319220678894051,0.844213195288152,0.680779321105949,0.155786804711848
"Gambia","child_vitA",2,3,"rf","domain_index",0,0.999963331967684,0.141894436491983,3.66680323158164e-05
"Gambia","child_vitA",2,5,"rf","domain_index",0.0383982948663849,0.839584811325116,0,0.122256757456639
"Gambia","child_vitA",2,1,"rf","domain_index",0.327988024973099,0.768029534381436,0,0.231970465618564
"Gambia","child_vitA",2,4,"rf","domain_index",0.0650160275561629,0.759623818079584,0,0.0191436280622922
"Gambia","child_vitA",2,2,"rf","domain_index",0.23959983426719,0.864250460678007,0.207889627836206,0.135749539321993
"Gambia","child_vitA",3,5,"mean","domain_index",0.0931658103835576,0.966710506517462,0.49749204492546,0.0332894934825375
"Gambia","child_vitA",3,1,"rf","rf",0.418445190893582,0.193118780286896,0.461776827194546,0.070962346678784
"Gambia","child_vitA",3,3,"rf","domain_index",0.37891229293015,0.764924647446457,0.62108770706985,0.119211564661924
"Gambia","child_vitA",3,2,"rf","domain_index",0.365036237406666,0.944550162036236,0.560824614503697,0.0554498379637638
"Gambia","child_vitA",3,4,"rf","domain_index",0.039460664239399,0.824581610963555,0.271442797647068,0.175418389036445
"Gambia","child_vitA",4,2,"rf","domain_index",0.183438252687636,0.553679871055638,0.516586670844237,0.186839154908371
"Gambia","child_vitA",4,4,"rf","domain_index",0.350636673856811,0.785352677648095,0.649363326143189,0.214647322351905
"Gambia","child_vitA",4,5,"rf","domain_index",0.0945963092241045,0.965793432851203,0,0.0342065671487966
