"panel","source","target","n","n_countries","n_cov_pool","n_cov_used","mae_pp","pearson","spearman","folds_identified"
"Vitamin A / Preschool-age children","wdi","raw outcome (control)",35,26,18,24,16.82,0.378,0.325,0
"Vitamin A / Preschool-age children","wdi","standardised outcome",35,26,18,24,16.82,0.378,0.325,0
