"outcome","country","n_survey_areas","n_cov_areas","pct_survey_matched","n_unmatched","example_unmatched"
"child_iron","gambia",30,37,100,0,""
"child_vitA","gambia",30,37,100,0,""
"women_iron","gambia",30,37,100,0,""
"women_vitA","gambia",30,37,100,0,""
"child_iron","ghana",75,260,100,0,""
"child_vitA","ghana",75,260,100,0,""
"women_b12","ghana",75,260,100,0,""
"women_folate","ghana",75,260,100,0,""
"women_iron","ghana",75,260,100,0,""
"women_vitA","ghana",75,260,100,0,""
"child_iron","malawi",87,256,100,0,""
"child_vitA","malawi",87,256,100,0,""
"child_zinc","malawi",87,256,100,0,""
"women_b12","malawi",87,256,100,0,""
"women_folate","malawi",87,256,100,0,""
"women_iron","malawi",87,256,100,0,""
"women_vitA","malawi",87,256,100,0,""
"women_zinc","malawi",87,256,100,0,""
"child_iron","sierraleone",14,14,100,0,""
"child_vitA","sierraleone",14,14,100,0,""
"women_b12","sierraleone",14,14,100,0,""
"women_folate","sierraleone",14,14,100,0,""
"women_iron","sierraleone",14,14,100,0,""
"women_vitA","sierraleone",14,14,100,0,""
"child_vitA","tanzania",163,187,100,0,""
"women_vitA","tanzania",164,187,100,0,""
