"country","outcome","level","model","n_units","n_pred","cv","r_max","pearson","spearman","rmse_pp","mae_pp"
"malawi","women_b12","Admin1","adaptive_lasso_xy",27,621,"LOO",0.354,0.228,0.346,4.1,2.55
"malawi","women_b12","Admin1","adaptive_top20_ridge",27,621,"LOO",0.354,0.343,0.462,3.96,2.52
"malawi","women_b12","Admin1","LEAKY_top20_xy",27,621,"LOO",0.354,0.345,0.471,3.91,2.51
"malawi","child_zinc","Admin1","null_mean",27,621,"LOO",0.666,-0.9,-0.933,14.74,12.36
"malawi","child_zinc","Admin1","curated_xy",27,621,"LOO",0.666,-0.12,-0.103,15.64,13.47
"malawi","child_zinc","Admin1","curated_ridge",27,621,"LOO",0.666,-0.736,-0.876,14.94,12.52
"malawi","child_zinc","Admin1","decorr20_xy",27,621,"LOO",0.666,-0.39,-0.337,16.5,13.68
"malawi","child_zinc","Admin1","adaptive_top10_xy",27,621,"LOO",0.666,-0.109,-0.074,17.89,14.52
"malawi","child_zinc","Admin1","adaptive_top20_xy",27,621,"LOO",0.666,-0.097,-0.047,17.66,14.45
"malawi","child_zinc","Admin1","adaptive_lasso_xy",27,621,"LOO",0.666,-0.24,-0.258,16.06,13.26
"malawi","child_zinc","Admin1","adaptive_top20_ridge",27,621,"LOO",0.666,-0.261,-0.303,16.72,13.9
"malawi","child_zinc","Admin1","LEAKY_top20_xy",27,621,"LOO",0.666,0.215,0.242,15.06,12.21
"malawi","women_zinc","Admin1","null_mean",27,621,"LOO",0.743,-0.915,-0.956,17.2,14.21
"malawi","women_zinc","Admin1","curated_xy",27,621,"LOO",0.743,-0.174,-0.173,18.32,15.81
"malawi","women_zinc","Admin1","curated_ridge",27,621,"LOO",0.743,-0.21,-0.726,17.25,14.37
"malawi","women_zinc","Admin1","decorr20_xy",27,621,"LOO",0.743,-0.236,-0.211,18.33,15
"malawi","women_zinc","Admin1","adaptive_top10_xy",27,621,"LOO",0.743,-0.243,-0.256,21.76,18.79
"malawi","women_zinc","Admin1","adaptive_top20_xy",27,621,"LOO",0.743,-0.213,-0.226,20.99,18.13
"malawi","women_zinc","Admin1","adaptive_lasso_xy",27,621,"LOO",0.743,0.062,0.06,17.63,14.77
"malawi","women_zinc","Admin1","adaptive_top20_ridge",27,621,"LOO",0.743,-0.321,-0.3,20.35,16.6
"malawi","women_zinc","Admin1","LEAKY_top20_xy",27,621,"LOO",0.743,0.209,0.248,17.23,14.47
"malawi","child_vitA","Admin2","null_mean",86,621,"5-fold x10",0,-0.219,-0.189,11.19,8.59
"malawi","child_vitA","Admin2","curated_xy",86,621,"5-fold x10",0,0.044,0.138,12.12,8.38
"malawi","child_vitA","Admin2","curated_ridge",86,621,"5-fold x10",0,-0.153,-0.194,12,8.43
"malawi","child_vitA","Admin2","decorr20_xy",86,621,"5-fold x10",0,0.049,0.121,12.08,8.3
"malawi","child_vitA","Admin2","adaptive_top10_xy",86,621,"5-fold x10",0,0.098,0.164,12.02,8.24
"malawi","child_vitA","Admin2","adaptive_top20_xy",86,621,"5-fold x10",0,0.102,0.194,11.98,8.13
"malawi","child_vitA","Admin2","adaptive_lasso_xy",86,621,"5-fold x10",0,0.078,0.166,12.08,8.29
"malawi","child_vitA","Admin2","adaptive_top20_ridge",86,621,"5-fold x10",0,0.107,0.16,11.77,8.19
"malawi","child_vitA","Admin2","LEAKY_top20_xy",86,621,"5-fold x10",0,0.204,0.349,11.58,7.64
"malawi","women_vitA","Admin2","null_mean",86,621,"5-fold x10",0,-0.185,-0.183,4.62,2.69
"malawi","women_vitA","Admin2","curated_xy",86,621,"5-fold x10",0,-0.081,-0.034,4.7,2.31
"malawi","women_vitA","Admin2","curated_ridge",86,621,"5-fold x10",0,-0.179,-0.162,4.67,2.18
"malawi","women_vitA","Admin2","decorr20_xy",86,621,"5-fold x10",0,-0.069,0.009,4.69,2.31
"malawi","women_vitA","Admin2","adaptive_top10_xy",86,621,"5-fold x10",0,-0.042,-0.024,4.75,2.39
"malawi","women_vitA","Admin2","adaptive_top20_xy",86,621,"5-fold x10",0,-0.011,-0.017,4.72,2.36
"malawi","women_vitA","Admin2","adaptive_lasso_xy",86,621,"5-fold x10",0,-0.09,-0.009,4.74,2.32
"malawi","women_vitA","Admin2","adaptive_top20_ridge",86,621,"5-fold x10",0,0.015,0.026,4.66,2.21
"malawi","women_vitA","Admin2","LEAKY_top20_xy",86,621,"5-fold x10",0,0.141,0.12,4.6,2.25
"malawi","child_iron","Admin2","null_mean",86,621,"5-fold x10",0,-0.163,-0.158,11.02,8.49
"malawi","child_iron","Admin2","curated_xy",86,621,"5-fold x10",0,0.072,0.013,12.25,9.17
"malawi","child_iron","Admin2","curated_ridge",86,621,"5-fold x10",0,0.152,-0.058,12.05,8.89
"malawi","child_iron","Admin2","decorr20_xy",86,621,"5-fold x10",0,0.082,0.008,12.22,9.03
"malawi","child_iron","Admin2","adaptive_top10_xy",86,621,"5-fold x10",0,0.193,0.062,11.88,8.93
"malawi","child_iron","Admin2","adaptive_top20_xy",86,621,"5-fold x10",0,0.209,0.056,11.82,8.91
"malawi","child_iron","Admin2","adaptive_lasso_xy",86,621,"5-fold x10",0,0.085,0.017,12.14,9.11
"malawi","child_iron","Admin2","adaptive_top20_ridge",86,621,"5-fold x10",0,0.31,0.043,11.54,8.62
"malawi","child_iron","Admin2","LEAKY_top20_xy",86,621,"5-fold x10",0,0.271,0.074,11.56,8.68
"malawi","women_iron","Admin2","null_mean",86,621,"5-fold x10",0.202,-0.203,-0.192,13.04,9.25
"malawi","women_iron","Admin2","curated_xy",86,621,"5-fold x10",0.202,0.098,0.097,13.72,8.77
"malawi","women_iron","Admin2","curated_ridge",86,621,"5-fold x10",0.202,0.119,0.088,13.92,8.81
"malawi","women_iron","Admin2","decorr20_xy",86,621,"5-fold x10",0.202,0.147,0.198,13.63,8.52
"malawi","women_iron","Admin2","adaptive_top10_xy",86,621,"5-fold x10",0.202,-0.013,-0.017,14.19,9.26
"malawi","women_iron","Admin2","adaptive_top20_xy",86,621,"5-fold x10",0.202,0.003,0.02,14.11,9.1
"malawi","women_iron","Admin2","adaptive_lasso_xy",86,621,"5-fold x10",0.202,0.006,0.027,13.99,9.07
"malawi","women_iron","Admin2","adaptive_top20_ridge",86,621,"5-fold x10",0.202,-0.04,-0.028,15.2,9.67
"malawi","women_iron","Admin2","LEAKY_top20_xy",86,621,"5-fold x10",0.202,0.175,0.16,13.48,8.51
"malawi","women_folate","Admin2","null_mean",86,621,"5-fold x10",0.576,-0.192,-0.184,21.12,17.42
"malawi","women_folate","Admin2","curated_xy",86,621,"5-fold x10",0.576,0.308,0.323,22.12,16
"malawi","women_folate","Admin2","curated_ridge",86,621,"5-fold x10",0.576,0.175,0.211,23.28,17
"malawi","women_folate","Admin2","decorr20_xy",86,621,"5-fold x10",0.576,0.352,0.377,21.77,15.8
"malawi","women_folate","Admin2","adaptive_top10_xy",86,621,"5-fold x10",0.576,0.373,0.328,21.44,15.56
"malawi","women_folate","Admin2","adaptive_top20_xy",86,621,"5-fold x10",0.576,0.352,0.33,21.75,15.54
"malawi","women_folate","Admin2","adaptive_lasso_xy",86,621,"5-fold x10",0.576,0.355,0.311,21.35,15.73
"malawi","women_folate","Admin2","adaptive_top20_ridge",86,621,"5-fold x10",0.576,0.247,0.224,22.96,16.72
"malawi","women_folate","Admin2","LEAKY_top20_xy",86,621,"5-fold x10",0.576,0.433,0.399,20.57,14.65
"malawi","women_b12","Admin2","null_mean",86,621,"5-fold x10",0,-0.206,-0.19,6.08,4.67
"malawi","women_b12","Admin2","curated_xy",86,621,"5-fold x10",0,0.222,0.306,6.11,3.54
"malawi","women_b12","Admin2","curated_ridge",86,621,"5-fold x10",0,0.347,0.377,6.12,3.52
"malawi","women_b12","Admin2","decorr20_xy",86,621,"5-fold x10",0,0.201,0.343,6.12,3.56
"malawi","women_b12","Admin2","adaptive_top10_xy",86,621,"5-fold x10",0,0.011,0.183,6.39,3.83
"malawi","women_b12","Admin2","adaptive_top20_xy",86,621,"5-fold x10",0,0.022,0.2,6.37,3.81
"malawi","women_b12","Admin2","adaptive_lasso_xy",86,621,"5-fold x10",0,0.146,0.286,6.17,3.6
"malawi","women_b12","Admin2","adaptive_top20_ridge",86,621,"5-fold x10",0,0.089,0.182,6.23,3.66
"malawi","women_b12","Admin2","LEAKY_top20_xy",86,621,"5-fold x10",0,0.094,0.311,6.25,3.69
"malawi","child_zinc","Admin2","null_mean",86,621,"5-fold x10",0.674,-0.158,-0.141,24.32,20.24
"malawi","child_zinc","Admin2","curated_xy",86,621,"5-fold x10",0.674,-0.081,-0.079,26.48,21.53
"malawi","child_zinc","Admin2","curated_ridge",86,621,"5-fold x10",0.674,-0.216,-0.201,24.78,20.45
"malawi","child_zinc","Admin2","decorr20_xy",86,621,"5-fold x10",0.674,-0.106,-0.117,26.72,21.96
"malawi","child_zinc","Admin2","adaptive_top10_xy",86,621,"5-fold x10",0.674,-0.037,-0.036,27.64,22.72
"malawi","child_zinc","Admin2","adaptive_top20_xy",86,621,"5-fold x10",0.674,-0.035,-0.049,27.39,22.54
"malawi","child_zinc","Admin2","adaptive_lasso_xy",86,621,"5-fold x10",0.674,-0.115,-0.15,27.06,22.53
"malawi","child_zinc","Admin2","adaptive_top20_ridge",86,621,"5-fold x10",0.674,-0.188,-0.196,25.89,21.37
"malawi","child_zinc","Admin2","LEAKY_top20_xy",86,621,"5-fold x10",0.674,0.109,0.094,25.66,21.42
"malawi","women_zinc","Admin2","null_mean",86,621,"5-fold x10",0.707,-0.16,-0.144,26.08,22.97
"malawi","women_zinc","Admin2","curated_xy",86,621,"5-fold x10",0.707,-0.049,-0.068,29.56,24.63
"malawi","women_zinc","Admin2","curated_ridge",86,621,"5-fold x10",0.707,-0.18,-0.191,27.33,23.23
"malawi","women_zinc","Admin2","decorr20_xy",86,621,"5-fold x10",0.707,-0.062,-0.08,29.63,24.7
"malawi","women_zinc","Admin2","adaptive_top10_xy",86,621,"5-fold x10",0.707,-0.004,-0.018,30.65,25.27
"malawi","women_zinc","Admin2","adaptive_top20_xy",86,621,"5-fold x10",0.707,0,-0.017,30.3,24.93
"malawi","women_zinc","Admin2","adaptive_lasso_xy",86,621,"5-fold x10",0.707,0.026,0.031,29.12,24.29
"malawi","women_zinc","Admin2","adaptive_top20_ridge",86,621,"5-fold x10",0.707,-0.12,-0.114,28.31,23.65
"malawi","women_zinc","Admin2","LEAKY_top20_xy",86,621,"5-fold x10",0.707,0.075,0.052,29.16,23.93
"tanzania","child_vitA","Admin1","null_mean",31,377,"LOO",0.887,-0.942,-0.952,8.55,6.65
"tanzania","child_vitA","Admin1","curated_xy",31,377,"LOO",0.887,-0.472,-0.54,9.41,7.31
"tanzania","child_vitA","Admin1","curated_ridge",31,377,"LOO",0.887,-0.924,-0.958,8.63,6.61
"tanzania","child_vitA","Admin1","decorr20_xy",31,377,"LOO",0.887,-0.563,-0.54,9.61,7.54
"tanzania","child_vitA","Admin1","adaptive_top10_xy",31,377,"LOO",0.887,-0.542,-0.488,10.56,8.3
"tanzania","child_vitA","Admin1","adaptive_top20_xy",31,377,"LOO",0.887,-0.552,-0.508,10.45,8.21
"tanzania","child_vitA","Admin1","adaptive_lasso_xy",31,377,"LOO",0.887,-0.457,-0.396,9.82,7.25
"tanzania","child_vitA","Admin1","adaptive_top20_ridge",31,377,"LOO",0.887,-0.795,-0.938,8.92,6.77
"tanzania","child_vitA","Admin1","LEAKY_top20_xy",31,377,"LOO",0.887,0.012,0.034,8.66,6.81
"tanzania","women_vitA","Admin1","null_mean",31,377,"LOO",0.792,-0.954,-0.976,3.4,2.7
"tanzania","women_vitA","Admin1","curated_xy",31,377,"LOO",0.792,-0.168,-0.144,3.66,2.84
"tanzania","women_vitA","Admin1","curated_ridge",31,377,"LOO",0.792,-0.508,-0.887,3.55,2.8
"tanzania","women_vitA","Admin1","decorr20_xy",31,377,"LOO",0.792,-0.351,-0.388,3.74,2.96
"tanzania","women_vitA","Admin1","adaptive_top10_xy",31,377,"LOO",0.792,-0.612,-0.482,4.42,3.34
"tanzania","women_vitA","Admin1","adaptive_top20_xy",31,377,"LOO",0.792,-0.618,-0.579,4.46,3.47
"tanzania","women_vitA","Admin1","adaptive_lasso_xy",31,377,"LOO",0.792,-0.091,-0.002,3.63,2.7
"tanzania","women_vitA","Admin1","adaptive_top20_ridge",31,377,"LOO",0.792,-0.473,-0.732,3.82,2.87
"tanzania","women_vitA","Admin1","LEAKY_top20_xy",31,377,"LOO",0.792,-0.196,-0.122,3.72,2.85
"tanzania","child_vitA","Admin2","null_mean",162,377,"5-fold x10",0.748,-0.124,-0.12,15.44,12.48
"tanzania","child_vitA","Admin2","curated_xy",162,377,"5-fold x10",0.748,0.023,0.028,16.52,12.72
"tanzania","child_vitA","Admin2","curated_ridge",162,377,"5-fold x10",0.748,-0.119,-0.121,15.8,12.21
"tanzania","child_vitA","Admin2","decorr20_xy",162,377,"5-fold x10",0.748,-0.021,-0.048,16.69,12.95
"tanzania","child_vitA","Admin2","adaptive_top10_xy",162,377,"5-fold x10",0.748,-0.011,-0.033,17.08,13.4
"tanzania","child_vitA","Admin2","adaptive_top20_xy",162,377,"5-fold x10",0.748,-0.038,-0.058,17.13,13.5
"tanzania","child_vitA","Admin2","adaptive_lasso_xy",162,377,"5-fold x10",0.748,0.02,0.006,16.67,12.97
"tanzania","child_vitA","Admin2","adaptive_top20_ridge",162,377,"5-fold x10",0.748,-0.037,-0.067,16.16,12.67
"tanzania","child_vitA","Admin2","LEAKY_top20_xy",162,377,"5-fold x10",0.748,0.027,0.014,16.84,13.16
"tanzania","women_vitA","Admin2","null_mean",163,377,"5-fold x10",0.769,-0.114,-0.117,8.55,5.85
"tanzania","women_vitA","Admin2","curated_xy",163,377,"5-fold x10",0.769,0.029,0.022,9.08,5.72
"tanzania","women_vitA","Admin2","curated_ridge",163,377,"5-fold x10",0.769,-0.044,-0.117,8.98,5.67
"tanzania","women_vitA","Admin2","decorr20_xy",163,377,"5-fold x10",0.769,0.095,0.111,8.97,5.56
"tanzania","women_vitA","Admin2","adaptive_top10_xy",163,377,"5-fold x10",0.769,0.036,0.059,9.09,5.71
"tanzania","women_vitA","Admin2","adaptive_top20_xy",163,377,"5-fold x10",0.769,0.034,0.057,9.09,5.68
"tanzania","women_vitA","Admin2","adaptive_lasso_xy",163,377,"5-fold x10",0.769,0.108,0.079,8.96,5.67
"tanzania","women_vitA","Admin2","adaptive_top20_ridge",163,377,"5-fold x10",0.769,-0.032,-0.027,9.06,5.69
"tanzania","women_vitA","Admin2","LEAKY_top20_xy",163,377,"5-fold x10",0.769,0.131,0.142,8.9,5.53
