"panel","surveys","countries","repeated","within_sd_raw","r_max_raw","within_sd_adj","r_max_adj"
"Vitamin A / Preschool-age children",115,69,30,1.39,0.505,1.23,0.633
"Zinc / Preschool-age children",41,30,7,0.69,0.767,0.69,0.767
"Folate / Non-pregnant women (NPW)",38,28,9,0.83,0.879,0.83,0.879
