outcome,label,morans_I,expected_I,z_score,p_value
child_vitA,VAD — children,0.07322759447379631,-0.05263157894736842,125859.17342116474,0.0
women_vitA,VAD — women,-0.11018912183958071,-0.05263157894736842,-57557.542892212296,0.0
