outcome,label,n,prevalence,auc_roc,pr_auc,brier,null_brier,brier_skill,calib_intercept,calib_slope,ece
child_vitA,VAD — children,303,0.5181518151815182,0.8762760666608499,0.8988201754028171,0.14430679534611762,0.249670511605616,0.42201105601903355,0.042926890280814284,0.9860986108165577,0.022415724500997204
women_vitA,VAD — women,197,0.28426395939086296,0.9251519756838905,0.8270614162307381,0.09797106485439598,0.20345796078229278,0.518470231011366,-0.019502461736039423,1.0210496720980187,0.04578018569667567
