"country","outcome","mode","estimator","scheme","n_area","pearson_r","spearman_r","calib_slope","mae_pp","pearson_ci_lo","pearson_ci_hi","pearson_perm_p","n_boot"
"Gambia","child_vitA","enriched","distributional","district",30,0.459,0.478,0.82,10.72,0.229,0.642,0.005,1000
"Gambia","child_vitA","enriched","distributional","region",30,0.563,0.602,1.32,9.46,0.358,0.717,0.001,1000
"Gambia","child_vitA","enriched","late_fusion","district",30,0.433,0.403,0.85,9.5,0.13,0.673,0.009,1000
"Gambia","child_vitA","enriched","late_fusion","region",30,0.08,0.069,0.09,12.4,-0.28,0.571,0.3387,1000
"Gambia","women_vitA","enriched","distributional","district",30,0.422,0.49,0.55,8.19,0.187,0.622,0.009,1000
"Gambia","women_vitA","enriched","distributional","region",30,0.424,0.307,0.6,7.68,-0.017,0.683,0.017,1000
"Gambia","women_iron","enriched","late_fusion","district",30,0.647,0.7,1.37,10.34,0.492,0.788,0.001,1000
"Gambia","women_iron","enriched","late_fusion","region",30,0.502,0.601,0.58,12.8,0.234,0.719,0.006,1000
"Ghana","child_vitA","enriched","distributional","district",71,0.266,0.259,0.35,12.13,0.071,0.449,0.017,1000
"Ghana","child_vitA","enriched","distributional","region",71,0.245,0.282,0.38,11.3,0.065,0.425,0.024,1000
"Ghana","women_vitA","enriched","distributional","district",72,0.154,0.239,0.23,4.91,-0.051,0.397,0.1079,1000
"Ghana","women_vitA","enriched","distributional","region",72,0.194,0.178,0.3,4.67,-0.059,0.467,0.0649,1000
"Ghana","child_iron","enriched","late_fusion","district",71,0.632,0.57,0.87,11.28,0.47,0.77,0.001,1000
"Ghana","child_iron","enriched","late_fusion","region",71,0.492,0.473,0.68,12.68,0.285,0.665,0.001,1000
"Malawi","child_vitA","enriched","distributional","district",93,-0.02,-0.045,-0.04,16.73,-0.193,0.149,0.5674,1000
"Malawi","child_vitA","enriched","distributional","region",93,0.02,0.098,0.03,17.48,-0.138,0.197,0.4086,1000
"Malawi","women_vitA","enriched","distributional","district",90,0.06,0.112,0.19,4.1,-0.056,0.178,0.2507,1000
"Malawi","women_vitA","enriched","distributional","region",90,0.018,0.034,0.07,4.14,-0.09,0.114,0.4006,1000
"Malawi","child_iron","enriched","late_fusion","district",93,0.031,0.063,0.14,11.04,-0.209,0.28,0.3936,1000
"Malawi","child_iron","enriched","late_fusion","region",93,0.099,-0.027,0.36,11.05,-0.162,0.296,0.1648,1000
