"country","outcome","n_admin2","reach_at_20pct","lift_vs_no_targeting","hit_rate_top20","note"
"Gambia","child_vitA",30,0.325,1.48,0.5,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Gambia","women_vitA",30,0.598,3.77,0.667,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Gambia","child_iron",30,0.225,1.17,0.5,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Gambia","women_iron",30,0.257,1.47,0.5,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","child_vitA",75,0.322,1.5,0.4,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","women_vitA",75,0.337,1.86,0.4,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","child_iron",75,0.354,1.83,0.533,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","women_iron",75,0.253,1.27,0.467,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","women_folate",75,0.267,1.27,0.267,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Ghana","women_b12",75,0.49,2.55,0.6,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","child_vitA",14,0.312,1.56,0.667,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","women_vitA",14,0.366,1.64,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","child_iron",14,0.362,1.79,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","women_iron",14,0.265,1.31,0.667,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","women_folate",14,0.232,1.2,1,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Sierra Leone","women_b12",14,0.424,1.82,0.333,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","child_vitA",87,0.198,1.01,0.176,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_vitA",87,0.182,0.54,0.176,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","child_iron",87,0.216,1.1,0.412,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_iron",87,0.291,1.41,0.353,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_folate",87,0.384,2.05,0.529,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_b12",87,0.296,1.13,0.176,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","child_zinc",87,0.209,1.04,0.235,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
"Malawi","women_zinc",87,0.219,1.11,0.294,"within-country corrected SL admin-2 predictions vs survey truth; weight = n_svy"
