"Admin2","country","outcome","direct_prev","direct_se","partial_pooled_prev","insample_pooled_prev","loao_used_fh","estimate_type","method","ml_prev"
"Banjul","Gambia","child_vitA",0.0747,0.0249,0.2107,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.101160422718978
"Central Baddibu","Gambia","child_vitA",0.3571,0,0.1956,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.139595046345164
"Foni Bintang Karanai","Gambia","child_vitA",0,0,0.2011,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0973643053782506
"Foni Brefet","Gambia","child_vitA",0,0,0.2001,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0764407458284526
"Fulladu East","Gambia","child_vitA",0.2463,0.0382,0.1911,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.267940927158333
"Fulladu West","Gambia","child_vitA",0.3224,0.0599,0.1823,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.302315575283792
"Jarra East","Gambia","child_vitA",0.2082,0.0171,0.1972,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.132316846198219
"Jarra West","Gambia","child_vitA",0.0755,0.0178,0.2021,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.129698223114456
"Jokadu","Gambia","child_vitA",0.1429,0,0.1986,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.148788681690775
"Kanifing","Gambia","child_vitA",0.1294,0.0641,0.203,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.109030929044606
"Kantora","Gambia","child_vitA",0.5625,0,0.2724,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.299519669933029
"Kiang Central","Gambia","child_vitA",0.2083,0,0.1975,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.122476364018992
"Kiang East","Gambia","child_vitA",0.2273,0,0.1971,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.133732326582148
"Kombo Central","Gambia","child_vitA",0.1742,0.0565,0.1984,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.160132533544554
"Kombo East","Gambia","child_vitA",0.1,0,0.1997,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0874198395059518
"Kombo Saint Mary","Gambia","child_vitA",0.1284,0.0756,0.2018,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.101936583265031
"Kombo South","Gambia","child_vitA",0.0526,0,0.2005,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0774928111472716
"Lower Baddibu","Gambia","child_vitA",0,0,0.1996,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.12997563872698
"Lower Nuimi","Gambia","child_vitA",0,0,0.0561,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.150331835985293
"Lower Saloum","Gambia","child_vitA",0.1787,0.0195,0.1985,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.165283799839908
"Niamina Dankunku","Gambia","child_vitA",0.3824,0,0.1914,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.188877147952819
"Niamina East","Gambia","child_vitA",0.25,0,0.1963,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.194551297874579
"Niani","Gambia","child_vitA",0.308,0.0819,0.1927,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.29850844073223
"Nianija","Gambia","child_vitA",0.1362,0.0236,0.2151,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.238254711685005
"Sami","Gambia","child_vitA",0.3889,0,0.1944,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.25561330260938
"Sandu","Gambia","child_vitA",0.25,0,0.197,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.345194915655216
"Upper Baddibu","Gambia","child_vitA",0.0887,0.0255,0.2016,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.155735079196604
"Upper Nuimi","Gambia","child_vitA",0.2222,0,0.1976,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.104795320646608
"Upper Saloum","Gambia","child_vitA",0.3,0,0.1968,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.25689106972427
"Wuli","Gambia","child_vitA",0.1111,0,0.1986,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.346861574603377
"Banjul","Gambia","women_vitA",0,0,0.0056,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00476317874387481
"Central Baddibu","Gambia","women_vitA",0.0606,0,0.0242,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0177351538066484
"Foni Bintang Karanai","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00210987522711241
"Foni Brefet","Gambia","women_vitA",0.0588,0,0.0246,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00152646278400926
"Fulladu East","Gambia","women_vitA",0.0252,0.0123,0.025,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.035938662896855
"Fulladu West","Gambia","women_vitA",0.0219,0.0167,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0182846532369996
"Jarra East","Gambia","women_vitA",0.1418,0.0115,0.0213,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0786981100653185
"Jarra West","Gambia","women_vitA",0,0,0.0261,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0145186144043454
"Jokadu","Gambia","women_vitA",0,0,0.0252,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0194309097058482
"Kanifing","Gambia","women_vitA",0.0132,0.0077,0.0263,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00964700045987095
"Kantora","Gambia","women_vitA",0.1765,0,0.0232,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0513783190463601
"Kiang Central","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0116893225424585
"Kiang East","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0126715156418839
"Kombo Central","Gambia","women_vitA",0,0,0.0258,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0112412338921186
"Kombo East","Gambia","women_vitA",0,0,0.0255,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0107397984075493
"Kombo Saint Mary","Gambia","women_vitA",0.0132,0.0131,0.0259,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0160647338859642
"Kombo South","Gambia","women_vitA",0,0,0.0255,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.022842807720816
"Lower Baddibu","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0174016879445789
"Lower Nuimi","Gambia","women_vitA",0,0,0.0255,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00725474499576579
"Lower Saloum","Gambia","women_vitA",0.0119,0.0151,0.0253,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0440913187051253
