"metric","median_r"
"indiv_optim_unwt",0.859
"indiv_cluster_unwt",0.453
"indiv_cluster_wt",0.452
"indiv_region_unwt",0.101
"indiv_region_wt",0.101
"area_enet_region",0.135
"sae_glmm_region",0.103
"sae_glmm_insample",0.729
"indiv_region_wt_ci_lo",-0.129
"indiv_region_wt_ci_hi",0.347
"indiv_region_wt_perm_p",0.262
"area_enet_region_ci_lo",-0.2
"area_enet_region_ci_hi",0.38
"area_enet_region_perm_p",0.268
"sae_glmm_region_ci_lo",-0.201
"sae_glmm_region_ci_hi",0.45
"sae_glmm_region_perm_p",0.239
