iso3,year,indicator,indicator_code,pop_dim,value_num,value_str,value_low,value_high
CIV,2019,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEX_BTSX,72.2,72.2 [59.3-80.8],59.3,80.8
CIV,2019,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEVERITY_TOTAL,72.2,72.2 [59.3-80.8],59.3,80.8
CIV,2018,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEX_BTSX,73,73.0 [61.7-80.4],61.7,80.4
CIV,2018,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEVERITY_TOTAL,73,73.0 [61.7-80.4],61.7,80.4
CIV,2017,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEVERITY_TOTAL,73.6,73.6 [63.9-80.0],63.9,80
CIV,2017,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEX_BTSX,73.6,73.6 [63.9-80.0],63.9,80
CIV,2016,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEX_BTSX,74,74.0 [65.8-79.7],65.8,79.7
CIV,2016,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEVERITY_TOTAL,74,74.0 [65.8-79.7],65.8,79.7
CIV,2015,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEX_BTSX,74.2,74.2 [67.1-79.3],67.1,79.3
CIV,2015,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEVERITY_TOTAL,74.2,74.2 [67.1-79.3],67.1,79.3
CIV,2014,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEVERITY_TOTAL,74.3,74.3 [67.5-79.2],67.5,79.2
CIV,2014,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEX_BTSX,74.3,74.3 [67.5-79.2],67.5,79.2
CIV,2013,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEX_BTSX,74.3,74.3 [67.6-78.8],67.6,78.8
CIV,2013,children_6_59m,NUTRITION_ANAEMIA_CHILDREN_PREV,SEVERITY_TOTAL,74.3,74.3 [67.6-78.8],67.6,78.8
