survey,iso3,any_def,any_deflwr,any_defupr,any_defss,any_defse,any_defess,whoname,year,sdi,any_def_nstar,datatype,type,any_def_cnt,survey_no,analysis_group,region_number,sdi_original,sdi_source,pop_under5,pop_npw_15_49
af2013,AFG,0.6945939660072327,0.5210939645767212,0.8680939674377441,0,NA,NA,Afghanistan,2013,-0.31422796845436096,27,folate prediction,NPW,19,1,South Asia,6,0.2806403636932373,GBD2019,5444573,6289362
az2013,AZE,0.7557070851325989,0.6564902067184448,0.8549239635467529,0,NA,NA,Azerbaijan,2013,0.0757458359003067,72,zinc prediction,NPW,54,2,Europe & Central Asia,2,0.6706141829490662,GBD2019,809746,2583106.25
bd2012,BGD,0.9123327136039734,0.8642867207527161,0.944462239742279,699,0.019852517172694206,202.93626403808594,Bangladesh,2011,-0.19640223681926727,203,direct,NPW,185,3,South Asia,6,0.3984661102294922,GBD2019,15076216,39040956
ci2007,CIV,0.9626786112785339,0.9338443875312805,0.9915128350257874,0,NA,NA,Côte d'Ivoire,2007,-0.2543945014476776,166,zinc prediction,NPW,160,4,Sub-Saharan Africa,7,0.34047383069992065,GBD2019,3201357,3864963
cm2009,CMR,0.9165284037590027,0.8779813051223755,0.9436792135238647,332,0.016256414353847504,289.49102783203125,Cameroon,2009,-0.18450380861759186,289,direct,NPW,265,5,Sub-Saharan Africa,7,0.4103645384311676,GBD2019,3383171,4166759
ec2012,ECU,0.6765334010124207,0.6589999794960022,0.6935845017433167,7230,0.00869850255548954,2892.209228515625,Ecuador,2012,0.02887924201786518,2892,direct,NPW,1957,6,Latin America & Caribbean,4,0.6237475872039795,GBD2019,1576810,3852079
et2015,ETH,0.4880937337875366,0.44382354617118835,0.5325514674186707,1607,0.022611500695347786,488.6916198730469,Ethiopia,2015,-0.2964770197868347,489,direct,NPW,239,7,Sub-Saharan Africa,7,0.29839131236076355,GBD2019,15483378,21930724
gb2008,GBR,0.42639005184173584,0.39021700620651245,0.4633682668209076,1310,0.018676338717341423,701.19732666015625,United Kingdom,2013,0.23510046303272247,701,direct,NPW,299,8,High Income,3,0.8299688100814819,GBD2019,4106575,14697619
ge2009,GEO,0.7165647149085999,0.5991076231002808,0.834021806716919,0,NA,NA,Georgia,2009,0.054810598492622375,57,zinc prediction,NPW,41,9,Europe & Central Asia,2,0.6496789455413818,GBD2019,254744,1020625.5625
gh2017,GHA,0.8111246824264526,0.7361744046211243,0.886074960231781,0,NA,NA,Ghana,2017,-0.0526193231344223,105,zinc prediction,NPW,85,10,Sub-Saharan Africa,7,0.5422490239143372,GBD2019,4069604,6705294.5
gt2013,GTM,0.48062917590141296,0.3715115487575531,0.5897468328475952,0,NA,NA,Guatemala,2014,-0.09484843909740448,81,folate prediction,NPW,39,11,Latin America & Caribbean,4,0.500019907951355,GBD2019,1976177,3909324.75
in2016,IND,0.8073095083236694,0.7663093209266663,0.8425939083099365,2348,0.01942862756550312,412.11279296875,India,2017,-0.0538664311170578,412,direct,NPW,333,12,South Asia,6,0.5410019159317017,GBD2019,116172498,329970752
kh2014,KHM,0.8432504534721375,0.7983303666114807,0.8796730041503906,689,0.020300226286053658,320.74591064453125,Cambodia,2014,-0.1617710143327713,321,direct,NPW,270,13,East Asia & Pacific,1,0.43309733271598816,GBD2019,1758997,3969056
mx2006,MEX,0.6089102029800415,0.5385256409645081,0.679294764995575,0,NA,NA,Mexico,2006,-0.014465970918536186,185,folate prediction,NPW,112,15,Latin America & Caribbean,4,0.5804023742675781,GBD2019,11394496,28026568
mx2012,MEX,0.6706474423408508,0.5508930087089539,0.7904018759727478,0,NA,NA,Mexico,2012,0.007123009767383337,59,zinc prediction,NPW,40,16,Latin America & Caribbean,4,0.6019913554191589,GBD2019,11170676,30863976
mw2016,MWI,0.7249600887298584,0.6728773713111877,0.7715655565261841,746,0.024921685457229614,321.03692626953125,Malawi,2015,-0.25578558444976807,321,direct,NPW,233,14,Sub-Saharan Africa,7,0.3390827476978302,GBD2019,2777065,3597087.75
np2016,NPL,0.48991474509239197,0.45852452516555786,0.5213847160339355,2125,0.01593945361673832,983.59521484375,Nepal,2016,-0.19004566967487335,984,direct,NPW,482,17,South Asia,6,0.4048226773738861,GBD2019,2769163,7836025.5
pk2011,PAK,0.7806063890457153,0.7241397500038147,0.837073028087616,0,NA,NA,Pakistan,2011,-0.17515699565410614,206,folate prediction,NPW,161,18,South Asia,6,0.4197113513946533,GBD2019,24407638,41549160
us2015,USA,0.32330724596977234,0.2635810673236847,0.3894106447696686,551,0.029645932838320732,248.92970275878906,United States of America,2015,0.25406500697135925,249,direct,NPW,80,19,High Income,3,0.8489333391189575,GBD2019,19935462,71579072
vn2010,VNM,0.7774480581283569,0.7426562905311584,0.8087474703788757,1348,0.016588574275374413,628.7596435546875,Viet Nam,2010,-0.04377089440822601,629,direct,NPW,489,20,East Asia & Pacific,1,0.5510974526405334,GBD2019,7210284,24298372
