survey,iso3,any_def,any_deflwr,any_defupr,any_defss,any_defse,any_defess,whoname,year,sdi,any_def_nstar,datatype,type,any_def_cnt,survey_no,analysis_group,region_number,sdi_original,sdi_source,pop_under5,pop_npw_15_49
af2013,AFG,0.537213921546936,0.4870241582393646,0.5866606831550598,651,0.024919986724853516,400.34271240234375,Afghanistan,2013,-0.31422796845436096,400,direct,PSC,215,1,South Asia,6,0.2806403636932373,GBD2019,5444573,6289362
az2013,AZE,0.39943796396255493,0.3617928624153137,0.4383099377155304,1019,0.01945989578962326,633.47021484375,Azerbaijan,2013,0.0757458359003067,633,direct,PSC,253,2,Europe & Central Asia,2,0.6706141829490662,GBD2019,809746,2583106.25
bd2012,BGD,0.5231794714927673,0.41190221905708313,0.6322022676467896,302,0.056563183665275574,77.97187042236328,Bangladesh,2011,-0.19640223681926727,78,direct,PSC,41,3,South Asia,6,0.3984661102294922,GBD2019,15076216,39040956
ci2007,CIV,0.6341949701309204,0.5357112288475037,0.7326787114143372,0,NA,NA,Côte d'Ivoire,2007,-0.2543945014476776,92,zinc prediction,PSC,58,4,Sub-Saharan Africa,7,0.34047383069992065,GBD2019,3201357,3864963
cm2009,CMR,0.7240925431251526,0.6814417243003845,0.7630188465118408,776,0.02054656483232975,473.2373962402344,Cameroon,2009,-0.18450380861759186,473,direct,PSC,343,5,Sub-Saharan Africa,7,0.4103645384311676,GBD2019,3383171,4166759
co2010,COL,0.5672255158424377,0.5462192296981812,0.5879929065704346,4091,0.010657528415322304,2161.2470703125,Colombia,2010,-0.020803136751055717,2161,direct,PSC,1226,6,Latin America & Caribbean,4,0.5740652084350586,GBD2019,3834004,11957192
ec2012,ECU,0.42907020449638367,0.39861050248146057,0.46007683873176575,2017,0.015424554236233234,1029.6409912109375,Ecuador,2012,0.02887924201786518,1030,direct,PSC,442,7,Latin America & Caribbean,4,0.6237475872039795,GBD2019,1576810,3852079
et2015,ETH,0.4000331461429596,0.3621378540992737,0.4391637146472931,1116,0.019600411877036095,624.730712890625,Ethiopia,2015,-0.2964770197868347,625,direct,PSC,250,8,Sub-Saharan Africa,7,0.29839131236076355,GBD2019,15483378,21930724
gb2008,GBR,0.4820170998573303,0.33074918389320374,0.6332850456237793,0,NA,NA,United Kingdom,2013,0.23510046303272247,42,zinc prediction,PSC,20,9,High Income,3,0.8299688100814819,GBD2019,4106575,14697619
gh2017,GHA,0.5731101632118225,0.5131114721298218,0.6331088542938232,0,NA,NA,Ghana,2017,-0.0526193231344223,261,zinc prediction,PSC,150,10,Sub-Saharan Africa,7,0.5422490239143372,GBD2019,4069604,6705294.5
gt2013,GTM,0.30630630254745483,0.22425225377082825,0.4027946889400482,144,0.045211922377347946,103.94837951660156,Guatemala,2014,-0.09484843909740448,104,direct,PSC,32,11,Latin America & Caribbean,4,0.500019907951355,GBD2019,1976177,3909324.75
in2016,IND,0.5281148552894592,0.5015772581100464,0.5544945001602173,6514,0.01350060198456049,1367.2830810546875,India,2017,-0.0538664311170578,1367,direct,PSC,722,12,South Asia,6,0.5410019159317017,GBD2019,116172498,329970752
kh2014,KHM,0.7073670029640198,0.6237251162528992,0.7790039777755737,534,0.039051562547683716,135.7348175048828,Cambodia,2014,-0.1617710143327713,136,direct,PSC,96,13,East Asia & Pacific,1,0.43309733271598816,GBD2019,1758997,3969056
lr2011,LBR,0.7156915068626404,0.6250789165496826,0.8063040971755981,0,NA,NA,Liberia,2011,-0.28836119174957275,95,zinc prediction,PSC,68,14,Sub-Saharan Africa,7,0.3065071403980255,GBD2019,655491,846910.75
mx2006,MEX,0.5752562284469604,0.5176525712013245,0.6328598856925964,0,NA,NA,Mexico,2006,-0.014465970918536186,283,vitamin A prediction,PSC,163,16,Latin America & Caribbean,4,0.5804023742675781,GBD2019,11394496,28026568
mx2012,MEX,0.4594613313674927,0.37921035289764404,0.5397123098373413,0,NA,NA,Mexico,2012,0.007123009767383337,148,zinc prediction,PSC,68,17,Latin America & Caribbean,4,0.6019913554191589,GBD2019,11170676,30863976
mx2018,MEX,0.2808106541633606,0.23826105892658234,0.327690064907074,965,0.022786874324083328,388.9442138671875,Mexico,2018,0.037055328488349915,389,direct,PSC,109,18,Latin America & Caribbean,4,0.6319236755371094,GBD2019,11138540,32983942
mw2016,MWI,0.7402424812316895,0.6902363300323486,0.7846940755844116,1080,0.02384241670370102,338.2529296875,Malawi,2015,-0.25578558444976807,338,direct,PSC,250,15,Sub-Saharan Africa,7,0.3390827476978302,GBD2019,2777065,3597087.75
ni2005,NIC,0.6425977349281311,0.5738440752029419,0.7113513946533203,0,NA,NA,Nicaragua,2005,-0.148793563246727,187,zinc prediction,PSC,120,19,Latin America & Caribbean,4,0.44607478380203247,GBD2019,656677,1370074.375
np2016,NPL,0.44458097219467163,0.41179707646369934,0.47785452008247375,1647,0.016752181574702263,879.8909912109375,Nepal,2016,-0.19004566967487335,880,direct,PSC,391,20,South Asia,6,0.4048226773738861,GBD2019,2769163,7836025.5
pk2011,PAK,0.8614575862884521,0.8492615222930908,0.8728147149085999,6638,0.005999381188303232,3315.917724609375,Pakistan,2011,-0.17515699565410614,3316,direct,PSC,2857,21,South Asia,6,0.4197113513946533,GBD2019,24407638,41549160
vn2010,VNM,0.6611111164093018,0.6077414751052856,0.7106762528419495,360,0.025833582505583763,335.7086181640625,Viet Nam,2010,-0.04377089440822601,336,direct,PSC,222,22,East Asia & Pacific,1,0.5510974526405334,GBD2019,7210284,24298372
