iso3,indicator,year,value_num,value_low,value_high
CIV,children_6_59m,2019,72.2,59.3,80.8
CIV,women_nonpreg,2019,50.5,35.5,66.1
CIV,women_pregnant,2019,54.4,47.5,58.6
ETH,children_6_59m,2019,52.1,37.3,66.2
ETH,women_nonpreg,2019,23.5,16,33
ETH,women_pregnant,2019,29,18.7,40
GHA,children_6_59m,2019,59.5,51.1,67
GHA,women_nonpreg,2019,34.5,23.5,47.7
GHA,women_pregnant,2019,47.2,37.5,53.3
GMB,children_6_59m,2019,52.3,45.8,62.3
GMB,women_nonpreg,2019,48.9,42,56.6
GMB,women_pregnant,2019,55.1,51.3,58.4
KEN,children_6_59m,2019,42.8,28,58.7
KEN,women_nonpreg,2019,27.9,13.7,43.7
KEN,women_pregnant,2019,40.3,25.8,52
MWI,children_6_59m,2019,55.1,42.8,66.2
MWI,women_nonpreg,2019,30.6,22.1,41.1
MWI,women_pregnant,2019,39.3,28.8,47.9
SLE,children_6_59m,2019,73.4,67.8,77.8
SLE,women_nonpreg,2019,47.8,39.3,56.4
SLE,women_pregnant,2019,54.4,49.9,57.6
TZA,children_6_59m,2019,56.1,42,68.7
TZA,women_nonpreg,2019,37.9,23.5,55.2
TZA,women_pregnant,2019,48.1,35.9,56.1
