country,outcome,estimator,rho,sd_logit,replicates,r_truth,r_truth_lo,r_truth_hi,mae_truth,bias_truth,r_obs,mae_obs,median_lambda,icc
Gambia,women_iron,direct,0,0.8,100,0.8601,0.8079,0.9162,7.361,-0.128,1,0,NA,0.0076
Gambia,women_iron,flat_region,0,0.8,100,-0.1076,-0.4174,0.2286,15.309,0.011,-0.1345,17.423,NA,0.0076
Gambia,women_iron,eb_blend,0,0.8,100,0.8478,0.7869,0.8996,6.826,-0.879,0.9719,3.789,NA,0.0076
Gambia,women_iron,eb_blend_totvar,0,0.8,100,0.8328,0.7585,0.8923,7.033,-1.02,0.9493,4.918,NA,0.0076
Gambia,women_iron,ridge,0,0.8,100,-0.0577,-0.3122,0.1689,16.01,-2.916,-0.0674,17.726,NA,0.0076
Gambia,women_iron,region_tilt,0,0.8,100,-0.0986,-0.4295,0.2422,16.464,4.122,-0.1245,18.578,NA,0.0076
Gambia,women_iron,eb_covariate,0,0.8,100,0.8454,0.7816,0.9112,6.962,-1.49,0.9731,3.824,NA,0.0076
Gambia,women_iron,eb_stack,0,0.8,100,0.8509,0.7785,0.9019,6.793,-0.92,0.9765,4.085,NA,0.0076
Gambia,women_iron,direct,0.2,0.8,100,0.8601,0.8076,0.9044,7.24,-0.149,1,0,NA,0.0076
Gambia,women_iron,flat_region,0.2,0.8,100,0.1207,-0.2309,0.4556,14.01,-0.733,0.0891,16.054,NA,0.0076
Gambia,women_iron,eb_blend,0.2,0.8,100,0.8473,0.7805,0.9084,6.664,-1.124,0.9568,4.33,NA,0.0076
Gambia,women_iron,eb_blend_totvar,0.2,0.8,100,0.8391,0.7649,0.9074,6.768,-1.215,0.9447,4.864,NA,0.0076
Gambia,women_iron,ridge,0.2,0.8,100,0.2169,-0.0887,0.5159,13.644,-2.293,0.1805,15.525,NA,0.0076
Gambia,women_iron,region_tilt,0.2,0.8,100,0.1169,-0.2208,0.4259,14.674,2.796,0.0917,16.715,NA,0.0076
Gambia,women_iron,eb_covariate,0.2,0.8,100,0.8488,0.7783,0.9057,6.654,-1.564,0.9563,4.539,NA,0.0076
Gambia,women_iron,eb_stack,0.2,0.8,100,0.8504,0.7829,0.906,6.783,-2.583,0.9625,4.762,NA,0.0076
Gambia,women_iron,direct,0.35,0.8,100,0.8544,0.7927,0.9037,7.331,0.035,1,0,NA,0.0076
Gambia,women_iron,flat_region,0.35,0.8,100,0.2033,-0.174,0.4958,13.191,-0.135,0.1545,15.265,NA,0.0076
Gambia,women_iron,eb_blend,0.35,0.8,100,0.8472,0.7873,0.9081,6.628,-0.68,0.9483,4.551,NA,0.0076
Gambia,women_iron,eb_blend_totvar,0.35,0.8,100,0.8449,0.7796,0.9067,6.687,-0.684,0.9426,4.801,NA,0.0076
Gambia,women_iron,ridge,0.35,0.8,100,0.3346,0.043,0.5674,12.634,-2.151,0.2832,14.476,NA,0.0076
Gambia,women_iron,region_tilt,0.35,0.8,100,0.1601,-0.2305,0.4619,14.349,3.677,0.1224,16.308,NA,0.0076
Gambia,women_iron,eb_covariate,0.35,0.8,100,0.8463,0.7605,0.9005,6.708,-1.415,0.9463,4.801,NA,0.0076
Gambia,women_iron,eb_stack,0.35,0.8,100,0.8499,0.7765,0.9081,6.844,-2.571,0.9568,4.937,NA,0.0076
Gambia,women_iron,direct,0.6,0.8,100,0.8391,0.7843,0.8943,7.498,0.211,1,0,NA,0.0076
Gambia,women_iron,flat_region,0.6,0.8,100,0.4397,0.2186,0.6553,10.789,-0.446,0.3263,13.695,NA,0.0076
Gambia,women_iron,eb_blend,0.6,0.8,100,0.8531,0.8015,0.9091,6.386,-0.752,0.9229,5.232,NA,0.0076
Gambia,women_iron,eb_blend_totvar,0.6,0.8,100,0.862,0.8089,0.9122,6.251,-0.676,0.9482,4.476,NA,0.0076
Gambia,women_iron,ridge,0.6,0.8,100,0.5479,0.3466,0.7177,10.6,-1.964,0.4438,13.19,NA,0.0076
Gambia,women_iron,region_tilt,0.6,0.8,100,0.4108,0.1637,0.6372,11.723,3.229,0.3081,14.532,NA,0.0076
Gambia,women_iron,eb_covariate,0.6,0.8,100,0.8515,0.7915,0.9055,6.459,-1.439,0.9195,5.535,NA,0.0076
Gambia,women_iron,eb_stack,0.6,0.8,100,0.8588,0.8083,0.9127,6.72,-3.409,0.9351,5.776,NA,0.0076
Gambia,women_iron,direct,0.8,0.8,100,0.8409,0.7839,0.8931,7.425,-0.185,1,0,NA,0.0076
Gambia,women_iron,flat_region,0.8,0.8,100,0.6579,0.5291,0.7673,8.552,-0.567,0.4907,11.99,NA,0.0076
Gambia,women_iron,eb_blend,0.8,0.8,100,0.8816,0.8201,0.9226,5.69,-0.928,0.8898,5.864,NA,0.0076
Gambia,women_iron,eb_blend_totvar,0.8,0.8,100,0.8918,0.8504,0.9283,5.589,-0.845,0.9489,4.092,NA,0.0076
Gambia,women_iron,ridge,0.8,0.8,100,0.7204,0.5739,0.8395,8.529,-2.46,0.5777,11.637,NA,0.0076
Gambia,women_iron,region_tilt,0.8,0.8,100,0.6512,0.5378,0.7693,9.033,2.335,0.4876,12.438,NA,0.0076
Gambia,women_iron,eb_covariate,0.8,0.8,100,0.8811,0.8296,0.9266,5.835,-2.121,0.8955,6.144,NA,0.0076
Gambia,women_iron,eb_stack,0.8,0.8,100,0.8849,0.8292,0.9266,6.461,-4.437,0.9144,6.346,NA,0.0076
Gambia,women_iron,direct,0.9,0.8,100,0.8347,0.7795,0.8902,7.504,-0.123,1,0,NA,0.0076
Gambia,women_iron,flat_region,0.9,0.8,100,0.7727,0.6887,0.849,7.13,-0.748,0.5979,10.584,NA,0.0076
Gambia,women_iron,eb_blend,0.9,0.8,100,0.8901,0.8317,0.9404,5.554,-0.914,0.849,6.732,NA,0.0076
Gambia,women_iron,eb_blend_totvar,0.9,0.8,100,0.9011,0.8588,0.9381,5.427,-0.806,0.9523,3.863,NA,0.0076
Gambia,women_iron,ridge,0.9,0.8,100,0.8014,0.7052,0.8859,7.444,-2.114,0.6448,10.622,NA,0.0076
Gambia,women_iron,region_tilt,0.9,0.8,100,0.7568,0.6958,0.849,7.536,2.057,0.5872,11.01,NA,0.0076
Gambia,women_iron,eb_covariate,0.9,0.8,100,0.8875,0.8332,0.9313,5.774,-2.034,0.8513,6.955,NA,0.0076
Gambia,women_iron,eb_stack,0.9,0.8,100,0.8912,0.8252,0.9394,7.005,-5.432,0.8772,7.446,NA,0.0076
