"variable","importance","importance_norm","country","outcome"
"gee_trmm_Jul_10km",0.583944970109241,1,"Ghana","women_b12"
"MAP_202106_Insecticide_Treated_Net_Access",0.532545537611877,0.911978978964836,"Ghana","women_b12"
"chirps_precip_jul",0.450046572813598,0.770700315698252,"Ghana","women_b12"
"ihme_15_59_years_199_both_hiv_prevalence_percent",0.438730575325939,0.751321781646418,"Ghana","women_b12"
"gee_soilaluminium_2017_stdev_0_20",0.394905228328276,0.676271307302124,"Ghana","women_b12"
"gee_wapor_2016_annual_range",0.324751254264635,0.556133318870582,"Ghana","women_b12"
"gee_trmm_Mar_10km",0.301001844289943,0.515462688605115,"Ghana","women_b12"
"gee_temp_Feb_10km",0.262796946034578,0.450037177279592,"Ghana","women_b12"
"wfp_rice_local",0.262323039364243,0.449225616782296,"Ghana","women_b12"
"gee_temp_Dec_10km",0.248203898657557,0.425046727624222,"Ghana","women_b12"
"gee_lst_night_2015_annual_mean_annual_mean",0.244046224936233,0.417926752396853,"Ghana","women_b12"
"MAP_202406_Pf_Incidence_Rate",0.240582591440171,0.411995314207714,"Ghana","women_b12"
"gee_soilzinc_2017_stdev_0_20",0.219890119312155,0.376559659844351,"Ghana","women_b12"
"dhs2014_HA_HIVP_B_HIV_adm2.x",0.215675643113071,0.369342410934242,"Ghana","women_b12"
"chirps_precip_may",0.212682137043728,0.364216061324992,"Ghana","women_b12"
"chirps_precip_apr",0.20648242139821,0.353599109449616,"Ghana","women_b12"
"gee_esa_worldcereal_2021_annual_sd",0.204160409291374,0.349622686626072,"Ghana","women_b12"
"dhs2014_AN_ANEM_W_ANY",0.203374454895816,0.348276747478054,"Ghana","women_b12"
"gee_smod_25km",0.19987131227767,0.34227765030715,"Ghana","women_b12"
"ihme_15_49_years_24_males_male_circumcision_prevalence_percent",0.197074404627202,0.337487973550546,"Ghana","women_b12"
"gee_trmm_Oct_25km",0.192594567914728,0.329816297379356,"Ghana","women_b12"
"gee_temp_Jan_10km",0.184376827318424,0.315743497685975,"Ghana","women_b12"
"gee_ghm_10km",0.184091204811998,0.315254371961726,"Ghana","women_b12"
"gee_trmm_Apr_25km",0.180393583245513,0.308922231510558,"Ghana","women_b12"
"gee_fldas_2016_annual_mean_soilmoi100_200cm_tavg",0.179609598423438,0.307579665237697,"Ghana","women_b12"
"gee_trmm_Aug_10km",0.176081855523965,0.301538440327732,"Ghana","women_b12"
"gee_smod_50km",0.174831579734344,0.299397355373466,"Ghana","women_b12"
"gee_smod_10km",0.174743321086081,0.299246213309092,"Ghana","women_b12"
"gee_temp_Mar_10km",0.170533072186992,0.292036203608518,"Ghana","women_b12"
"missing_dhs2014_AN_ANEM_W_ANY_adm2.x",0.169752131182749,0.290698849843663,"Ghana","women_b12"
"dhs2014_c_dpt1_adm2.x",0.167654324605182,0.287106376776939,"Ghana","women_b12"
"dhs2014_w_vitA_postpartum_adm2.x",0.166769737482452,0.285591530056768,"Ghana","women_b12"
"MAP_202106_Insecticide_Treated_Net_Use",0.16600579160853,0.284283280284913,"Ghana","women_b12"
"dhs2014_c_early_initiation_adm2.y",0.162793770030387,0.278782725022758,"Ghana","women_b12"
"dhs2014_c_early_initiation_adm2.x",0.158807580085825,0.271956414071202,"Ghana","women_b12"
"gee_soilpotassium_2017_stdev_20_50",0.156940363699069,0.268758824431195,"Ghana","women_b12"
"gee_ndvi_Jun_50km",0.15678135083323,0.268486516467297,"Ghana","women_b12"
"gee_lst_night_2014_annual_mean_annual_max",0.156692925755134,0.268335089393476,"Ghana","women_b12"
"dhs2014_w_health_decision_adm2.x",0.154596358376643,0.264744738442942,"Ghana","women_b12"
"MAP_202106_Antimalarial_Effective_Treatment",0.151384492418479,0.259244449678468,"Ghana","women_b12"
"dhs2014_hh_mean_hhsize_adm2.x",0.15050888753117,0.257744984947835,"Ghana","women_b12"
"gee_fldas_2016_annual_mean_soiltemp40_100cm_tavg",0.150313217114834,0.257409901290381,"Ghana","women_b12"
"map2_explorer_2020_global_am_effective_treatment",0.146811092947686,0.251412548206762,"Ghana","women_b12"
"gee_soilphosphorus_2017_annual_min",0.144643658378016,0.247700837890525,"Ghana","women_b12"
"lsms_hh_rcserve_cult",0.144131549332644,0.24682385620289,"Ghana","women_b12"
"dhs2014_c_diarrhea_2wk_adm2.x",0.143558835343432,0.245843089146869,"Ghana","women_b12"
"mics_hh_num",0.143180970864855,0.245195999955388,"Ghana","women_b12"
"mics_hc11_se",0.141756810196817,0.242757138862414,"Ghana","women_b12"
"map2_explorer_2015_nature_africa_pr",0.138938594348819,0.237930972027771,"Ghana","women_b12"
"dhs2014_AN_NUTS_W_THN_adm2.y",0.13560652713028,0.232224839790831,"Ghana","women_b12"
"ihme_15_49_years_24_females_moderate_anemia_percent",0.135049505724768,0.231270946129571,"Ghana","women_b12"
"dhs2014_WS_TLET_P_BAS_adm2.x",0.134384787517609,0.230132622758047,"Ghana","women_b12"
"dhs2014_CH_VACC_C_DP1_adm2.x",0.132592550687974,0.227063434869846,"Ghana","women_b12"
"mics_ws5_se",0.132179998832495,0.226356943887653,"Ghana","women_b12"
"gee_trmm_Sep_10km",0.131815325184196,0.225732443862881,"Ghana","women_b12"
"mics_ws3_se",0.131672800572203,0.225488371871017,"Ghana","women_b12"
"lsms_hh_se.pindex_nfd",0.129898373720887,0.222449683394972,"Ghana","women_b12"
"mics_hc5_se",0.129202627328515,0.221258224562401,"Ghana","women_b12"
"dhs2014_c_diet_diversity_score_adm2.y",0.127429576282424,0.218221892139228,"Ghana","women_b12"
"ihme_all_ages_22_both_onchocerciasis_prevalence_rate",0.127345218411147,0.218077430116958,"Ghana","women_b12"
"gee_fldas_2017_annual_mean_qs_tavg",0.125690873484743,0.215244380752573,"Ghana","women_b12"
"gee_lst_night_2015_annual_mean_annual_range",0.122678334402129,0.210085437295879,"Ghana","women_b12"
"soil_sand",0.121757820790543,0.208509066818001,"Ghana","women_b12"
"lsms_hh_inc_other",0.121233410741695,0.207611019783278,"Ghana","women_b12"
"gee_trmm_2017",0.120728565400621,0.206746477117588,"Ghana","women_b12"
"mics_hw4_se",0.120037536270698,0.205563096550421,"Ghana","women_b12"
"gee_soilsulfur_2017_annual_min",0.118197090375447,0.202411351112992,"Ghana","women_b12"
"mics_hc7b",0.117145563560331,0.200610621816669,"Ghana","women_b12"
