outcome,held_out,anchor,tilt,n,r,mae_pp,bias_pp,frac_flagged,frac_score_out,frac_orth_out,od_ratio,sd_ratio,n_pc,cond_number,frac_marginal_out,n_districts,n_cov,spread_assumed,anchor_true_pp,anchor_blind_pp,absolute_r,absolute_mae_pp
child_vitA,Gambia,true,0,30,NA,10.789166618550185,1.0253681739875555,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,true,0.2,30,-0.12877477413096605,11.251818741816834,1.0253681739875555,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,true,0.35,30,-0.12877477413096597,11.65639391783241,1.0253681739875555,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,true,0.5,30,-0.12877477413096597,12.095374167198694,1.0253681739875562,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,true,0.75,30,-0.12877477413096594,12.827007916142502,1.025368173987556,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,true,1,30,-0.12877477413096594,13.558641665086308,1.0253681739875562,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,blind,0,30,NA,11.371069771613497,-6.659904093606535,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,blind,0.2,30,-0.128774774130966,11.908598787249495,-6.659904093606536,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,blind,0.35,30,-0.12877477413096602,12.548555147656554,-6.659904093606535,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,blind,0.5,30,-0.12877477413096597,13.22783599873307,-6.659904093606535,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,blind,0.75,30,-0.12877477413096597,14.359970750527266,-6.659904093606535,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Gambia,blind,1,30,-0.12877477413096597,15.57940881341957,-6.659904093606535,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1106,19.78,12.09,-0.1288,16.05
child_vitA,Ghana,true,0,75,NA,9.587684028819925,1.4000610395584083,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,true,0.2,75,0.34148124723021417,8.950211607994898,1.4000610395584079,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,true,0.35,75,0.34148124723021406,8.761410513052438,1.4000610395584079,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,true,0.5,75,0.3414812472302141,8.848794419272641,1.400061039558408,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,true,0.75,75,0.3414812472302141,9.246648508479952,1.4000610395584077,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,true,1,75,0.34148124723021417,9.892714138902347,1.4000610395584077,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,blind,0,75,NA,9.508366233093177,0.27411380977340954,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,blind,0.2,75,0.3414812472302142,8.852999503343883,0.2741138097734094,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,blind,0.35,75,0.3414812472302141,8.659098919878225,0.2741138097734092,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,blind,0.5,75,0.34148124723021417,8.742236784527522,0.27411380977340916,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,blind,0.75,75,0.34148124723021417,9.14585536645118,0.27411380977340893,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Ghana,blind,1,75,0.3414812472302141,9.845116800202074,0.27411380977340905,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.1106,14.93,13.8,0.3415,8.96
child_vitA,Sierra Leone,true,0,14,NA,4.627348636486659,0.9676199864495635,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,true,0.2,14,-0.04970132036001372,5.089003887693019,0.9676199864495635,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,true,0.35,14,-0.04970132036001386,6.016671014236548,0.9676199864495633,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,true,0.5,14,-0.04970132036001382,6.944338140780075,0.9676199864495629,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,true,0.75,14,-0.049701320360013845,8.565915072377258,0.9676199864495632,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,true,1,14,-0.04866643871406975,9.856790297677357,1.300541661607687,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,blind,0,14,NA,5.286093016881362,3.214333862717691,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,blind,0.2,14,-0.04970132036001385,5.914365211843031,3.214333862717691,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,blind,0.35,14,-0.04970132036001389,6.65858926459887,3.214333862717691,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,blind,0.5,14,-0.04970132036001382,7.586256391142397,3.214333862717691,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,blind,0.75,14,-0.04970132036001389,9.132368268714945,3.214333862717691,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Sierra Leone,blind,1,14,-0.051279377565840965,10.613805185476348,3.279008823528836,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1153,12.19,14.43,-0.0497,6.59
child_vitA,Malawi,true,0,87,NA,8.465027055851433,0.5028661664649157,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,true,0.2,87,0.03023109446692,8.632893476849155,0.5028661664649157,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,true,0.35,87,0.030231094466919992,8.868502706282564,0.502866166464916,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,true,0.5,87,0.023978964526849278,9.403348835759685,0.5510401602757522,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,true,0.75,87,0.023399070245403296,10.29258752785765,0.9580412552234973,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,true,1,87,0.01970561448225138,11.173478287684375,1.5783074475709986,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,blind,0,87,NA,11.615659001929723,7.603394521062872,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,blind,0.2,87,0.030231094466919968,11.631976790612402,7.603394521062872,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,blind,0.35,87,0.030231094466919992,11.706139980350763,7.603394521062872,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,blind,0.5,87,0.030231094466920017,11.916656313529451,7.603394521062872,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,blind,0.75,87,0.029439388195249862,12.388557631027219,7.6126970398325,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
child_vitA,Malawi,blind,1,87,0.022477518005935473,13.174793335087273,7.8134826083114834,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1153,9.18,16.28,0.0302,8.47
women_vitA,Gambia,true,0,30,NA,3.5925223026209783,-0.9932652817448694,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,true,0.2,30,0.3402006460035652,3.3892146202121665,-0.9932652817448696,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,true,0.35,30,0.34020064600356514,3.336524262556923,-0.9932652817448697,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,true,0.5,30,0.3468915672947435,3.374120439986565,-0.9326732937390105,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
