"country","outcome","Admin1","Admin2","rank","variable","shap","direction"
"Gambia","child_iron","Lower River","Jarra East",2,"wfp_price_rice_basmati_broken",-0.00392157898422185,"decreases risk"
"Gambia","child_iron","Lower River","Jarra East",3,"wfp_price_beans_dry",-0.00390910029755722,"decreases risk"
"Gambia","child_iron","Lower River","Jarra East",4,"gee_temp_Jan_25km",-0.00322425223148531,"decreases risk"
"Gambia","child_iron","Lower River","Jarra East",5,"wfp_price_groundnuts_unshelled",-0.00196693564629024,"decreases risk"
"Gambia","child_iron","Lower River","Jarra West",1,"wfp_price_rice_basmati_broken",-0.00489142654984318,"decreases risk"
"Gambia","child_iron","Lower River","Jarra West",2,"gee_a2_LST_Night_2015_Annual_Mean_FilledProportion",-0.00482210987836305,"decreases risk"
"Gambia","child_iron","Lower River","Jarra West",3,"gee_temp_Jan_25km",-0.00455498521688215,"decreases risk"
"Gambia","child_iron","Lower River","Jarra West",4,"wfp_price_beans_dry",-0.00438346115583938,"decreases risk"
"Gambia","child_iron","Lower River","Jarra West",5,"dhs2019_hh_radio_adm2.y",-0.00419842278527348,"decreases risk"
"Gambia","child_iron","North Bank","Jokadu",1,"dhs2019_c_min_diet_diversity_adm2.y",0.0109176121453007,"increases risk"
"Gambia","child_iron","North Bank","Jokadu",2,"missing_wfp_milk_powder",0.00293594847488545,"increases risk"
"Gambia","child_iron","North Bank","Jokadu",3,"dhs2019_hh_radio_adm2.y",0.00271290027432272,"increases risk"
"Gambia","child_iron","North Bank","Jokadu",4,"gee_a2_LST_Night_2015_Annual_Mean_FilledProportion",-0.00175593313332212,"decreases risk"
"Gambia","child_iron","North Bank","Jokadu",5,"gee_trmm_Dec_10km",-0.00160477134183254,"decreases risk"
"Gambia","child_iron","Banjul","Kanifing",1,"wfp_coffee_instant",0.00431750401548078,"increases risk"
"Gambia","child_iron","Banjul","Kanifing",2,"dhs2019_c_min_diet_diversity_adm2.y",0.00428112562886202,"increases risk"
"Gambia","child_iron","Banjul","Kanifing",3,"wfp_maize_local",0.00423221950554109,"increases risk"
"Gambia","child_iron","Banjul","Kanifing",4,"dhs2019_w_iron_supplement_adm2.y",-0.00346958313693181,"decreases risk"
"Gambia","child_iron","Banjul","Kanifing",5,"gee_a2_LandCoverType_2018_2018_01_01_LC_Type4",0.00282614323300646,"increases risk"
"Gambia","child_iron","Upper River","Kantora",1,"gee_temp_Jan_25km",0.00666455315997471,"increases risk"
"Gambia","child_iron","Upper River","Kantora",2,"dhs2019_hh_radio_adm2.y",0.00448216312825056,"increases risk"
"Gambia","child_iron","Upper River","Kantora",3,"dhs2019_w_modern_fp_adm2.y",0.00405521689039136,"increases risk"
"Gambia","child_iron","Upper River","Kantora",4,"dhs2019_c_min_diet_diversity_adm2.y",-0.00398843041074772,"decreases risk"
"Gambia","child_iron","Upper River","Kantora",5,"missing_wfp_milk_powder",0.0035684298908223,"increases risk"
"Gambia","child_iron","Lower River","Kiang Central",1,"dhs2019_c_min_diet_diversity_adm2.y",0.014377331084046,"increases risk"
"Gambia","child_iron","Lower River","Kiang Central",2,"dhs2019_w_iron_supplement_adm2.y",0.00537352134839164,"increases risk"
"Gambia","child_iron","Lower River","Kiang Central",3,"missing_wfp_milk_powder",0.00328581011313817,"increases risk"
"Gambia","child_iron","Lower River","Kiang Central",4,"gee_temp_Jan_25km",-0.00297939330702302,"decreases risk"
"Gambia","child_iron","Lower River","Kiang Central",5,"dhs2019_hh_radio_adm2.y",0.00217963688195494,"increases risk"
"Gambia","child_iron","Lower River","Kiang East",1,"dhs2019_hh_radio_adm2.y",0.00629693815212333,"increases risk"
"Gambia","child_iron","Lower River","Kiang East",2,"dhs2019_w_iron_supplement_adm2.y",0.00628143401080808,"increases risk"
"Gambia","child_iron","Lower River","Kiang East",3,"gee_temp_Jan_25km",-0.00417834452565118,"decreases risk"
"Gambia","child_iron","Lower River","Kiang East",4,"gee_a2_LST_Night_2015_Annual_Mean_FilledProportion",-0.0028861607955228,"decreases risk"
"Gambia","child_iron","Lower River","Kiang East",5,"dhs2019_c_min_diet_diversity_adm2.y",0.00286148396788393,"increases risk"
