country,outcome,n,obs_prev,obs_n_events,exp_n_events,obs_se,obs_lo,obs_hi,pred_prev,model_type,abs_diff,pct_diff
Gambia,child_vitA,1020,0.17253485247621728,205,175.98554952574162,0.021266470214906463,0.13010940522547496,0.21496029972695954,0.1859949306828136,binary,0.01346007820659631,7.8013676734975554
Gambia,women_vitA,1413,0.01699354367361608,38,24.01187721081952,0.004742028662742743,0.007533455334570338,0.02645363201266182,0.019809342053266128,binary,0.002815798379650049,16.569812828514483
Gambia,child_iron,1013,0.37525736593968906,425,380.135711696905,0.027575209575369387,0.3202463280266847,0.43026840385269344,0.4214966553093466,binary,0.046239289369657544,12.322020449583677
Gambia,women_iron,1402,0.2818297892316726,437,395.12536450280504,0.019995847019323387,0.2419391658992877,0.32172041256405753,0.2675864977708705,binary,0.01424329146080211,5.05386300704135
Ghana,child_vitA,1165,0.14716591107235863,174,171.4482863992978,0.012301664670581412,0.12271502049577936,0.17161680164893794,0.1496674276410188,binary,0.0025015165686601837,1.6997934850756549
Ghana,women_vitA,992,0.016586019049284053,15,16.45333089688978,0.004924149101541106,0.006798739515281571,0.026373298583286534,0.014810831335998283,binary,0.00177518771328577,10.702916160960259
Ghana,child_iron,1165,0.2154315598635976,278,250.97776724109121,0.016696520581603348,0.18224541728188046,0.2486177024453148,0.21501433565018552,binary,4.172242134120874e-4,0.19366903051542522
Ghana,women_iron,981,0.08941928596719023,83,87.72031953381362,0.012536091850241956,0.06450244598688806,0.1143361259474924,0.08733683883370338,binary,0.0020824471334868477,2.3288568131162894
Ghana,women_folate,475,0.5380184222619656,260,255.55875057443367,0.031383440292877464,0.4756404364310862,0.600396408092845,0.5418976930342095,binary,0.0038792707722439257,0.7210293573098278
Ghana,women_b12,473,0.06874718493164705,40,32.51741847266906,0.01222078394966771,0.044457053545776726,0.09303731631751738,0.06916541252836979,binary,4.182275967227339e-4,0.6083559597946637
Sierra Leone,child_vitA,486,0.12012830443252939,61,58.38235595420929,0.01698823209204648,0.08612266322916276,0.15413394563589602,0.14014377613161522,binary,0.020015471699085824,16.661744951480276
Sierra Leone,women_vitA,774,0.014246561138413145,14,11.026838321131775,0.004263859039150869,0.005711519949814146,0.022781602327012145,0.01832796915800383,binary,0.004081408019590683,28.648373315760686
Sierra Leone,child_iron,486,0.05148373995781412,28,25.021097619497663,0.01053411446496148,0.030397418853313485,0.07257006106231474,0.07283979801816226,binary,0.02135605806034814,41.48117071107759
Sierra Leone,women_iron,774,0.09606178111162943,73,74.35181858040117,0.014854395551971648,0.06632747781883856,0.1257960844044203,0.09903240605519262,binary,0.002970624943563191,3.0924108518362265
Sierra Leone,women_folate,766,0.7915613905514678,608,606.3360251624243,0.023306731484067693,0.744890465785652,0.8382323153172836,0.7730456359945773,binary,0.018515754556890474,2.3391432146521005
Sierra Leone,women_b12,768,0.0052317547237929855,4,4.017987627873013,0.0026738267153605514,-1.2249091784604597e-4,0.010586000365432016,0.0051462770604174535,binary,8.547766337553206e-5,NA
Malawi,child_vitA,1149,0.10168993412708867,107,116.84173431202488,0.016072928319657735,0.06980935701382653,0.1335705112403508,0.10009385320132641,binary,0.0015960809257622582,1.5695564555755634
Malawi,women_vitA,836,0.021729082944041272,11,18.165513341218503,0.008097708948718594,0.005667315639035747,0.0377908502490468,0.021044657935008926,binary,6.844250090323467e-4,3.1498108355283136
Malawi,child_iron,1149,0.10285851464042006,110,118.18443332184265,0.020073146507062403,0.06304352371922377,0.14267350556161634,0.11841297400418989,binary,0.015554459363769826,15.122189366768696
Malawi,women_iron,781,0.08129274344765916,78,63.489632632621806,0.011846008304472192,0.057796242142842076,0.10478924475247625,0.08734868443466558,binary,0.006055940987006417,7.449546823211314
Malawi,women_folate,828,0.18599670877138672,172,154.0052748627082,0.028531651506778742,0.12940431328872265,0.24258910425405078,0.17849601752541716,binary,0.007500691245969554,4.03270105988211
Malawi,women_b12,839,0.02280753744935077,23,19.135523920005298,0.006162857327814004,0.010583539160432198,0.035031535738269344,0.03111930103415668,binary,0.008311763584805908,36.4430557365697
Malawi,child_zinc,1134,0.6114211444486362,670,693.3515778047534,0.031224170558148003,0.549488150193991,0.6733541387032813,0.5918942605025366,binary,0.019526883946099582,3.1936880370253506
Malawi,women_zinc,844,0.6411263289957567,522,541.1106216724187,0.034720877680603855,0.5722576327431372,0.7099950252483762,0.6217465560316238,binary,0.019379772964132957,3.0227697861806613
