column,domain,source,n_countries,countries,completeness,subnational,product,provider,paper_entry,finite_Gambia,finite_Ghana,finite_Malawi,finite_SierraLeone,n_countries_finite
access_healthcare_min,Built environment,GEE,4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,Oxford MAP travel time to healthcare,Oxford MAP,T2 Malaria Atlas Project,1.0,1.0,1.0,1.0,4
aef_A00,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A01,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A02,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A03,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A04,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A05,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A06,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A07,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A08,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A09,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A10,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A11,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A12,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A13,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A14,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A15,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A16,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A17,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A18,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A19,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A20,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A21,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A22,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A23,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A24,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A25,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A26,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A27,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A28,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A29,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A30,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A31,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A32,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A33,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A34,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A35,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A36,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A37,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A38,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A39,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
aef_A40,Satellite embedding,AlphaEarth (GEE),4,Gambia|Ghana|Malawi|SierraLeone,1.0,True,AlphaEarth Foundations 2017 embedding,Google DeepMind (GEE),not in paper (GEE catalogue),1.0,1.0,1.0,1.0,4
