country,outcome,arm,n_admin2,pearson_r,mae_pp,bias_pp,abs_bias_pp,r_max_emp,r_share_emp
Gambia,women_iron,3 ADMIN-1 anchor (hard),30,0.7605,8.95,-2.57,2.57,0.8237,0.923
Gambia,women_iron,3 ADMIN-1 anchor (shrunk),30,0.7423,9.58,-5.54,5.54,0.8237,0.901
Gambia,women_iron,4 national anchor,30,0.7476,9.6,-5.78,5.78,0.8237,0.908
Gambia,women_iron,"5 ADMIN-1 anchor (hard, JACKKNIFE)",30,0.5788,17.76,-17.19,17.19,0.8237,0.703
Gambia,women_iron,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",30,0.7146,17.53,-17.51,17.51,0.8237,0.868
Ghana,child_vitA,1 no anchor (LORO),75,0.2355,10.36,-4.8,4.8,0.5923,0.398
Ghana,child_vitA,2a flat REGIONAL mean (no covariates),75,0.502,8.03,1.04,1.04,0.5923,0.848
Ghana,child_vitA,2a flat NATIONAL mean (no covariates),75,NA,9.48,-0.35,0.35,0.5923,NA
Ghana,child_vitA,3 ADMIN-1 anchor (hard),75,0.3973,9.91,4.12,4.12,0.5923,0.671
Ghana,child_vitA,3 ADMIN-1 anchor (shrunk),75,0.2985,9.99,2.8,2.8,0.5923,0.504
Ghana,child_vitA,4 national anchor,75,0.2344,10.65,2.78,2.78,0.5923,0.396
Ghana,child_vitA,"5 ADMIN-1 anchor (hard, JACKKNIFE)",73,0.235,11.77,4.5,4.5,0.5923,0.397
Ghana,child_vitA,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",75,0.3587,10.05,4.11,4.11,0.5923,0.606
Ghana,women_vitA,1 no anchor (LORO),75,0.0516,2.18,-0.78,0.78,0.3925,0.131
Ghana,women_vitA,2a flat REGIONAL mean (no covariates),75,0.3289,2.35,-0.05,0.05,0.3925,0.838
Ghana,women_vitA,2a flat NATIONAL mean (no covariates),75,NA,2.4,-0.46,0.46,0.3925,NA
Ghana,women_vitA,3 ADMIN-1 anchor (hard),75,0.2957,2.6,0.18,0.18,0.3925,0.753
Ghana,women_vitA,3 ADMIN-1 anchor (shrunk),75,-0.0745,2.42,-0.45,0.45,0.3925,-0.19
Ghana,women_vitA,4 national anchor,75,0.0519,2.49,-0.32,0.32,0.3925,0.132
