country,outcome,method,n_covariates,n_admin2,n_predicted,pearson_r,spearman_r,mae_pp,rmse_pp,bias_pp
Gambia,child_vitA,National mean (null),0,30,30,NA,NA,10.79,13.3,1.03
Gambia,child_vitA,MRP (legacy),556,30,37,0.696,0.711,7.04,9.59,1.07
Gambia,child_vitA,MRP (harmonized),220,30,37,0.8,0.794,5.77,8.2,1.82
Gambia,women_vitA,National mean (null),0,30,30,NA,NA,3.59,4.93,-0.99
Gambia,women_vitA,MRP (legacy),556,30,37,0.83,0.629,2.09,2.76,0.13
Gambia,women_vitA,MRP (harmonized),220,30,37,0.796,0.636,2.18,2.97,0.11
Gambia,child_iron,National mean (null),0,30,30,NA,NA,12.45,15.37,-1.56
Gambia,child_iron,MRP (legacy),556,30,37,0.829,0.829,7.02,9.01,-0.83
Gambia,child_iron,MRP (harmonized),220,30,37,0.719,0.699,8.33,10.71,-0.12
Gambia,women_iron,National mean (null),0,30,30,NA,NA,14.19,17.42,-6.28
Gambia,women_iron,MRP (legacy),556,30,37,0.816,0.836,8.4,10.19,-2.16
Gambia,women_iron,MRP (harmonized),220,30,37,0.817,0.853,8.27,10.01,-1.8
Ghana,child_vitA,National mean (null),0,75,75,NA,NA,9.59,11.54,1.4
Ghana,child_vitA,MRP (legacy),559,75,260,0.621,0.594,7.21,9.06,0.88
Ghana,child_vitA,MRP (harmonized),221,75,260,0.662,0.626,7.14,8.74,0.93
Ghana,women_vitA,National mean (null),0,75,75,NA,NA,2.64,4.13,-0.1
Ghana,women_vitA,MRP (legacy),559,75,260,0.379,0.373,2.31,3.83,-0.04
Ghana,women_vitA,MRP (harmonized),221,75,260,0.663,0.527,1.92,3.41,-0.28
Ghana,child_iron,National mean (null),0,75,75,NA,NA,15.23,18.61,2.56
Ghana,child_iron,MRP (legacy),559,75,260,0.885,0.817,6.85,8.8,0.93
Ghana,child_iron,MRP (harmonized),221,75,260,0.886,0.82,6.84,8.8,0.93
Ghana,women_iron,National mean (null),0,75,75,NA,NA,9.51,11.76,0.56
Ghana,women_iron,MRP (legacy),559,75,260,0.536,0.524,7.4,9.93,0.09
Ghana,women_iron,MRP (harmonized),221,75,260,0.617,0.559,7,9.24,0.07
Ghana,women_folate,National mean (null),0,75,75,NA,NA,24.92,29.24,1.02
Ghana,women_folate,MRP (legacy),559,75,260,0.854,0.846,13.38,16.66,0.02
Ghana,women_folate,MRP (harmonized),221,75,260,0.683,0.688,17.14,21.51,-0.21
Ghana,women_b12,National mean (null),0,75,75,NA,NA,11.63,16.44,-1.03
Ghana,women_b12,MRP (legacy),559,75,260,0.759,0.55,8.42,11.7,-1.14
Ghana,women_b12,MRP (harmonized),221,75,260,0.738,0.552,7.83,11.84,-1.33
SierraLeone,child_vitA,National mean (null),0,14,14,NA,NA,4.63,5.71,0.97
SierraLeone,child_vitA,MRP (legacy),543,14,14,0.187,0.169,4.82,5.82,1.32
SierraLeone,child_vitA,MRP (harmonized),221,14,14,0.466,0.433,4.25,5.08,1.01
SierraLeone,women_vitA,National mean (null),0,14,14,NA,NA,1.26,1.54,0.19
SierraLeone,women_vitA,MRP (legacy),543,14,14,0.816,0.702,0.79,0.94,0.34
SierraLeone,women_vitA,MRP (harmonized),221,14,14,0.774,0.716,0.92,1.04,0.39
SierraLeone,child_iron,National mean (null),0,14,14,NA,NA,3.8,4.69,-0.69
SierraLeone,child_iron,MRP (legacy),543,14,14,0.643,0.692,2.66,3.58,-0.24
SierraLeone,child_iron,MRP (harmonized),221,14,14,0.739,0.727,2.29,3.22,-0.18
SierraLeone,women_iron,National mean (null),0,14,14,NA,NA,5.08,6.66,0.47
SierraLeone,women_iron,MRP (legacy),543,14,14,0.703,0.574,3.92,4.73,0.3
SierraLeone,women_iron,MRP (harmonized),221,14,14,0.773,0.574,3.63,4.23,0.28
SierraLeone,women_folate,National mean (null),0,14,14,NA,NA,8.85,10.33,-1.53
SierraLeone,women_folate,MRP (legacy),543,14,14,0.895,0.943,3.76,4.78,-0.28
SierraLeone,women_folate,MRP (harmonized),221,14,14,0.831,0.881,4.06,5.79,-0.96
SierraLeone,women_b12,National mean (null),0,14,14,NA,NA,0.68,0.71,0.19
SierraLeone,women_b12,MRP (legacy),543,14,14,0.746,0.76,0.23,0.48,-0
SierraLeone,women_b12,MRP (harmonized),221,14,14,0.72,0.76,0.26,0.56,0
Malawi,child_vitA,National mean (null),0,87,87,NA,NA,8.47,11.01,0.5
Malawi,women_vitA,National mean (null),0,87,87,NA,NA,2.59,4.57,-0.29
Malawi,child_iron,National mean (null),0,87,87,NA,NA,11.58,15.01,0.13
Malawi,women_iron,National mean (null),0,87,87,NA,NA,13.47,16.88,0.38
Malawi,women_folate,National mean (null),0,87,87,NA,NA,17.23,20.91,-0.27
Malawi,women_b12,National mean (null),0,87,87,NA,NA,4.5,5.99,-0.22
Malawi,child_zinc,National mean (null),0,87,87,NA,NA,19.82,23.84,1.35
Malawi,women_zinc,National mean (null),0,87,87,NA,NA,22.69,25.85,-1.98
