country,outcome,n_areas,variable,r,p_naive,p_block,q_within_naive,q_within_block,q_global_naive,q_global_block
Gambia,child_vitA,30,access_healthcare_min,-0.0111,0.9536307993233009,0.954,0.9733610917230934,0.9914463667820068,0.9872621973757985,0.9946017023774582
Gambia,child_vitA,30,aod_t0,-0.2503,0.18223764588512592,0.475,0.39373973125545453,0.9478469945355191,0.5367397331542016,0.9116831264853446
Gambia,child_vitA,30,ntl_ccnl,-0.0118,0.9504445871515899,0.905,0.9733610917230934,0.9820361010830326,0.9869940641389651,0.9886390896509304
Gambia,child_vitA,30,evi_t0,-0.0748,0.6945686793622392,0.517,0.8785996969710376,0.9478469945355191,0.9001955615698464,0.9274666666666667
Gambia,child_vitA,30,elevation,0.2705,0.14823378655733765,0.396,0.347024987426672,0.9478469945355191,0.4920195309062238,0.8905299145299145
Gambia,child_vitA,30,ndvi_anomaly_t0,0.1272,0.5028287789183011,0.789,0.7260357002917909,0.9819116465863452,0.804059251482914,0.9670559006211181
Gambia,child_vitA,30,built_surface,-0.0256,0.8933517495437981,0.914,0.9611597093460208,0.9820361010830326,0.9683202363074674,0.9907527405602924
Gambia,child_vitA,30,built_surface_nres,-0.0441,0.8170965705967972,0.408,0.9247365811394738,0.9478469945355191,0.9403140010718143,0.8935582712369596
Gambia,child_vitA,30,ghs_pop,-0.0144,0.9399786408794328,0.94,0.9694553229976032,0.9914463667820068,0.9838347585121597,0.9938621818723024
Gambia,child_vitA,30,human_modification,-0.1986,0.29270364453439496,0.705,0.5219293902541018,0.9765357142857143,0.6608684818393545,0.952876712328767
Gambia,child_vitA,30,grassland_frac,0.2169,0.24960259780287125,0.381,0.4766604448364509,0.9478469945355191,0.6174014118355144,0.8871313987610042
Gambia,child_vitA,30,lai_t0,-0.2397,0.20201754724652318,0.408,0.421106999894161,0.9478469945355191,0.564561805655977,0.8935582712369596
Gambia,child_vitA,30,lcover_bare_frac_t0,-0.0506,0.7906548573134811,0.765,0.9213930620661038,0.9819116465863452,0.935592748696738,0.9650196078431372
Gambia,child_vitA,30,lcover_urban_frac_t0,-0.0251,0.8951196099425974,0.901,0.9611597093460208,0.9820361010830326,0.9683222370493958,0.9884586732338002
Gambia,child_vitA,30,lcover_crops_frac_t0,0.1307,0.4913302900737022,0.525,0.7129106169696855,0.9478469945355191,0.7963519006807165,0.9305389221556887
Gambia,child_vitA,30,lcover_grass_frac_t0,0.1855,0.32651716234994754,0.826,0.5586652026334362,0.9819116465863452,0.6880978704639654,0.9758696158323632
Gambia,child_vitA,30,lcover_water_permanent_frac_t0,-0.2172,0.24884893517270434,0.404,0.4766604448364509,0.9478469945355191,0.6167210596306738,0.8935155279503106
Gambia,child_vitA,30,lcover_water_seasonal_frac_t0,-0.1527,0.4204525974829324,0.57,0.6562407066288694,0.9478469945355191,0.7512004625147052,0.9402112059026977
Gambia,child_vitA,30,lcover_shrub_frac_t0,0.1145,0.5467190693267392,0.586,0.7706135453367372,0.9478469945355191,0.8312655082531992,0.9406544806063307
Gambia,child_vitA,30,lcover_tree_frac_t0,-0.3816,0.03747482536476523,0.321,0.15406317094403482,0.9478469945355191,0.25647510538660134,0.8785960665658095
Gambia,child_vitA,30,lst_night_m01_t0,0.3985,0.029164782404652412,0.245,0.13923831599640507,0.9478469945355191,0.22135322030197727,0.8650497017892643
Gambia,child_vitA,30,lst_night_m02_t0,0.4663,0.009402978113454148,0.435,0.0709856727235868,0.9478469945355191,0.11781085805639906,0.8972393063583814
Gambia,child_vitA,30,lst_night_m03_t0,0.5268,0.002784775918648063,0.448,0.05545630344945143,0.9478469945355191,0.0583100669308483,0.9005636672325976
Gambia,child_vitA,30,lst_night_m04_t0,0.5365,0.002242575898808791,0.501,0.05545630344945143,0.9478469945355191,0.05089859164580719,0.918715539494063
Gambia,child_vitA,30,lst_night_m05_t0,0.4934,0.005596633229490952,0.614,0.05545630344945143,0.952938775510204,0.08676356512912246,0.941882098898726
Gambia,child_vitA,30,lst_night_m06_t0,0.5647,0.0011515014346407263,0.484,0.05545630344945143,0.9478469945355191,0.03466214488003271,0.9116831264853446
Gambia,child_vitA,30,lst_night_m07_t0,0.6202,2.5652217236503427e-4,0.054,0.037965281510025074,0.9478469945355191,0.012655093836675025,0.6724956970740104
Gambia,child_vitA,30,lst_night_m08_t0,0.3723,0.042791873532075954,0.462,0.16449863072070756,0.9478469945355191,0.27233200619083586,0.907352275862069
Gambia,child_vitA,30,lst_night_m09_t0,-0.2249,0.23204311827072674,0.43,0.4640862365414535,0.9478469945355191,0.601838011024185,0.8971063580427776
Gambia,child_vitA,30,lst_night_m10_t0,-0.0452,0.8124814203170705,0.624,0.9247365811394738,0.952938775510204,0.9388204310234985,0.9436166456494325
Gambia,child_vitA,30,lst_night_m11_t0,-0.0832,0.6620279297624438,0.487,0.8551241645102912,0.9478469945355191,0.8859175425714824,0.9118232509205682
Gambia,child_vitA,30,lst_night_m12_t0,0.473,0.008295777004846029,0.192,0.0709856727235868,0.9478469945355191,0.1091355552637522,0.8393649230769231
Gambia,child_vitA,30,lst_night_annual_mean_t0,0.5491,0.0016760675892172458,0.418,0.05545630344945143,0.9478469945355191,0.04163211242587173,0.8935582712369596
Gambia,child_vitA,30,lst_night_annual_sd_t0,0.4186,0.021321233555674612,0.716,0.11377088746174578,0.9765357142857143,0.18862520943899433,0.9554620146314012
Gambia,child_vitA,30,lst_night_annual_min_t0,0.5162,0.0034996703979088043,0.183,0.05545630344945143,0.9478469945355191,0.06698653356086018,0.8381123595505618
Gambia,child_vitA,30,lst_night_annual_max_t0,0.465,0.009625447947536902,0.475,0.0709856727235868,0.9478469945355191,0.11926369806062445,0.9116831264853446
Gambia,child_vitA,30,lst_night_annual_range_t0,0.2762,0.13951724345204622,0.823,0.34129838067608,0.9819116465863452,0.476963665776389,0.9758696158323632
Gambia,child_vitA,30,ndvi_y2011,-0.0634,0.7393662260373788,0.57,0.9081012568757848,0.9478469945355191,0.9197095791156661,0.9402112059026977
Gambia,child_vitA,30,ndvi_y2012,-0.0124,0.9480721014970769,0.965,0.9733610917230934,0.9914463667820068,0.9869575494383933,0.9948686459087618
Gambia,child_vitA,30,ndvi_y2013,0.0437,0.8185168387112909,0.955,0.9247365811394738,0.9914463667820068,0.9403457428871889,0.9948686459087618
Gambia,child_vitA,30,ndvi_y2014,-0.0585,0.7588542787567781,0.622,0.9205773217705178,0.952938775510204,0.9265900303004729,0.9436166456494325
Gambia,child_vitA,30,ndvi_y2015,0.0077,0.967678941911678,0.988,0.9816015529448919,0.993,0.9922784783476016,0.9979741219963032
Gambia,child_vitA,30,ndvi_y2016,-0.0485,0.7990337238555674,0.572,0.9227456415750682,0.9478469945355191,0.9374625225879356,0.9402112059026977
Gambia,child_vitA,30,ndvi_y2017,-0.0561,0.7682784791656667,0.676,0.9213930620661038,0.9760780487804879,0.9285216597470051,0.9489755327545383
