outcome,held_out,anchor,tilt,n,anchor_pp,anchor_err_pp,mae_pp,bias_pp
child_vitA,Gambia,true,0,30,19.78,0,10.79,1.03
child_vitA,Gambia,true,0.2,30,19.78,0,11.15,1.03
child_vitA,Gambia,true,0.35,30,19.78,0,11.53,1.03
child_vitA,Gambia,blind,0,30,12.09,-7.69,11.37,-6.66
child_vitA,Gambia,blind,0.2,30,12.09,-7.69,11.88,-6.66
child_vitA,Gambia,blind,0.35,30,12.09,-7.69,12.48,-6.66
child_vitA,Gambia,model,0,30,20.75,0.98,10.85,2
child_vitA,Gambia,model,0.2,30,20.75,0.98,11.21,2
child_vitA,Gambia,model,0.35,30,20.75,0.98,11.53,2
child_vitA,Ghana,true,0,75,14.93,0,9.59,1.4
child_vitA,Ghana,true,0.2,75,14.93,0,8.95,1.4
child_vitA,Ghana,true,0.35,75,14.93,0,8.77,1.4
child_vitA,Ghana,blind,0,75,13.8,-1.13,9.51,0.27
child_vitA,Ghana,blind,0.2,75,13.8,-1.13,8.85,0.27
child_vitA,Ghana,blind,0.35,75,13.8,-1.13,8.66,0.27
child_vitA,Ghana,model,0,75,20.84,5.91,11.64,7.31
child_vitA,Ghana,model,0.2,75,20.84,5.91,11.26,7.31
child_vitA,Ghana,model,0.35,75,20.84,5.91,11.07,7.31
child_vitA,SierraLeone,true,0,14,12.19,0,4.63,0.97
child_vitA,SierraLeone,true,0.2,14,12.19,0,5.11,0.97
child_vitA,SierraLeone,true,0.35,14,12.19,0,6.06,0.97
child_vitA,SierraLeone,blind,0,14,14.43,2.25,5.29,3.21
child_vitA,SierraLeone,blind,0.2,14,14.43,2.25,5.93,3.21
child_vitA,SierraLeone,blind,0.35,14,14.43,2.25,6.7,3.21
child_vitA,SierraLeone,model,0,14,43.16,30.98,31.95,31.95
child_vitA,SierraLeone,model,0.2,14,43.16,30.98,31.95,31.95
child_vitA,SierraLeone,model,0.35,14,43.16,30.98,31.95,31.95
child_vitA,Malawi,true,0,87,9.18,0,8.47,0.5
child_vitA,Malawi,true,0.2,87,9.18,0,8.64,0.5
child_vitA,Malawi,true,0.35,87,9.18,0,8.88,0.5
child_vitA,Malawi,blind,0,87,16.28,7.1,11.62,7.6
child_vitA,Malawi,blind,0.2,87,16.28,7.1,11.63,7.6
child_vitA,Malawi,blind,0.35,87,16.28,7.1,11.7,7.6
child_vitA,Malawi,model,0,87,29.94,20.76,22.47,21.26
child_vitA,Malawi,model,0.2,87,29.94,20.76,22.5,21.26
child_vitA,Malawi,model,0.35,87,29.94,20.76,22.52,21.26
women_vitA,Gambia,true,0,30,2.5,0,3.59,-0.99
women_vitA,Gambia,true,0.2,30,2.5,0,3.45,-0.99
women_vitA,Gambia,true,0.35,30,2.5,0,3.4,-0.99
women_vitA,Gambia,blind,0,30,1.44,-1.06,3.43,-2.05
women_vitA,Gambia,blind,0.2,30,1.44,-1.06,3.29,-2.05
women_vitA,Gambia,blind,0.35,30,1.44,-1.06,3.25,-1.98
women_vitA,Gambia,model,0,30,6.49,3.99,5.15,3
women_vitA,Gambia,model,0.2,30,6.49,3.99,5.02,3
women_vitA,Gambia,model,0.35,30,6.49,3.99,4.97,3
women_vitA,Ghana,true,0,75,1.51,0,2.64,-0.1
women_vitA,Ghana,true,0.2,75,1.51,0,2.53,-0.1
women_vitA,Ghana,true,0.35,75,1.51,0,2.46,-0.1
women_vitA,Ghana,blind,0,75,1.91,0.4,2.92,0.3
women_vitA,Ghana,blind,0.2,75,1.91,0.4,2.81,0.3
women_vitA,Ghana,blind,0.35,75,1.91,0.4,2.72,0.3
women_vitA,Ghana,model,0,75,6.18,4.66,5.92,4.56
women_vitA,Ghana,model,0.2,75,6.18,4.66,5.82,4.56
women_vitA,Ghana,model,0.35,75,6.18,4.66,5.74,4.56
women_vitA,SierraLeone,true,0,14,1.49,0,1.26,0.19
women_vitA,SierraLeone,true,0.2,14,1.49,0,1.72,0.19
women_vitA,SierraLeone,true,0.35,14,1.49,0,2.01,0.28
women_vitA,SierraLeone,blind,0,14,1.89,0.4,1.43,0.6
women_vitA,SierraLeone,blind,0.2,14,1.89,0.4,1.84,0.6
women_vitA,SierraLeone,blind,0.35,14,1.89,0.4,2.18,0.63
women_vitA,SierraLeone,model,0,14,7.54,6.05,6.25,6.25
women_vitA,SierraLeone,model,0.2,14,7.54,6.05,6.25,6.25
women_vitA,SierraLeone,model,0.35,14,7.54,6.05,6.25,6.25
women_vitA,Malawi,true,0,87,1.32,0,2.59,-0.29
women_vitA,Malawi,true,0.2,87,1.32,0,2.5,-0.29
women_vitA,Malawi,true,0.35,87,1.32,0,2.49,-0.22
women_vitA,Malawi,blind,0,87,1.95,0.63,3.06,0.34
women_vitA,Malawi,blind,0.2,87,1.95,0.63,2.97,0.34
women_vitA,Malawi,blind,0.35,87,1.95,0.63,2.9,0.35
women_vitA,Malawi,model,0,87,7.54,6.22,7.26,5.94
women_vitA,Malawi,model,0.2,87,7.54,6.22,7.16,5.94
women_vitA,Malawi,model,0.35,87,7.54,6.22,7.08,5.94
women_folate,Ghana,true,0,75,54.65,0,24.92,1.02
women_folate,Ghana,true,0.2,75,54.65,0,25.34,1.02
women_folate,Ghana,true,0.35,75,54.65,0,25.76,1.02
women_folate,Ghana,blind,0,75,48.57,-6.08,25.85,-5.06
women_folate,Ghana,blind,0.2,75,48.57,-6.08,26.16,-5.06
women_folate,Ghana,blind,0.35,75,48.57,-6.08,26.42,-5.06
women_folate,Ghana,model,0,75,27.23,-27.43,33.2,-26.4
women_folate,Ghana,model,0.2,75,27.23,-27.43,33.52,-26.4
women_folate,Ghana,model,0.35,75,27.23,-27.43,33.8,-26.4
women_folate,SierraLeone,true,0,14,79.24,0,8.85,-1.53
women_folate,SierraLeone,true,0.2,14,79.24,0,9.72,-1.53
women_folate,SierraLeone,true,0.35,14,79.24,0,11.22,-1.53
women_folate,SierraLeone,blind,0,14,32.76,-46.48,48.02,-48.02
women_folate,SierraLeone,blind,0.2,14,32.76,-46.48,48.02,-48.02
women_folate,SierraLeone,blind,0.35,14,32.76,-46.48,48.02,-48.02
women_folate,SierraLeone,model,0,14,27.84,-51.4,52.93,-52.93
women_folate,SierraLeone,model,0.2,14,27.84,-51.4,52.93,-52.93
women_folate,SierraLeone,model,0.35,14,27.84,-51.4,52.93,-52.93
women_folate,Malawi,true,0,87,20.2,0,17.23,-0.27
women_folate,Malawi,true,0.2,87,20.2,0,18.35,-0.27
women_folate,Malawi,true,0.35,87,20.2,0,19.28,-0.27
women_folate,Malawi,blind,0,87,69.83,49.63,50.06,49.36
women_folate,Malawi,blind,0.2,87,69.83,49.63,50.19,49.36
women_folate,Malawi,blind,0.35,87,69.83,49.63,50.41,49.36
women_folate,Malawi,model,0,87,45.7,25.51,28.6,25.23
women_folate,Malawi,model,0.2,87,45.7,25.51,29.55,25.23
women_folate,Malawi,model,0.35,87,45.7,25.51,30.5,25.23
women_b12,Ghana,true,0,75,8.46,0,11.63,-1.03
women_b12,Ghana,true,0.2,75,8.46,0,11.57,-1.03
women_b12,Ghana,true,0.35,75,8.46,0,11.52,-1.03
women_b12,Ghana,blind,0,75,1.74,-6.71,9.93,-7.74
women_b12,Ghana,blind,0.2,75,1.74,-6.71,9.87,-7.74
women_b12,Ghana,blind,0.35,75,1.74,-6.71,9.82,-7.74
women_b12,Ghana,model,0,75,12.06,3.61,12.79,2.58
women_b12,Ghana,model,0.2,75,12.06,3.61,12.7,2.58
women_b12,Ghana,model,0.35,75,12.06,3.61,12.63,2.58
women_b12,SierraLeone,true,0,14,0.61,0,0.68,0.19
women_b12,SierraLeone,true,0.2,14,0.61,0,1.43,0.8
women_b12,SierraLeone,true,0.35,14,0.61,0,2.08,1.46
women_b12,SierraLeone,blind,0,14,4.83,4.22,4.41,4.41
women_b12,SierraLeone,blind,0.2,14,4.83,4.22,4.41,4.41
women_b12,SierraLeone,blind,0.35,14,4.83,4.22,4.45,4.42
women_b12,SierraLeone,model,0,14,13.28,12.67,12.86,12.86
women_b12,SierraLeone,model,0.2,14,13.28,12.67,12.86,12.86
women_b12,SierraLeone,model,0.35,14,13.28,12.67,12.86,12.86
women_b12,Malawi,true,0,87,2.78,0,4.5,-0.22
women_b12,Malawi,true,0.2,87,2.78,0,4.65,-0.22
women_b12,Malawi,true,0.35,87,2.78,0,4.79,-0.13
women_b12,Malawi,blind,0,87,3.6,0.82,4.94,0.6
