recode,tag,column,class,population,matched_rows,population_rows,match_rate,complete_in_matched,complete_in_pop,n_levels
MWHR7ADT,hh,gw_hv010,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hv012,questionnaire,all,3097,3099,0.9994,1,0.9994,15
MWHR7ADT,hh,gw_hv013,questionnaire,all,3097,3099,0.9994,1,0.9994,14
MWHR7ADT,hh,gw_hv014,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hv017,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWHR7ADT,hh,gw_hv045a,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv045b,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWHR7ADT,hh,gw_hv045c,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWHR7ADT,hh,gw_hv046,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv201,questionnaire,all,3097,3099,0.9994,1,0.9994,12
MWHR7ADT,hh,gw_hv205,questionnaire,all,3097,3099,0.9994,1,0.9994,11
MWHR7ADT,hh,gw_hv206,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv207,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv208,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv209,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv210,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv211,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv212,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv213,questionnaire,all,3097,3099,0.9994,1,0.9994,6
MWHR7ADT,hh,gw_hv214,questionnaire,all,3097,3099,0.9994,1,0.9994,13
MWHR7ADT,hh,gw_hv215,questionnaire,all,3097,3099,0.9994,1,0.9994,9
MWHR7ADT,hh,gw_hv216,questionnaire,all,3097,3099,0.9994,1,0.9994,9
MWHR7ADT,hh,gw_hv217,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hv219,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv221,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv225,questionnaire,all,3097,3099,0.9994,0.9506,0.95,2
MWHR7ADT,hh,gw_hv226,questionnaire,all,3097,3099,0.9994,1,0.9994,6
MWHR7ADT,hh,gw_hv227,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv230a,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hv230b,questionnaire,all,3097,3099,0.9994,0.8411,0.8406,2
MWHR7ADT,hh,gw_hv232,questionnaire,all,3097,3099,0.9994,0.8411,0.8406,2
MWHR7ADT,hh,gw_hv232b,questionnaire,all,3097,3099,0.9994,0.8411,0.8406,2
MWHR7ADT,hh,gw_hv232y,questionnaire,all,3097,3099,0.9994,0.8411,0.8406,2
MWHR7ADT,hh,gw_hv234a,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWHR7ADT,hh,gw_hv235,questionnaire,all,3097,3099,0.9994,0.8815,0.8809,3
MWHR7ADT,hh,gw_hv237,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv237a,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv237b,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv237c,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv237d,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv237e,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv237f,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv237x,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv237z,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv238a,questionnaire,all,3097,3099,0.9994,0.9506,0.95,3
MWHR7ADT,hh,gw_hv241,questionnaire,all,3097,3099,0.9994,0.999,0.9984,3
MWHR7ADT,hh,gw_hv243a,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv243b,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv243c,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv243d,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv243e,questionnaire,all,3097,3099,0.9994,1,0.9994,2
