predictor,family,cellset,z,tau,k_countries,z_undisattenuated,n_cells,n_positive,p_analytic,z_gambia,z_ghana,z_sierraleone,z_malawi,p_perm,p_perm_fwer,q_analytic,q_perm,n_permutations
soil_zinc_stdev_0_20,marginal,shared,-5.679,0.0318,4,-3.5114,16,5,1.35477673502624e-8,-0.1447,-0.2254,-0.0562,-0.2947,0.041916167664670656,0.08183632734530938,3.928852531576096e-7,0.40518962075848297,500
spam_share_roots,marginal,shared,-3.4255,0.2678,4,-3.3692,16,1,6.135714006392546e-4,-0.3559,-0.4437,-1.1021,-0.1619,0.20958083832335328,0.5868263473053892,0.008896785309269191,0.6608449767132402,500
soilgrids_ph,marginal,shared,3.1754,0.2852,4,2.2607,16,13,0.0014963783578812722,0.7764,0.5263,0.4971,0.1331,0.017964071856287425,0.7644710578842315,0.014464990792852296,0.3473053892215569,500
dhs_w_anc1,marginal,shared,2.7921,0.0315,4,1.5787,16,10,0.005237414847326822,0.15,0.044,0.3238,0.1236,0.023952095808383235,0.9500998003992016,0.037971257643119455,0.3473053892215569,500
np_vita_capsule,marginal,shared,-2.5862,0.0598,4,-2.0766,16,3,0.009704661600990665,-0.1987,-0.2028,0.0397,-0.0631,0.14570858283433133,0.9900199600798403,0.056287037285745856,0.6608449767132402,500
soil_zinc_mean_20_50,marginal,shared,-2.3616,0.5583,4,-1.7141,16,3,0.018197075723394317,-1.3896,-0.5395,-0.7364,-0.0291,0.17365269461077845,1,0.07682812417451627,0.6608449767132402,500
soilgrids_organic_carbon,marginal,shared,-2.2833,0.3803,4,-2.0775,16,2,0.022414554831002378,-1.1238,-0.4728,0.0783,-0.2385,0.32335329341317365,1,0.07682812417451627,0.7213265776140028,500
spam_share_oilcrops,marginal,shared,-2.2798,0.0623,4,-0.9737,16,7,0.022618195305394655,-0.2397,-0.087,-0.2752,-0.0338,0.18562874251497005,1,0.07682812417451627,0.6608449767132402,500
spam_share_cereals,marginal,shared,2.2596,0.45,4,2.2125,16,15,0.023843210950711947,0.2528,0.8457,0.931,0.0794,0.564870259481038,1,0.07682812417451627,0.9636022073500059,500
soil_zinc_mean_0_20,marginal,shared,-2.18,0.5401,4,-1.6432,16,4,0.029255639715206748,-1.3385,-0.5775,-0.4584,-0.0246,0.26746506986027946,1,0.08484135517409956,0.6608449767132402,500
spam_prod_pulses,marginal,shared,2.1107,0.3214,4,1.894,16,12,0.03479463857272804,0.1272,0.5677,0.7316,0.0362,0.13972055888223553,1,0.09173131987355575,0.6608449767132402,500
soil_zinc_stdev_20_50,marginal,shared,-2.006,0.1922,4,-1.9389,16,5,0.044860938803554476,0.1227,-0.2067,-0.6925,-0.1906,0.1536926147704591,1,0.1084139354419233,0.6608449767132402,500
spam_share_pulses,marginal,shared,1.6031,0.3596,4,1.4967,16,10,0.10891322350417353,-0.0653,0.6469,0.5517,0.0777,0.27345309381237526,1,0.2429602678170025,0.6608449767132402,500
np_child_hb_gdl,marginal,shared,-1.4913,0.3896,4,-1.8534,16,4,0.13588776457175022,-0.8254,-0.4963,0.1579,-0.0025,0.6766467065868264,1,0.28148179804148266,0.969560878243513,500
soilgrids_cec,marginal,shared,-1.3225,0.4572,4,-1.3162,16,5,0.18600622274487175,-0.8759,-0.4965,0.0306,0.1181,0.23353293413173654,1,0.3596120306400854,0.6608449767132402,500
soilgrids_clay,marginal,shared,-1.0175,0.2219,4,-1.2804,16,6,0.3088964024789077,-0.1876,-0.0766,-0.5188,0.1779,0.3932135728542914,1,0.5598747294930202,0.8145138294838895,500
spam_share_vegetables,marginal,shared,0.876,0.2448,4,0.0889,16,8,0.3810503243353115,-0.2857,0.2495,0.5437,0.0189,0.5449101796407185,1,0.6500270238661195,0.9636022073500059,500
spam_prod_vegetables,marginal,shared,0.785,0.1283,4,0.6478,16,7,0.43245998046612644,-0.1282,0.1344,0.3634,-0.0179,0.5469061876247505,1,0.6767091561859392,0.9636022073500059,500
np_women_hb_gdl,marginal,shared,-0.7665,0.3738,4,-1.4171,16,4,0.44336117129423597,-0.7792,-0.2925,0.6797,-0.1262,0.6367265469061876,1,0.6767091561859392,0.969560878243513,500
