predictor,family,cellset,z,tau,k_countries,z_undisattenuated,n_cells,n_positive,p_analytic,z_gambia,z_ghana,z_sierraleone,z_malawi,p_perm,p_perm_fwer,q_analytic,q_perm,n_permutations
soil_totalcarbon_mean_20_50,marginal,shared,-7.6595,0.0325,4,-3.5335,4,0,1.8664828994903758e-14,-0.5852,-0.6702,-0.8539,-0.4355,0.058823529411764705,0.19607843137254902,5.244816947567956e-12,0.895343137254902,50
soil_totalcarbon_mean_0_20,marginal,shared,-5.7248,0.1502,4,-3.4671,4,0,1.0353955594995991e-8,-0.6672,-0.6812,-1.0942,-0.4246,0.0784313725490196,0.5490196078431373,1.4547307610969367e-6,0.895343137254902,50
dhs_hh_handwash_facility,marginal,shared,4.5064,0.0387,3,2.1884,3,3,6.594264884717976e-6,0.2718,NA,0.1683,0.5184,0.0196078431372549,0.9019607843137255,6.176628108685838e-4,0.895343137254902,50
soil_aluminium_mean_20_50,marginal,shared,-4.3413,0.0602,4,-2.9399,4,0,1.416568379996496e-5,-0.5444,-0.3647,-0.6223,-0.2104,0.0196078431372549,0.9215686274509803,9.951392869475383e-4,0.895343137254902,50
soil_zinc_stdev_0_20,marginal,shared,-3.8811,0.0882,4,-3.1922,4,1,1.0396926004683082e-4,-0.295,-0.45,0.1864,-0.3678,0.09803921568627451,1,0.0058430724146318926,0.895343137254902,50
soil_calcium_mean_20_50,marginal,shared,3.6656,0,4,2.3935,4,4,2.46717306524697e-4,0.5029,0.2854,0.2602,0.1675,0.0784313725490196,1,0.011554593855573309,0.895343137254902,50
soil_calcium_stdev_20_50,marginal,shared,-3.4938,0.5753,4,-4.1299,4,0,4.761546916985006e-4,-0.6926,-0.654,-2.6467,-0.5092,0.09803921568627451,1,0.019114209766754098,0.895343137254902,50
soil_calcium_stdev_0_20,marginal,shared,-3.287,0.6072,4,-3.2931,4,0,0.0010125545223400017,-0.6287,-0.7561,-2.6467,-0.3989,0.17647058823529413,1,0.03519672036425655,0.895343137254902,50
soil_sulfur_mean_20_50,marginal,shared,-3.2567,0.2503,4,-2.0488,4,0,0.0011272970935171137,-0.0867,-0.8076,-0.5263,-0.4855,0.11764705882352941,1,0.03519672036425655,0.895343137254902,50
soil_magnesium_mean_20_50,marginal,shared,3.1584,0.0286,4,2.0785,4,4,0.0015865721659060002,0.4962,0.2341,0.3766,0.1235,0.1568627450980392,1,0.04061962694774586,0.895343137254902,50
aef_A50,marginal,shared,3.1577,0.5065,4,2.7136,4,4,0.001590092158096813,0.445,0.7437,2.1625,0.3225,0.43137254901960786,1,0.04061962694774586,0.895343137254902,50
soil_aluminium_stdev_0_20,marginal,shared,2.9876,0.6498,4,3.0429,4,4,0.002811550416887382,0.8214,0.5412,2.6467,0.2761,0.27450980392156865,1,0.06583713892877953,0.895343137254902,50
aef_A06,marginal,shared,-2.7861,0.7083,4,-2.6806,4,0,0.005334455908520857,-0.8933,-0.6239,-2.6467,-0.1334,0.6470588235294118,1,0.10378542872609343,0.9273927392739273,50
soil_magnesium_stdev_20_50,marginal,shared,-2.7805,0.6458,4,-3.0541,4,0,0.005427346642020425,-0.4969,-0.5845,-2.6467,-0.2563,0.27450980392156865,1,0.10378542872609343,0.895343137254902,50
lst_night_m04_t0,marginal,shared,2.7738,0.392,4,2.1459,4,4,0.005540147440894667,0.8053,0.5896,1.1446,0.0649,0.37254901960784315,1,0.10378542872609343,0.895343137254902,50
soil_magnesium_stdev_0_20,marginal,shared,-2.7389,0.6625,4,-2.7011,4,0,0.006163969148654125,-0.4791,-0.6597,-2.6467,-0.2193,0.29411764705882354,1,0.10825470817323807,0.895343137254902,50
aef_A54,marginal,shared,-2.7044,0.6572,4,-2.7454,4,0,0.006842840276247221,-0.3897,-0.651,-2.6467,-0.2441,0.8235294117647058,1,0.10851672099286865,0.972318339100346,50
soil_aluminium_stdev_20_50,marginal,shared,2.6992,0.4783,4,2.0479,4,4,0.006951249031571657,0.9215,0.7114,1.2599,0.0416,0.17647058823529413,1,0.10851672099286865,0.895343137254902,50
aef_A53,marginal,shared,-2.666,0.6377,4,-2.9235,4,0,0.007675088779117156,-0.1952,-0.5734,-2.6467,-0.3721,0.47058823529411764,1,0.11351052352273268,0.895343137254902,50
soil_zinc_mean_20_50,marginal,shared,-2.6204,0.3726,4,-2.1412,4,0,0.008783645200859181,-1.0153,-0.7032,-0.279,-0.1562,0.09803921568627451,1,0.11431829620726625,0.895343137254902,50
dhs_c_severely_stunted,marginal,shared,-2.6071,0,3,-1.1658,3,0,0.009129979658776948,-0.06,NA,-0.1146,-0.3085,0.0392156862745098,1,0.11431829620726625,0.895343137254902,50
dhs_CH_VACC_C_DP1,marginal,shared,-2.5881,0.0213,3,-1.3813,3,1,0.009649586633850587,-0.2542,NA,0.1683,-0.2872,0.5098039215686274,1,0.11431829620726625,0.895343137254902,50
soil_cec_stdev_0_20,marginal,shared,-2.5643,0.6647,4,-3.0981,4,0,0.01033735818454924,-0.6008,-0.2993,-2.6467,-0.2436,0.23529411764705882,1,0.11431829620726625,0.895343137254902,50
aef_A30,marginal,shared,-2.5579,0.8129,4,-2.0398,4,0,0.010529444337043909,-1.3262,-0.4259,-2.6467,-0.0483,0.35294117647058826,1,0.11431829620726625,0.895343137254902,50
aef_A36,marginal,shared,-2.5506,0.5606,4,-2.3589,4,0,0.010754282873303374,-0.5113,-0.501,-2.1625,-0.0988,0.21568627450980393,1,0.11431829620726625,0.895343137254902,50
tclim_tmmx_t0,marginal,shared,2.5309,0.7266,4,1.837,4,3,0.011376514576568646,0.8921,0.9276,2.1625,-0.0267,0.8235294117647058,1,0.11431829620726625,0.972318339100346,50
tclim_vpd_t0,marginal,shared,2.5185,0.835,4,1.9851,4,3,0.011785698108697343,1.0053,0.8689,2.6467,-0.0503,0.6274509803921569,1,0.11431829620726625,0.9273927392739273,50
soil_potassium_stdev_0_20,marginal,shared,-2.4908,0.3756,4,-1.7735,4,1,0.012747290886839879,0.0417,-0.6381,-1.4037,-0.3043,0.5490196078431373,1,0.11431829620726625,0.9021901158124069,50
aef_A49,marginal,shared,-2.4879,0.728,4,-2.1392,4,0,0.012850180143523782,-0.5562,-0.6892,-2.6467,-0.0538,0.3137254901960784,1,0.11431829620726625,0.895343137254902,50
soil_cec_stdev_20_50,marginal,shared,-2.4878,0.6696,4,-2.9488,4,0,0.01285253757970189,-0.5475,-0.3061,-2.6467,-0.2063,0.29411764705882354,1,0.11431829620726625,0.895343137254902,50
soilgrids_ph,region_partialed,shared,4.7507,0,3,2.2367,3,3,2.0270976607403877e-6,0.3347,NA,0.1503,0.4974,0.0196078431372549,0.39215686274509803,5.69614442668049e-4,0.994549444326467,50
soil_zinc_mean_0_20,region_partialed,shared,-4.072,0,4,-2.2233,4,0,4.661129688275588e-5,-0.3754,-0.1772,-0.6744,-0.3143,0.0196078431372549,0.6078431372549019,0.006548887212027201,0.994549444326467,50
dhs_hh_itn_any,region_partialed,shared,3.9314,0,3,1.7675,3,3,8.445082295118569e-5,0.2429,NA,0.5974,0.3606,0.0196078431372549,0.6862745098039216,0.007910227083094393,0.994549444326467,50
