"held_out","model_type","n_train","n_test","n_valid_vars","obs_prev","pred_prev","mae_pp","rmse_pp","pearson_r","mean_bias_pp","winner","outcome"
"Gambia","continuous",176,30,294,0.187537154205692,0.152421051893467,10.2,12.92,0.645,-3.51,"regr.ranger","child_vitA"
"Gambia","logit",176,30,294,0.187537154205692,0.0558813254987154,14.7,18.73,0.058,-13.17,"regr.ridge","child_vitA"
"Ghana","continuous",131,75,294,0.135284014936936,0.0958254295471327,9.47,12.18,0.361,-3.95,"regr.ridge","child_vitA"
"Ghana","logit",131,75,294,0.135284014936936,0.253797966559616,20.75,32.3,-0.117,11.85,"regr.ridge","child_vitA"
"SierraLeone","continuous",192,14,294,0.112174043377561,0.130181180835086,5.4,6.54,-0.5,1.8,"regr.ranger","child_vitA"
"SierraLeone","logit",192,14,294,0.112174043377561,0.0569964014867481,6.4,7.94,0.072,-5.52,"regr.ridge","child_vitA"
"Malawi","continuous",119,87,294,0.0867824004997812,0.172551151989535,12.38,14.02,-0.058,8.58,"regr.ranger","child_vitA"
"Malawi","logit",119,87,294,0.0867824004997812,0.0243928906558581,8.35,12.58,0.198,-6.24,"regr.ranger","child_vitA"
"Gambia","continuous",176,30,294,0.0349366310016231,0.0193750427620936,3.43,5.01,0.406,-1.56,"regr.elastic_net","women_vitA"
"Gambia","logit",176,30,294,0.0349366310016231,0.00723514825815169,3.43,5.54,0.242,-2.77,"regr.ranger","women_vitA"
"Ghana","continuous",131,75,294,0.0161620940300998,0.0110155737263056,2.21,4.12,0.198,-0.51,"regr.elastic_net","women_vitA"
"Ghana","logit",131,75,294,0.0161620940300998,0.00391333890666075,1.87,4.34,0.017,-1.22,"regr.ridge","women_vitA"
"SierraLeone","continuous",192,14,294,0.0129478109244971,0.00450630979866044,1.41,1.89,-0.235,-0.84,"regr.elastic_net","women_vitA"
"SierraLeone","logit",192,14,294,0.0129478109244971,0.000604628391017753,1.29,1.97,-0.259,-1.23,"regr.ridge","women_vitA"
"Malawi","continuous",119,87,294,0.0160280970625798,0.0198810701690039,3.08,4.58,0.045,0.39,"regr.elastic_net","women_vitA"
"Malawi","logit",119,87,294,0.0160280970625798,0.00799167090809325,2.19,4.61,0.254,-0.8,"regr.ranger","women_vitA"
"Gambia","continuous",176,30,294,0.638003095306347,0.292468723655869,34.55,37.03,0.572,-34.55,"regr.ranger","child_iron"
"Gambia","logit",176,30,294,0.638003095306347,0.281037955955791,35.7,37.76,0.593,-35.7,"regr.ridge","child_iron"
"Ghana","continuous",131,75,294,0.213365317777174,0.305685450516365,14.67,18.04,0.543,9.23,"regr.ranger","child_iron"
"Ghana","logit",131,75,294,0.213365317777174,0.139686263515197,13.15,17.24,0.533,-7.37,"regr.ranger","child_iron"
"SierraLeone","continuous",192,14,294,0.0593675285429916,0.299149956646178,23.98,26.31,-0.084,23.98,"regr.lasso","child_iron"
"SierraLeone","logit",192,14,294,0.0593675285429916,0.0986904532384077,5.85,7.77,0.039,3.93,"regr.ridge","child_iron"
"Malawi","continuous",119,87,294,0.203061113282234,0.0147159645982736,19.02,23.97,0.163,-18.83,"regr.lasso","child_iron"
"Malawi","logit",119,87,294,0.203061113282234,0.18244959490959,12.07,16.36,-0.076,-2.06,"regr.ridge","child_iron"
"Gambia","continuous",176,30,294,0.514561786071163,0.196355309046184,31.82,35.3,0.563,-31.82,"regr.ranger","women_iron"
"Gambia","logit",176,30,294,0.514561786071163,0.165622042999525,34.89,38.87,-0.044,-34.89,"regr.ridge","women_iron"
"Ghana","continuous",131,75,294,0.129769641094183,0.308648999929609,18.47,21.46,0.338,17.89,"regr.ranger","women_iron"
"Ghana","logit",131,75,294,0.129769641094183,0.251312222974579,16.32,19.82,0.279,12.15,"regr.ridge","women_iron"
"SierraLeone","continuous",192,14,294,0.174389054437979,0.189273255117284,13.02,16.41,-0.172,1.49,"regr.lasso","women_iron"
"SierraLeone","logit",192,14,294,0.174389054437979,0.0176984394611487,15.67,17.11,-0.125,-15.67,"regr.ranger","women_iron"
"Malawi","continuous",119,87,294,0.171392225867498,0.253406683470212,15.95,19,-0.029,8.2,"regr.ranger","women_iron"
"Malawi","logit",119,87,294,0.171392225867498,0.0738452598781477,14.27,19.52,0.032,-9.75,"regr.ranger","women_iron"
