Admin1,n_reps,boot_mean,ci_lo,ci_hi,outcome,model_type,obs_prevalence,pred_prevalence
Banjul,10,NA,NA,NA,child_vitA,binary_prob,0.13609467455621302,0.1505825323353039
Lower River,10,NA,NA,NA,child_vitA,binary_prob,0.23308270676691728,0.21747484315148655
Maccarthy Island,10,NA,NA,NA,child_vitA,binary_prob,0.37216828478964403,0.35986655876302776
North Bank,10,NA,NA,NA,child_vitA,binary_prob,0.1827956989247312,0.1781182100442686
Upper River,10,NA,NA,NA,child_vitA,binary_prob,0.3393939393939394,0.3223747235574941
Western,10,NA,NA,NA,child_vitA,binary_prob,0.15894039735099338,0.14958653692480345
