protocol,level,arm,country,outcome,n_areas,k_selected,lift,reach,random_reach
within_country_leave_one_unit_out,admin-2,covariates,Gambia,child_vitA,30,6,1.554,0.311,0.2
within_country_leave_one_unit_out,admin-2,spatial,Gambia,child_vitA,30,6,1.558,0.312,0.2
within_country_leave_one_unit_out,admin-2,covariates,Gambia,women_vitA,30,6,1.59,0.318,0.2
within_country_leave_one_unit_out,admin-2,spatial,Gambia,women_vitA,30,6,2.152,0.43,0.2
within_country_leave_one_unit_out,admin-2,covariates,Gambia,child_iron,30,6,1.238,0.248,0.2
within_country_leave_one_unit_out,admin-2,spatial,Gambia,child_iron,30,6,1.09,0.218,0.2
within_country_leave_one_unit_out,admin-2,covariates,Gambia,women_iron,30,6,1.106,0.221,0.2
within_country_leave_one_unit_out,admin-2,spatial,Gambia,women_iron,30,6,1.148,0.23,0.2
within_country_leave_one_unit_out,admin-2,covariates,Ghana,child_vitA,75,15,1.575,0.315,0.2
within_country_leave_one_unit_out,admin-2,spatial,Ghana,child_vitA,75,15,1.324,0.265,0.2
within_country_leave_one_unit_out,admin-2,covariates,Ghana,women_vitA,75,15,0.458,0.092,0.2
within_country_leave_one_unit_out,admin-2,spatial,Ghana,women_vitA,75,15,1.49,0.298,0.2
within_country_leave_one_unit_out,admin-2,covariates,Ghana,child_iron,75,15,1.757,0.351,0.2
within_country_leave_one_unit_out,admin-2,spatial,Ghana,child_iron,75,15,1.703,0.341,0.2
within_country_leave_one_unit_out,admin-2,covariates,Ghana,women_iron,75,15,1.641,0.328,0.2
within_country_leave_one_unit_out,admin-2,spatial,Ghana,women_iron,75,15,1.736,0.347,0.2
within_country_leave_one_unit_out,admin-2,covariates,Ghana,women_folate,75,15,1.322,0.264,0.2
within_country_leave_one_unit_out,admin-2,spatial,Ghana,women_folate,75,15,1.424,0.285,0.2
within_country_leave_one_unit_out,admin-2,covariates,Ghana,women_b12,75,15,1.829,0.366,0.2
within_country_leave_one_unit_out,admin-2,spatial,Ghana,women_b12,75,15,2.611,0.522,0.2
within_country_leave_one_unit_out,admin-2,covariates,SierraLeone,child_vitA,14,3,1.04,0.223,0.2
within_country_leave_one_unit_out,admin-2,spatial,SierraLeone,child_vitA,14,3,0.886,0.19,0.2
within_country_leave_one_unit_out,admin-2,covariates,SierraLeone,women_vitA,14,3,0.526,0.113,0.2
within_country_leave_one_unit_out,admin-2,spatial,SierraLeone,women_vitA,14,3,0.135,0.029,0.2
within_country_leave_one_unit_out,admin-2,covariates,SierraLeone,child_iron,14,3,1.419,0.304,0.2
within_country_leave_one_unit_out,admin-2,spatial,SierraLeone,child_iron,14,3,1.419,0.304,0.2
within_country_leave_one_unit_out,admin-2,covariates,SierraLeone,women_iron,14,3,1.189,0.255,0.2
within_country_leave_one_unit_out,admin-2,spatial,SierraLeone,women_iron,14,3,0.561,0.12,0.2
within_country_leave_one_unit_out,admin-2,covariates,SierraLeone,women_folate,14,3,0.885,0.19,0.2
within_country_leave_one_unit_out,admin-2,spatial,SierraLeone,women_folate,14,3,0.982,0.21,0.2
within_country_leave_one_unit_out,admin-2,covariates,SierraLeone,women_b12,14,3,1.017,0.218,0.2
within_country_leave_one_unit_out,admin-2,spatial,SierraLeone,women_b12,14,3,0,0,0.2
within_country_leave_one_unit_out,admin-2,covariates,Malawi,child_vitA,87,17,0.93,0.182,0.2
within_country_leave_one_unit_out,admin-2,spatial,Malawi,child_vitA,87,17,1.71,0.334,0.2
within_country_leave_one_unit_out,admin-2,covariates,Malawi,women_vitA,87,17,0.367,0.072,0.2
within_country_leave_one_unit_out,admin-2,spatial,Malawi,women_vitA,87,17,0.673,0.131,0.2
within_country_leave_one_unit_out,admin-2,covariates,Malawi,child_iron,87,17,1.698,0.332,0.2
within_country_leave_one_unit_out,admin-2,spatial,Malawi,child_iron,87,17,0.939,0.183,0.2
within_country_leave_one_unit_out,admin-2,covariates,Malawi,women_iron,87,17,1.19,0.232,0.2
within_country_leave_one_unit_out,admin-2,spatial,Malawi,women_iron,87,17,0.708,0.138,0.2
within_country_leave_one_unit_out,admin-2,covariates,Malawi,women_folate,87,17,1.931,0.377,0.2
within_country_leave_one_unit_out,admin-2,spatial,Malawi,women_folate,87,17,1.534,0.3,0.2
within_country_leave_one_unit_out,admin-2,covariates,Malawi,women_b12,87,17,1.36,0.266,0.2
within_country_leave_one_unit_out,admin-2,spatial,Malawi,women_b12,87,17,1.995,0.39,0.2
within_country_leave_one_unit_out,admin-2,covariates,Malawi,child_zinc,87,17,0.964,0.188,0.2
within_country_leave_one_unit_out,admin-2,spatial,Malawi,child_zinc,87,17,0.865,0.169,0.2
within_country_leave_one_unit_out,admin-2,covariates,Malawi,women_zinc,87,17,0.701,0.137,0.2
within_country_leave_one_unit_out,admin-2,spatial,Malawi,women_zinc,87,17,0.741,0.145,0.2
within_country_leave_one_unit_out,admin-1,covariates,Ghana,child_vitA,16,3,1.135,0.213,0.2
within_country_leave_one_unit_out,admin-1,spatial,Ghana,child_vitA,16,3,1.062,0.199,0.2
within_country_leave_one_unit_out,admin-1,covariates,Ghana,women_vitA,16,3,2.505,0.47,0.2
within_country_leave_one_unit_out,admin-1,spatial,Ghana,women_vitA,16,3,2.025,0.38,0.2
within_country_leave_one_unit_out,admin-1,covariates,Ghana,child_iron,16,3,1.208,0.227,0.2
within_country_leave_one_unit_out,admin-1,spatial,Ghana,child_iron,16,3,1.27,0.238,0.2
within_country_leave_one_unit_out,admin-1,covariates,Ghana,women_iron,16,3,1.873,0.351,0.2
within_country_leave_one_unit_out,admin-1,spatial,Ghana,women_iron,16,3,1.198,0.225,0.2
within_country_leave_one_unit_out,admin-1,covariates,Ghana,women_folate,16,3,1.086,0.204,0.2
within_country_leave_one_unit_out,admin-1,spatial,Ghana,women_folate,16,3,1.414,0.265,0.2
within_country_leave_one_unit_out,admin-1,covariates,Ghana,women_b12,16,3,2.434,0.456,0.2
within_country_leave_one_unit_out,admin-1,spatial,Ghana,women_b12,16,3,0.559,0.105,0.2
within_country_leave_one_unit_out,admin-1,covariates,Malawi,child_vitA,27,5,1.657,0.307,0.2
within_country_leave_one_unit_out,admin-1,spatial,Malawi,child_vitA,27,5,1.724,0.319,0.2
within_country_leave_one_unit_out,admin-1,covariates,Malawi,women_vitA,27,5,3.206,0.594,0.2
within_country_leave_one_unit_out,admin-1,spatial,Malawi,women_vitA,27,5,1.968,0.364,0.2
within_country_leave_one_unit_out,admin-1,covariates,Malawi,child_iron,27,5,1.515,0.281,0.2
within_country_leave_one_unit_out,admin-1,spatial,Malawi,child_iron,27,5,0.772,0.143,0.2
within_country_leave_one_unit_out,admin-1,covariates,Malawi,women_iron,27,5,1.32,0.244,0.2
within_country_leave_one_unit_out,admin-1,spatial,Malawi,women_iron,27,5,0.898,0.166,0.2
within_country_leave_one_unit_out,admin-1,covariates,Malawi,women_folate,27,5,1.899,0.352,0.2
within_country_leave_one_unit_out,admin-1,spatial,Malawi,women_folate,27,5,0.439,0.081,0.2
within_country_leave_one_unit_out,admin-1,covariates,Malawi,women_b12,27,5,3.54,0.656,0.2
within_country_leave_one_unit_out,admin-1,spatial,Malawi,women_b12,27,5,2.706,0.501,0.2
within_country_leave_one_unit_out,admin-1,covariates,Malawi,child_zinc,27,5,0.884,0.164,0.2
within_country_leave_one_unit_out,admin-1,spatial,Malawi,child_zinc,27,5,0.905,0.168,0.2
within_country_leave_one_unit_out,admin-1,covariates,Malawi,women_zinc,27,5,0.812,0.15,0.2
within_country_leave_one_unit_out,admin-1,spatial,Malawi,women_zinc,27,5,0.899,0.167,0.2
leave_one_country_out,admin-2,covariates,gambia,child_vitA,30,6,1.286,0.257,0.2
leave_one_country_out,admin-2,covariates,ghana,child_vitA,75,15,1.369,0.274,0.2
leave_one_country_out,admin-2,covariates,sierraleone,child_vitA,14,3,1.152,0.247,0.2
leave_one_country_out,admin-2,covariates,malawi,child_vitA,87,17,0.856,0.167,0.2
leave_one_country_out,admin-2,covariates,gambia,women_vitA,30,6,0.794,0.159,0.2
leave_one_country_out,admin-2,covariates,ghana,women_vitA,75,15,1.971,0.394,0.2
leave_one_country_out,admin-2,covariates,sierraleone,women_vitA,14,3,1.516,0.325,0.2
leave_one_country_out,admin-2,covariates,malawi,women_vitA,87,17,0.408,0.08,0.2
leave_one_country_out,admin-2,covariates,gambia,child_iron,30,6,1.155,0.231,0.2
leave_one_country_out,admin-2,covariates,ghana,child_iron,75,15,1.393,0.279,0.2
leave_one_country_out,admin-2,covariates,sierraleone,child_iron,14,3,1.384,0.297,0.2
leave_one_country_out,admin-2,covariates,malawi,child_iron,87,17,1.408,0.275,0.2
leave_one_country_out,admin-2,covariates,gambia,women_iron,30,6,1.176,0.235,0.2
leave_one_country_out,admin-2,covariates,ghana,women_iron,75,15,1.671,0.334,0.2
leave_one_country_out,admin-2,covariates,sierraleone,women_iron,14,3,0.941,0.202,0.2
leave_one_country_out,admin-2,covariates,malawi,women_iron,87,17,1.155,0.226,0.2
within_country_cluster_blocked,admin-2,covariates,Gambia,child_vitA,30,NA,1.49,0.298,0.2
within_country_cluster_blocked,admin-2,covariates,Gambia,women_vitA,30,NA,2.07,0.367,0.2
within_country_cluster_blocked,admin-2,covariates,Gambia,child_iron,30,NA,1.15,0.234,0.2
within_country_cluster_blocked,admin-2,covariates,Gambia,women_iron,30,NA,1.31,0.25,0.2
within_country_cluster_blocked,admin-2,covariates,Ghana,child_vitA,75,NA,1.64,0.356,0.2
within_country_cluster_blocked,admin-2,covariates,Ghana,women_vitA,75,NA,0.81,0.139,0.2
within_country_cluster_blocked,admin-2,covariates,Ghana,child_iron,75,NA,1.81,0.346,0.2
within_country_cluster_blocked,admin-2,covariates,Ghana,women_iron,75,NA,1.48,0.301,0.2
within_country_cluster_blocked,admin-2,covariates,Ghana,women_folate,75,NA,1.21,0.248,0.2
within_country_cluster_blocked,admin-2,covariates,Ghana,women_b12,75,NA,2.31,0.5,0.2
within_country_cluster_blocked,admin-2,covariates,Sierra Leone,child_vitA,14,NA,1.56,0.302,0.2
within_country_cluster_blocked,admin-2,covariates,Sierra Leone,women_vitA,14,NA,1.8,0.369,0.2
