country,outcome,replicate,n_regions_total,n_regions_anchored,fraction_clusters,clusters_retained,n_retained,pct_survey_used,mae_admin2_pp,bias_admin2_pp,mae_admin1_pp,bias_admin1_pp
Ghana,child_vitA,1,16,3,0.15,4,63,5.4,10.024,-2.402,6.187,-3.011
Ghana,child_vitA,2,16,3,0.15,3,31,2.7,13.528,-13.528,13.562,-13.562
Ghana,child_vitA,3,16,3,0.15,3,59,5.1,16.9,15.347,15.078,14.771
Ghana,child_vitA,1,16,3,0.25,6,75,6.4,10.297,-0.44,5.341,-0.348
Ghana,child_vitA,2,16,3,0.25,6,83,7.1,10.411,4.308,6.047,3.481
Ghana,child_vitA,3,16,3,0.25,5,66,5.7,9.843,-0.29,5.698,-0.467
Ghana,child_vitA,1,16,3,0.4,10,150,12.9,10.659,-6.037,7.612,-6.001
Ghana,child_vitA,2,16,3,0.4,11,159,13.6,9.581,0.013,5.205,0.074
Ghana,child_vitA,3,16,3,0.4,3,60,5.2,10.053,1.989,6.004,2.316
Ghana,child_vitA,1,16,3,0.6,9,100,8.6,9.774,-0.34,5.432,-0.299
Ghana,child_vitA,2,16,3,0.6,16,239,20.5,9.402,1.626,4.302,1.502
Ghana,child_vitA,3,16,3,0.6,8,108,9.3,12.372,7.278,8.173,7.446
Ghana,child_vitA,1,16,3,0.8,20,223,19.1,9.462,-0.254,5.257,-0.177
Ghana,child_vitA,2,16,3,0.8,9,114,9.8,9.953,-0.112,5.811,-0.269
Ghana,child_vitA,3,16,3,0.8,15,213,18.3,11.582,6.83,7.512,6.374
Ghana,child_vitA,1,16,3,1,7,105,9,9.997,1.32,4.186,0.633
Ghana,child_vitA,2,16,3,1,22,254,21.8,9.996,2.19,5.133,2.567
Ghana,child_vitA,3,16,3,1,19,263,22.6,10.23,-4.34,5.984,-4.504
Ghana,child_vitA,1,16,5,0.15,5,78,6.7,9.903,-0.717,6.6,-1.233
Ghana,child_vitA,2,16,5,0.15,5,76,6.5,9.949,-4.382,6.377,-4.56
Ghana,child_vitA,3,16,5,0.15,6,91,7.8,10.349,-5.52,7.232,-5.834
Ghana,child_vitA,1,16,5,0.25,9,111,9.5,10.689,-4.385,7.729,-4.678
Ghana,child_vitA,2,16,5,0.25,8,121,10.4,10.966,5.23,7.125,5.236
Ghana,child_vitA,3,16,5,0.25,7,87,7.5,9.806,-0.74,4.961,-2.316
Ghana,child_vitA,1,16,5,0.4,9,131,11.2,9.475,0.058,4.579,-0.522
Ghana,child_vitA,2,16,5,0.4,12,150,12.9,10.427,1.687,6.573,2.451
Ghana,child_vitA,3,16,5,0.4,10,104,8.9,11.46,4.735,5.545,3.017
Ghana,child_vitA,1,16,5,0.6,12,160,13.7,10.245,4.087,5.65,3.24
